Category,Subcategory,x,y
CRYSTALS-Dilithium,Dilithium2,3228,91
CRYSTALS-Dilithium,Dilithium3,4173,125
CRYSTALS-Dilithium,Dilithium4,5126,158
FALCON,Falcon-512,1587,103
FALCON,Falcon-1024,3123,230
Rainbow,Ia-classic,149056,86.3
Rainbow,la-cyclic,58208,86.3
Rainbow,la-cyclic-compressed,58208,86.3
Rainbow,IIIc-classic,710796,169.9
Rainbow,lllc-cyclic,206900,169.9
Rainbow,llc-compressed,206900,169.9
Rainbow,Vc-classic,1705740,219.2
Rainbow,Vc-cyclic,492140,219.2
Rainbow,Vc-compressed,492140,219.2
GeMSS,GeMSS192,1238015,74.84
GeMSS,GeMSS256,3040772,112.26
Picnic,picnic-L1_FS,34069,64
Picnic,picnic-L1_UR,53998,64
Picnic,picnic-L3_FS,76825,96
Picnic,picnic-L3_UR,121898,96
Picnic,picnic-L5_FS,132925,128
Picnic,picnic-L5_UR,209575,128
SPHINCS+,SPHINCS+-Haraka-128f-robust,17008,64
SPHINCS+,SPHINCS+-Haraka-128f-simple,17008,64
SPHINCS+,SPHINCS+-Haraka-128s-robust,8112,64
SPHINCS+,SPHINCS+-Haraka-128s-simple,8112,64
SPHINCS+,SPHINCS+-Haraka-192f-robust,35712,96
SPHINCS+,SPHINCS+-Haraka-192f-simple,35712,96
SPHINCS+,SPHINCS+-Haraka-192s-robust,17112,96
SPHINCS+,SPHINCS+-Haraka-192s-simple,17112,96
SPHINCS+,SPHINCS+-Haraka-256f-robust,49280,128
SPHINCS+,SPHINCS+-Haraka-256f-simple,49280,128
SPHINCS+,SPHINCS+-Haraka-256s-robust,29856,128
SPHINCS+,SPHINCS+-Haraka-256s-simple,29856,128
SPHINCS+,SPHINCS+-SHA256-128f-robust,17008,64
SPHINCS+,SPHINCS+-SHA256-128f-simple,17008,64
SPHINCS+,SPHINCS+-SHA256-128s-robust,8112,64
SPHINCS+,SPHINCS+-SHA256-128s-simple,8112,64
SPHINCS+,SPHINCS+-SHA256-192f-robust,35712,96
SPHINCS+,SPHINCS+-SHA256-192f-simple,35712,96
SPHINCS+,SPHINCS+-SHA256-192s-robust,17112,96
SPHINCS+,SPHINCS+-SHA256-192s-simple,17112,96
SPHINCS+,SPHINCS+-SHA256-256f-robust,49280,128
SPHINCS+,SPHINCS+-SHA256-256f-simple,49280,128
SPHINCS+,SPHINCS+-SHA256-256s-robust,29856,128
SPHINCS+,SPHINCS+-SHA256-256s-simple,29856,128
SPHINCS+,SPHINCS+-SHAKE256-128f-robust,17008,64
SPHINCS+,SPHINCS+-SHAKE256-128f-simple,17008,64
SPHINCS+,SPHINCS+-SHAKE256-128s-robust,8112,64
SPHINCS+,SPHINCS+-SHAKE256-128s-simple,8112,64
SPHINCS+,SPHINCS+-SHAKE256-192f-robust,35712,96
SPHINCS+,SPHINCS+-SHAKE256-192f-simple,35712,96
SPHINCS+,SPHINCS+-SHAKE256-192s-robust,17112,96
SPHINCS+,SPHINCS+-SHAKE256-192s-simple,17112,96
SPHINCS+,SPHINCS+-SHAKE256-256f-robust,49280,128
SPHINCS+,SPHINCS+-SHAKE256-256f-simple,49280,128
SPHINCS+,SPHINCS+-SHAKE256-256s-robust,29856,128
SPHINCS+,SPHINCS+-SHAKE256-256s-simple,29856,128
