Category,Subcategory,x,Communication Cost,Public Key,Signature
CRYSTALS-Dilithium,Dilithium2,3732,123,1312,2420
CRYSTALS-Dilithium,Dilithium3,5245,182,1952,3293
CRYSTALS-Dilithium,Dilithium5,7187,252,2592,4595
FALCON,Falcon-512,1563,120,897,666
FALCON,Falcon-1024,3073,273,1793,1280
SPHINCS+,SPHINCS+-128f,17120,128,32,17088
SPHINCS+,SPHINCS+-192f,35712,192,48,35664
SPHINCS+,SPHINCS+-256f,49920,256,64,49856
SPHINCS+,SPHINCS+-128s,7888,128,32,7856
SPHINCS+,SPHINCS+-192s,16272,192,48,16224
SPHINCS+,SPHINCS+-256s,29856,256,64,29792
