Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.006000,0.191000,0.183000,0.084000,0.020000,0.152000,0.290000,0.084000,0.002000,0.149000,0.186000,0.085000,0.002000,0.171000,0.247000,0.084000,0.001000,0.148000,0.181000,0.268000,0.001000,0.153000,0.479000,0.175000,0.002000,0.168000,1.012000,0.902000,0.002000,0.115000,5.212000,5.088000,
"Dilithium3",0.002000,0.168000,0.464000,0.089000,0.001000,0.148000,0.561000,0.088000,0.002000,0.145000,0.297000,0.087000,0.001000,0.146000,0.226000,0.087000,0.001000,0.144000,0.192000,0.105000,0.001000,0.148000,0.214000,0.137000,0.001000,0.158000,0.962000,0.591000,0.002000,0.150000,5.353000,5.112000,
"Dilithium5",0.001000,0.223000,0.401000,0.139000,0.001000,0.199000,0.222000,0.146000,0.001000,0.196000,0.578000,0.139000,0.001000,0.215000,0.762000,0.144000,0.001000,0.197000,0.415000,0.143000,0.000000,0.198000,0.271000,0.188000,0.002000,0.210000,0.723000,0.641000,0.002000,0.212000,5.262000,5.205000,
"Falcon-512",0.002000,6.474000,0.416000,0.054000,0.001000,5.903000,0.405000,0.054000,0.001000,5.623000,0.418000,0.054000,0.001000,8.776000,0.414000,0.056000,0.001000,9.260000,0.429000,0.060000,0.002000,6.420000,0.466000,0.104000,0.001000,7.763000,0.910000,0.564000,0.003000,6.174000,5.456000,5.094000,
"Falcon-1024",0.002000,18.898000,0.718000,0.106000,0.002000,32.639000,0.727000,0.106000,0.002000,21.214000,0.709000,0.106000,0.002000,22.834000,0.733000,0.114000,0.001000,17.119000,0.710000,0.110000,0.002000,18.099000,0.781000,0.162000,0.002000,22.330000,1.231000,0.615000,0.004000,21.009000,5.821000,5.151000,
"SPHINCS+-Haraka-128f-robust",0.003000,0.385000,7.718000,0.459000,0.001000,0.372000,7.713000,0.447000,0.003000,0.362000,7.686000,0.461000,0.001000,0.371000,7.672000,0.462000,0.001000,0.360000,7.673000,0.463000,0.002000,0.364000,7.697000,0.474000,0.002000,0.363000,8.013000,0.595000,0.003000,0.363000,10.460000,1.834000,
"SPHINCS+-Haraka-128f-simple",0.003000,0.362000,6.706000,0.337000,0.001000,0.325000,6.704000,0.338000,0.001000,0.324000,6.702000,0.325000,0.001000,0.336000,6.675000,0.352000,0.001000,0.325000,6.682000,0.324000,0.002000,0.350000,6.691000,0.351000,0.003000,0.327000,6.992000,0.494000,0.003000,0.367000,9.780000,1.802000,
"SPHINCS+-Haraka-128s-robust",0.023000,19.535000,152.710000,0.167000,0.004000,19.231000,151.913000,0.178000,0.005000,19.234000,151.665000,0.165000,0.001000,19.230000,152.037000,0.172000,0.003000,19.230000,151.738000,0.177000,0.002000,19.225000,151.688000,0.193000,0.002000,19.233000,152.039000,0.303000,0.004000,19.249000,154.653000,1.576000,
"SPHINCS+-Haraka-128s-simple",0.005000,17.775000,138.211000,0.124000,0.001000,17.736000,138.181000,0.125000,0.003000,17.840000,138.255000,0.126000,0.003000,17.756000,138.088000,0.114000,0.002000,17.749000,138.279000,0.120000,0.002000,17.747000,138.393000,0.135000,0.004000,17.798000,138.516000,0.277000,0.003000,17.787000,141.033000,1.531000,
"SPHINCS+-Haraka-192f-robust",0.004000,0.543000,13.561000,0.722000,0.002000,0.513000,13.624000,0.747000,0.002000,0.512000,13.618000,0.744000,0.002000,0.523000,13.726000,0.748000,0.002000,0.526000,13.562000,0.716000,0.002000,0.523000,13.675000,0.740000,0.001000,0.525000,13.892000,0.855000,0.004000,0.532000,16.382000,2.131000,
"SPHINCS+-Haraka-192f-simple",0.003000,0.472000,10.875000,0.504000,0.002000,0.439000,10.854000,0.501000,0.002000,0.444000,10.848000,0.516000,0.001000,0.433000,10.863000,0.498000,0.001000,0.433000,11.152000,0.531000,0.003000,0.448000,10.892000,0.534000,0.002000,0.434000,11.124000,0.659000,0.003000,0.435000,13.650000,1.882000,
