Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.001081,0.110903,0.202232,0.054476,0.000879,0.108780,0.196222,0.053821,0.000856,0.108521,0.201263,0.054068,0.000831,0.108587,0.196175,0.053973,0.000782,0.109385,0.207249,0.058638,0.000881,0.108812,0.253976,0.104006,0.000923,0.109763,0.708639,0.557658,0.001316,0.114834,5.246468,5.093805,
"Dilithium3",0.001004,0.146905,0.288064,0.089372,0.001072,0.147592,0.291027,0.089804,0.001013,0.147788,0.293059,0.089830,0.001006,0.147167,0.283013,0.090468,0.000989,0.147081,0.294095,0.094645,0.000896,0.147168,0.337374,0.138972,0.000912,0.147823,0.798524,0.593636,0.001360,0.151504,5.327118,5.124259,
"Dilithium5",0.001186,0.199263,0.334216,0.142491,0.001183,0.199791,0.340961,0.143206,0.001190,0.199555,0.339151,0.143864,0.001151,0.199762,0.337793,0.143316,0.001135,0.199357,0.336748,0.147690,0.001101,0.199685,0.401274,0.191346,0.001042,0.200742,0.846658,0.646067,0.001585,0.206626,5.398538,5.185855,
"Falcon-512",0.001567,8.323740,0.412425,0.054817,0.001445,8.168533,0.413077,0.054817,0.001311,8.150877,0.410873,0.054802,0.001315,8.268760,0.411489,0.055420,0.001298,8.036422,0.416842,0.059691,0.001207,8.142548,0.462541,0.105110,0.001290,8.161435,0.918992,0.558859,0.001766,8.185944,5.444738,5.080686,
"Falcon-1024",0.001446,22.574278,0.700637,0.106192,0.001446,22.756365,0.700951,0.106205,0.001488,22.430703,0.700705,0.106316,0.001430,22.542388,0.702205,0.106817,0.001420,22.531398,0.706319,0.111136,0.001488,22.025032,0.754756,0.156661,0.001514,22.161364,1.210202,0.610367,0.001921,22.585802,5.748138,5.136386,
"SPHINCS+-Haraka-128f-robust",0.001961,0.364213,7.687098,0.451168,0.001887,0.363244,7.686132,0.451057,0.001696,0.363108,7.689167,0.451671,0.001645,0.363811,7.690943,0.452478,0.001656,0.363188,7.690643,0.453540,0.001546,0.363161,7.716777,0.466148,0.001590,0.364038,7.959752,0.588710,0.001934,0.365201,10.436781,1.835143,
"SPHINCS+-Haraka-128f-simple",0.001749,0.329410,6.692633,0.333583,0.001687,0.328677,6.690217,0.333312,0.001704,0.329412,6.696135,0.333318,0.001562,0.328849,6.689742,0.333659,0.001539,0.328182,6.688508,0.334767,0.001512,0.328330,6.713848,0.347066,0.001586,0.328619,6.961526,0.469574,0.001901,0.332030,9.417809,1.709563,
"SPHINCS+-Haraka-128s-robust",0.004273,19.239789,151.749579,0.172769,0.004087,19.235939,151.754275,0.172543,0.003747,19.235790,151.758344,0.172282,0.003340,19.234406,151.775788,0.173225,0.003465,19.238384,151.753729,0.175448,0.003047,19.236754,151.804441,0.186966,0.003243,19.236023,152.021787,0.312641,0.003802,19.244117,154.523892,1.583000,
"SPHINCS+-Haraka-128s-simple",0.003831,17.770855,138.188338,0.123416,0.003652,17.781718,138.225056,0.123494,0.003685,17.769574,138.187357,0.123762,0.003340,17.773652,138.221224,0.124382,0.003219,17.770777,138.196337,0.125602,0.003286,17.801375,138.410392,0.139459,0.003208,17.776953,138.486628,0.263897,0.003990,17.788308,141.008854,1.537526,
"SPHINCS+-Haraka-192f-robust",0.002051,0.518218,13.391853,0.729911,0.002108,0.518386,13.392980,0.730707,0.002079,0.517729,13.387836,0.729976,0.001726,0.518337,13.395520,0.730983,0.001949,0.518034,13.395170,0.731729,0.001833,0.517843,13.419838,0.744774,0.001968,0.517554,13.662856,0.867574,0.002161,0.518103,16.121185,2.110409,
