Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.000877,0.109443,0.199622,0.054522,0.000883,0.109368,0.197847,0.053963,0.000817,0.108125,0.201841,0.053813,0.000849,0.108223,0.201814,0.054209,0.000830,0.108270,0.205597,0.058741,0.000776,0.108159,0.249730,0.103347,0.000837,0.109244,0.705373,0.557805,0.001167,0.113051,5.238017,5.087287,
"Dilithium3",0.000997,0.146914,0.298789,0.089638,0.000986,0.146516,0.291402,0.089904,0.000981,0.146628,0.296752,0.089749,0.000998,0.147699,0.298118,0.090187,0.000991,0.146468,0.296034,0.094633,0.000881,0.146722,0.337363,0.139177,0.000861,0.147425,0.801218,0.592517,0.001288,0.151369,5.349620,5.134455,
"Dilithium5",0.001407,0.205158,0.355667,0.147552,0.001283,0.202878,0.349722,0.146584,0.001288,0.203923,0.347691,0.146435,0.001143,0.199507,0.340901,0.143573,0.001102,0.198675,0.342819,0.147955,0.001102,0.199617,0.398665,0.192450,0.000982,0.200448,0.850292,0.646214,0.001462,0.204755,5.396623,5.184227,
"Falcon-512",0.001428,8.131704,0.411690,0.054785,0.001368,8.169487,0.411107,0.054951,0.001259,8.205565,0.410695,0.054731,0.001271,8.238290,0.411414,0.055578,0.001272,8.282027,0.416060,0.059848,0.001187,8.083539,0.462334,0.105276,0.001244,8.119975,0.919009,0.560363,0.001619,8.080400,5.448370,5.099229,
"Falcon-1024",0.001503,22.514132,0.700541,0.106187,0.001525,22.076086,0.701133,0.106022,0.001446,22.346863,0.699866,0.106079,0.001439,22.153593,0.701667,0.107032,0.001365,22.298569,0.705558,0.111174,0.001471,22.329739,0.754093,0.156571,0.001416,22.562876,1.208308,0.610169,0.001713,22.298354,5.742355,5.137483,
"SPHINCS+-Haraka-128f-robust",0.001758,0.363662,7.683197,0.452036,0.001791,0.363009,7.681780,0.452265,0.001565,0.363721,7.684715,0.451520,0.001507,0.363186,7.683061,0.452218,0.001545,0.362008,7.681618,0.453804,0.001402,0.363047,7.705349,0.466151,0.001479,0.363667,7.950786,0.589548,0.001740,0.364460,10.408571,1.830038,
"SPHINCS+-Haraka-128f-simple",0.001797,0.328773,6.682111,0.333900,0.001720,0.329515,6.686511,0.333689,0.001578,0.328927,6.684787,0.333104,0.001504,0.329202,6.687903,0.333491,0.001511,0.328934,6.692415,0.334704,0.001465,0.329787,6.715799,0.347591,0.001528,0.330335,6.957052,0.471020,0.001736,0.332055,9.416506,1.712696,
"SPHINCS+-Haraka-128s-robust",0.003497,19.173337,151.299237,0.172263,0.003494,19.173408,151.271200,0.172272,0.002969,19.136743,151.034929,0.172874,0.002503,19.173600,151.336446,0.172966,0.002876,19.174530,151.321746,0.174460,0.002766,19.212920,151.620661,0.187123,0.002524,19.215583,151.922635,0.311201,0.003015,19.224401,154.314797,1.571650,
"SPHINCS+-Haraka-128s-simple",0.003328,17.740291,138.039748,0.123276,0.003230,17.733316,137.973814,0.122713,0.002925,17.731453,137.970818,0.123877,0.002691,17.740046,138.039267,0.123626,0.002932,17.714639,137.807037,0.125145,0.002675,17.751572,138.116981,0.138260,0.002582,17.757327,138.410008,0.262477,0.003421,17.726828,140.565854,1.535296,
"SPHINCS+-Haraka-192f-robust",0.001961,0.517922,13.391223,0.732283,0.001866,0.516869,13.381471,0.732160,0.001841,0.516957,13.381499,0.732285,0.001681,0.518191,13.395930,0.733709,0.001732,0.516754,13.377169,0.732694,0.001713,0.517710,13.408930,0.746139,0.001923,0.517807,13.672789,0.869827,0.002051,0.517352,16.114985,2.114253,
"SPHINCS+-Haraka-192f-simple",0.001735,0.437020,10.808354,0.504465,0.001689,0.436672,10.802624,0.503914,0.001699,0.437762,10.819696,0.504549,0.001499,0.437800,10.825841,0.504787,0.001638,0.437395,10.824627,0.506214,0.001553,0.437729,10.851110,0.518785,0.001633,0.437677,11.092326,0.641719,0.001809,0.438667,13.565774,1.881987,
"SPHINCS+-Haraka-192s-robust",0.004401,29.330778,297.986962,0.268962,0.004085,29.360186,298.159138,0.268356,0.004367,29.342192,298.079638,0.269208,0.004085,29.322981,297.822941,0.270328,0.003814,29.327310,297.784721,0.271221,0.003772,29.347300,297.792763,0.283825,0.003664,29.284858,298.123448,0.410020,0.004015,29.284064,300.471770,1.691559,
"SPHINCS+-Haraka-192s-simple",0.003998,22.905449,231.991475,0.186316,0.003650,22.873999,231.702161,0.186209,0.003438,22.889883,231.810897,0.186565,0.002955,22.882221,231.787985,0.186694,0.002975,22.899600,231.903222,0.187924,0.002950,22.889406,231.822794,0.200821,0.003158,22.881594,232.006977,0.326423,0.003637,22.895941,234.579747,1.602933,
"SPHINCS+-Haraka-256f-robust",0.001744,1.142533,24.163446,0.701726,0.001734,1.140128,24.138272,0.701449,0.001652,1.140161,24.138610,0.702440,0.001569,1.141240,24.137142,0.702108,0.001658,1.140069,24.143719,0.704506,0.001716,1.140734,24.167273,0.716359,0.001770,1.141885,24.427938,0.839560,0.001916,1.141535,26.880260,2.082781,
"SPHINCS+-Haraka-256f-simple",0.001775,1.009861,20.683439,0.504183,0.001754,1.009871,20.685836,0.503245,0.001740,1.010362,20.689342,0.503582,0.001571,1.008886,20.672428,0.504113,0.001538,1.008870,20.673005,0.504743,0.001649,1.009234,20.696223,0.517588,0.001669,1.008798,20.939821,0.640591,0.001944,1.009651,23.400871,1.884142,
"SPHINCS+-Haraka-256s-robust",0.003404,17.019659,247.862809,0.370147,0.003584,17.020783,247.917852,0.370144,0.003547,17.025230,247.877808,0.370683,0.003088,17.025062,247.923442,0.370761,0.003034,17.038501,248.043944,0.372065,0.002850,17.033082,248.063519,0.384623,0.003044,17.032299,248.272664,0.510304,0.003541,17.038848,250.743829,1.786654,
"SPHINCS+-Haraka-256s-simple",0.005482,14.588390,202.934639,0.268964,0.005407,14.599763,203.253019,0.269071,0.005149,14.670167,204.155727,0.270662,0.004575,14.666131,204.112584,0.271375,0.004230,14.620832,203.459092,0.270884,0.004136,14.582181,203.096454,0.283513,0.004376,14.576973,203.221597,0.411512,0.004776,14.620384,206.217347,1.706173,
"SPHINCS+-SHA256-128f-robust",0.002811,1.527900,36.956508,2.845610,0.002639,1.530102,36.995271,2.852091,0.002677,1.530056,36.983140,2.850868,0.002501,1.529185,36.976959,2.848991,0.002385,1.530512,36.987295,2.852147,0.002456,1.531211,37.032300,2.871682,0.002380,1.527001,37.053768,2.915965,0.002876,1.530837,38.157866,3.483741,
"SPHINCS+-SHA256-128f-simple",0.002006,0.847010,19.891981,1.475189,0.002044,0.847142,19.907931,1.477662,0.002068,0.847949,19.929054,1.476735,0.001940,0.848407,19.912778,1.489185,0.001881,0.846821,19.901648,1.476620,0.001993,0.846669,19.914135,1.484106,0.001991,0.846434,20.011619,1.537574,0.002280,0.846471,21.090656,2.093652,
"SPHINCS+-SHA256-128s-robust",0.005591,93.208189,708.589588,0.977129,0.005604,93.178608,708.441850,0.977639,0.005300,93.182190,708.478821,0.977967,0.004716,93.177929,708.495370,0.980222,0.004694,93.161965,708.442657,0.977647,0.004525,93.158317,708.370815,0.984198,0.004502,93.160111,708.485904,1.045804,0.004579,93.163815,709.597972,1.648142,
