Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.001057,0.109213,0.202228,0.053852,0.000809,0.109306,0.196544,0.053597,0.000823,0.108208,0.197518,0.053670,0.000818,0.108238,0.200804,0.053566,0.000869,0.108276,0.203911,0.058369,0.000833,0.108204,0.251505,0.103420,0.000804,0.109431,0.708552,0.557243,0.001037,0.112696,5.230585,5.085143,
"Dilithium3",0.000997,0.146724,0.283615,0.089561,0.001038,0.147352,0.285999,0.090217,0.000996,0.147012,0.292123,0.090330,0.001056,0.147743,0.295323,0.089760,0.001050,0.146945,0.296457,0.095370,0.000992,0.149568,0.349157,0.141381,0.001069,0.151383,0.814774,0.603713,0.001134,0.150456,5.322387,5.115215,
"Dilithium5",0.001166,0.198799,0.344963,0.142530,0.001364,0.198499,0.337584,0.142577,0.001160,0.199420,0.335364,0.142544,0.001142,0.198521,0.337522,0.143425,0.001163,0.198259,0.343203,0.147608,0.001124,0.198844,0.400691,0.191020,0.001045,0.199860,0.846863,0.644876,0.001336,0.203145,5.379958,5.170999,
"Falcon-512",0.001537,8.218416,0.412439,0.054847,0.001426,8.279262,0.412690,0.054773,0.001329,8.339414,0.411812,0.054680,0.001400,8.298882,0.414345,0.055698,0.001383,8.272109,0.417453,0.059828,0.001332,8.061235,0.465046,0.105345,0.001402,8.284557,0.922256,0.559286,0.001920,8.217038,5.452643,5.086290,
"Falcon-1024",0.001664,22.515354,0.705210,0.106058,0.001697,22.527325,0.704388,0.106531,0.001591,22.223484,0.704647,0.106240,0.001650,22.016444,0.707273,0.107095,0.001660,22.595669,0.711026,0.111713,0.001619,22.385033,0.758178,0.157258,0.001607,22.506063,1.213643,0.611656,0.002246,22.435800,5.769580,5.144795,
"SPHINCS+-Haraka-128f-robust",0.001928,0.364023,7.682039,0.451920,0.002029,0.363864,7.692597,0.452270,0.001916,0.364606,7.700877,0.453254,0.001749,0.364751,7.698197,0.452541,0.001774,0.365762,7.704896,0.454708,0.001654,0.363915,7.715656,0.466357,0.001736,0.364494,7.958828,0.590340,0.001943,0.365730,10.431825,1.836614,
"SPHINCS+-Haraka-128f-simple",0.001806,0.331943,6.704208,0.333784,0.001710,0.330827,6.696859,0.333393,0.001690,0.333345,6.707401,0.334185,0.001637,0.333699,6.712794,0.334924,0.001678,0.334203,6.718698,0.336941,0.001600,0.333236,6.744758,0.349694,0.001553,0.331974,6.973932,0.470356,0.001950,0.334475,9.450038,1.720512,
"SPHINCS+-Haraka-128s-robust",0.003973,19.184675,151.376939,0.172582,0.004068,19.190590,151.395131,0.172679,0.003653,19.170216,151.255855,0.172629,0.003075,19.179125,151.317601,0.173482,0.003458,19.219138,151.612008,0.174781,0.002949,19.185329,151.404992,0.187276,0.002947,19.115911,151.121209,0.312464,0.003562,19.129265,153.663326,1.586740,
"SPHINCS+-Haraka-128s-simple",0.004157,17.792855,138.312806,0.124088,0.004226,17.804138,138.373859,0.123970,0.003826,17.804944,138.366003,0.124370,0.003294,17.796032,138.317875,0.124849,0.003296,17.813476,138.455530,0.126485,0.003067,17.802663,138.394230,0.139208,0.003200,17.802060,138.661183,0.264302,0.003798,17.810785,141.160281,1.541427,
"SPHINCS+-Haraka-192f-robust",0.002282,0.520035,13.404150,0.730552,0.002293,0.519249,13.403026,0.731332,0.002205,0.518991,13.406096,0.731983,0.001939,0.519916,13.405337,0.731299,0.002087,0.519360,13.404713,0.733092,0.001987,0.518984,13.438261,0.746181,0.002133,0.519327,13.690856,0.869099,0.002430,0.520792,16.164393,2.123026,
"SPHINCS+-Haraka-192f-simple",0.002027,0.448143,11.049279,0.505063,0.001956,0.446690,11.035439,0.504979,0.001936,0.449056,11.060681,0.505429,0.001618,0.443419,10.950116,0.505288,0.001557,0.448179,11.063949,0.505944,0.001613,0.450492,11.140020,0.519743,0.001644,0.452001,11.413592,0.641902,0.001856,0.449558,13.808818,1.886887,
"SPHINCS+-Haraka-192s-robust",0.004640,29.168884,297.594552,0.268445,0.004643,29.265044,298.135137,0.268601,0.004437,29.268439,298.128238,0.268941,0.003646,29.206975,297.955124,0.269368,0.003646,29.238493,297.888708,0.270272,0.003542,29.239926,298.020210,0.284055,0.003382,29.212306,298.242052,0.409584,0.003846,29.224276,300.714037,1.692429,
"SPHINCS+-Haraka-192s-simple",0.004120,22.874859,231.644280,0.186760,0.004177,22.879554,231.654006,0.186629,0.004090,22.873960,231.653742,0.187340,0.003410,22.843443,231.414078,0.187376,0.003466,22.871013,231.613952,0.189061,0.003312,22.875978,231.696855,0.202576,0.003498,22.880131,231.951978,0.328756,0.003900,22.874652,234.341188,1.611924,
"SPHINCS+-Haraka-256f-robust",0.001976,1.140632,24.119698,0.703302,0.001993,1.140705,24.129874,0.702575,0.001921,1.140558,24.118562,0.702569,0.001770,1.141393,24.129225,0.703432,0.001757,1.141016,24.115271,0.704233,0.001776,1.140469,24.148910,0.715776,0.001909,1.141589,24.403288,0.840450,0.002307,1.145396,26.938116,2.093648,
"SPHINCS+-Haraka-256f-simple",0.002219,1.013473,20.728099,0.504706,0.002109,1.011769,20.697709,0.504218,0.002075,1.011843,20.694335,0.504141,0.001808,1.011523,20.706465,0.505196,0.001874,1.012271,20.732157,0.506545,0.001973,1.011985,20.737855,0.519145,0.002060,1.011302,20.987107,0.643482,0.002417,1.013187,23.478610,1.894566,
"SPHINCS+-Haraka-256s-robust",0.004363,17.004851,247.372079,0.371208,0.004235,17.004631,247.425746,0.371221,0.004217,16.997890,247.302802,0.371105,0.003731,16.998613,247.310750,0.371902,0.003871,17.014853,247.506804,0.374169,0.003464,17.006604,247.447755,0.386949,0.003519,17.011684,247.734017,0.512634,0.003925,16.989182,249.904800,1.793070,
"SPHINCS+-Haraka-256s-simple",0.004094,14.501978,201.988150,0.267741,0.004264,14.518671,202.181646,0.266943,0.004039,14.509279,202.072817,0.267635,0.003286,14.509427,202.073855,0.267645,0.003547,14.518791,202.173811,0.269091,0.003461,14.511701,202.115593,0.282876,0.003455,14.516953,202.405573,0.407856,0.003836,14.517530,204.846654,1.685088,
"SPHINCS+-SHA256-128f-robust",0.002475,1.590847,38.267008,2.938785,0.002223,1.590983,38.262103,2.915760,0.002087,1.591057,38.372982,2.913527,0.001997,1.590249,38.310913,2.909199,0.001985,1.555842,36.975486,2.880530,0.002109,1.590558,38.302814,2.909075,0.002201,1.591267,38.412081,2.969893,0.002508,1.593089,39.339949,3.540252,
"SPHINCS+-SHA256-128f-simple",0.001936,0.844878,19.908054,1.509643,0.001951,0.844806,19.905566,1.511957,0.001920,0.844579,19.906849,1.509094,0.001831,0.845223,19.908709,1.510815,0.001819,0.844293,19.903575,1.512346,0.001924,0.844950,19.923582,1.519173,0.001949,0.844295,20.032077,1.570214,0.002053,0.844539,21.108859,2.140637,
"SPHINCS+-SHA256-128s-robust",0.005076,96.664724,715.708753,0.986675,0.005083,96.797670,716.872482,0.988132,0.004831,96.855052,718.101739,0.987554,0.004197,96.859035,717.545869,0.989381,0.004209,96.648571,710.263923,0.986797,0.003943,96.852254,717.749705,0.995100,0.003928,96.840691,719.688215,1.056980,0.004137,96.791199,719.616148,1.668680,
"SPHINCS+-SHA256-128s-simple",0.005334,49.797351,378.237792,0.544655,0.005140,49.794761,378.240662,0.544306,0.004903,49.783580,378.126172,0.543622,0.004480,49.793715,378.209979,0.547830,0.004486,49.785178,378.151610,0.543398,0.004298,49.803833,378.306092,0.549699,0.004244,49.779065,378.241230,0.609070,0.004490,49.783636,379.313748,1.216467,
"SPHINCS+-SHA256-192f-robust",0.003166,2.261377,60.959204,4.447029,0.003027,2.262076,61.072051,4.446223,0.002850,2.263086,61.360369,4.453502,0.002889,2.259252,60.968264,4.459918,0.002789,2.246513,60.309409,4.435621,0.002846,2.247422,60.534437,4.442754,0.003039,2.247027,60.498058,4.515018,0.003476,2.265357,62.276650,5.089461,
"SPHINCS+-SHA256-192f-simple",0.002242,1.163241,32.203302,2.200968,0.002332,1.163826,32.199069,2.207231,0.002249,1.163761,32.197000,2.206163,0.002100,1.163419,32.200063,2.205210,0.002218,1.163677,32.199304,2.206600,0.002191,1.162478,32.212323,2.209294,0.002277,1.163826,32.328802,2.268678,0.002562,1.166511,33.411929,2.832861,
"SPHINCS+-SHA256-192s-robust",0.005740,137.131746,1341.784310,1.550866,0.005785,137.242262,1342.600134,1.547930,0.005508,137.294593,1343.065888,1.546640,0.004897,137.278443,1344.080100,1.562672,0.004922,137.114387,1339.471387,1.549770,0.004699,136.990003,1345.829562,1.556264,0.004685,137.144454,1338.872972,1.621933,0.004949,137.357459,1342.335596,2.222897,
