Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.001076,0.110280,0.205461,0.054579,0.000850,0.108736,0.202349,0.053703,0.000873,0.109475,0.202743,0.053987,0.000817,0.108872,0.201006,0.053957,0.000804,0.108639,0.202547,0.058646,0.000798,0.109615,0.251817,0.103375,0.000938,0.110685,0.711614,0.559415,0.001370,0.115360,5.255718,5.104044,
"Dilithium3",0.001078,0.147801,0.288627,0.089737,0.000978,0.147412,0.289970,0.089719,0.000993,0.147472,0.291274,0.090098,0.000985,0.147712,0.289656,0.090199,0.000981,0.147380,0.297504,0.094838,0.000934,0.148473,0.347671,0.139601,0.000999,0.149773,0.800415,0.595620,0.001436,0.152625,5.338912,5.132637,
"Dilithium5",0.001182,0.199952,0.330988,0.142796,0.001121,0.198882,0.343781,0.142374,0.001134,0.199109,0.349085,0.142597,0.001141,0.199774,0.345386,0.142846,0.001160,0.199563,0.346825,0.147536,0.001092,0.200367,0.394801,0.192218,0.001075,0.202461,0.848210,0.649138,0.001631,0.207233,5.404906,5.192206,
"Falcon-512",0.001581,8.213129,0.415857,0.055142,0.001392,8.271869,0.414622,0.054986,0.001294,8.287690,0.414551,0.055092,0.001331,8.208220,0.415139,0.056032,0.001304,8.193117,0.419299,0.060100,0.001321,8.247499,0.467377,0.105874,0.001396,8.206370,0.923414,0.561258,0.001941,8.324781,5.464167,5.101280,
"Falcon-1024",0.001775,22.720245,0.707554,0.109500,0.001716,22.350045,0.708199,0.109383,0.001680,22.414928,0.708398,0.109409,0.001690,22.614076,0.708696,0.110349,0.001635,22.359923,0.712171,0.114534,0.001784,22.443541,0.761453,0.160354,0.001760,22.640641,1.217511,0.615379,0.002339,22.451505,5.773648,5.157773,
"SPHINCS+-Haraka-128f-robust",0.002082,0.365807,7.706347,0.454309,0.002085,0.366278,7.711226,0.453993,0.001936,0.365217,7.705326,0.453576,0.001901,0.366082,7.708048,0.454060,0.001712,0.365692,7.715327,0.456195,0.001646,0.365854,7.742426,0.468673,0.001649,0.364771,7.966991,0.590335,0.002064,0.367250,10.450258,1.839055,
"SPHINCS+-Haraka-128f-simple",0.001864,0.332977,6.718699,0.337808,0.001865,0.334024,6.741954,0.343799,0.001828,0.333648,6.728840,0.341787,0.001700,0.333406,6.726760,0.340511,0.001593,0.333030,6.725870,0.341671,0.001571,0.333494,6.750203,0.352652,0.001688,0.334741,7.001151,0.479665,0.002013,0.335869,9.482418,1.730635,
"SPHINCS+-Haraka-128s-robust",0.004716,19.165763,151.355353,0.173847,0.004793,19.128408,150.990207,0.174167,0.004380,19.201459,151.595291,0.174744,0.003767,19.187365,151.485138,0.175046,0.003826,19.174720,151.440607,0.176667,0.003396,19.232503,151.772882,0.189657,0.003429,19.223319,151.950811,0.314894,0.004263,19.210312,154.209624,1.599335,
"SPHINCS+-Haraka-128s-simple",0.004331,17.852411,139.243368,0.124300,0.004397,17.850992,139.267397,0.124657,0.003788,17.841970,139.209776,0.124919,0.003287,17.840435,139.144066,0.125724,0.003356,17.832795,139.114055,0.126891,0.003359,17.853890,139.261740,0.140260,0.003227,17.853219,139.505727,0.266180,0.003838,17.855247,142.014673,1.548365,
"SPHINCS+-Haraka-192f-robust",0.002148,0.521695,13.439063,0.735307,0.002136,0.521297,13.434472,0.734907,0.002052,0.521154,13.434605,0.734906,0.001819,0.520498,13.433303,0.734572,0.001951,0.521616,13.450109,0.737005,0.002038,0.521290,13.470600,0.749425,0.002101,0.521244,13.706754,0.873026,0.002436,0.522446,16.176960,2.120866,
"SPHINCS+-Haraka-192f-simple",0.001836,0.441012,10.876614,0.507495,0.001869,0.440858,10.880554,0.508774,0.001747,0.441286,10.872549,0.507518,0.001635,0.440662,10.875862,0.507191,0.001676,0.441890,10.877045,0.508750,0.001723,0.441682,10.902296,0.522034,0.001840,0.441614,11.150797,0.645326,0.002193,0.443105,13.633555,1.897715,
"SPHINCS+-Haraka-192s-robust",0.005106,29.415553,299.367724,0.270437,0.005140,29.416728,299.444903,0.270587,0.004773,29.404370,299.377185,0.270132,0.004154,29.407711,299.342636,0.272411,0.004153,29.419735,299.491838,0.272700,0.004042,29.392071,299.289362,0.286083,0.004249,29.415054,299.672237,0.413890,0.004595,29.400456,302.191416,1.713201,
"SPHINCS+-Haraka-192s-simple",0.005069,23.024247,232.981880,0.187721,0.004843,23.014611,233.020952,0.187339,0.004622,23.029755,233.157338,0.187905,0.003993,23.037150,233.148195,0.188657,0.003926,23.040026,233.114451,0.190096,0.003828,23.009291,232.993512,0.203040,0.003887,23.034727,233.432813,0.329825,0.004533,23.028676,235.833157,1.624009,
"SPHINCS+-Haraka-256f-robust",0.002293,1.149959,24.301596,0.705794,0.002263,1.149161,24.270043,0.705569,0.002265,1.150779,24.307407,0.707467,0.002033,1.149599,24.288215,0.705640,0.002142,1.151874,24.317040,0.707819,0.002209,1.150797,24.322333,0.721180,0.002164,1.148922,24.555888,0.844479,0.002718,1.152468,27.028378,2.103403,
"SPHINCS+-Haraka-256f-simple",0.002232,1.017798,20.797225,0.506199,0.002251,1.016780,20.793559,0.506203,0.002260,1.017438,20.796403,0.507140,0.001987,1.015789,20.779386,0.507459,0.002055,1.017877,20.797503,0.509082,0.002065,1.015620,20.800870,0.520802,0.002122,1.016133,21.069733,0.645735,0.002511,1.016576,23.510782,1.898335,
"SPHINCS+-Haraka-256s-robust",0.005159,17.129456,249.085358,0.372470,0.004954,17.117457,248.944276,0.372951,0.004677,17.126244,248.974158,0.373627,0.004080,17.117003,248.985519,0.373813,0.004175,17.124725,249.014687,0.375231,0.004206,17.135133,249.179244,0.389328,0.004141,17.121191,249.170255,0.515491,0.004609,17.110250,251.582843,1.808483,
"SPHINCS+-Haraka-256s-simple",0.004406,14.589493,203.349560,0.268727,0.004699,14.602032,203.532947,0.268800,0.004386,14.590180,203.411374,0.268970,0.004093,14.594374,203.424640,0.269731,0.003950,14.590530,203.400470,0.271014,0.003715,14.577464,203.316786,0.283471,0.003951,14.594758,203.698228,0.410627,0.004572,14.599759,206.226680,1.700084,
"SPHINCS+-SHA256-128f-robust",0.002567,1.531005,37.112462,2.916223,0.002433,1.529070,37.076538,2.913305,0.002331,1.529039,37.083982,2.914593,0.002215,1.530094,37.071999,2.919468,0.002302,1.530297,37.095287,2.915568,0.002360,1.528789,37.095389,2.918448,0.002350,1.529460,37.212129,2.977073,0.002737,1.531787,38.285883,3.540087,
"SPHINCS+-SHA256-128f-simple",0.002216,0.847614,19.966152,1.535786,0.002234,0.848925,19.988588,1.538291,0.002170,0.848528,19.976863,1.539504,0.002147,0.848881,19.990046,1.540094,0.002034,0.848711,19.986423,1.541354,0.002089,0.848239,19.988844,1.547439,0.002179,0.847582,20.091031,1.598975,0.002271,0.848421,21.167270,2.157024,
"SPHINCS+-SHA256-128s-robust",0.005382,93.494781,711.037498,1.001894,0.005321,93.520693,710.966637,1.001901,0.005114,93.515056,710.878511,1.005169,0.004548,93.559973,711.189321,1.002686,0.004592,93.541400,711.171758,1.001887,0.004499,93.525302,711.198109,1.008946,0.004480,93.498402,710.936451,1.067990,0.004635,93.548915,712.285302,1.672646,
"SPHINCS+-SHA256-128s-simple",0.005688,49.962809,379.766039,0.554332,0.005584,49.986011,379.814542,0.556132,0.005360,50.001540,379.905574,0.555484,0.004842,50.014291,380.029487,0.557285,0.004815,49.996247,379.916169,0.557856,0.004725,49.985058,379.874641,0.563859,0.004696,49.984338,379.868677,0.623561,0.004939,49.943660,380.747254,1.229003,
"SPHINCS+-SHA256-192f-robust",0.003405,2.181436,60.472133,4.403928,0.003443,2.181147,60.436950,4.409409,0.003285,2.180423,60.440601,4.401289,0.003021,2.180708,60.446780,4.420243,0.003049,2.179550,60.441890,4.411155,0.003291,2.180217,60.448092,4.421877,0.003196,2.179181,60.556932,4.478230,0.003617,2.183323,61.631730,5.049599,
"SPHINCS+-SHA256-192f-simple",0.002683,1.170881,32.428342,2.332514,0.002813,1.172601,32.436462,2.328044,0.002739,1.172543,32.444263,2.332403,0.002535,1.170891,32.430023,2.330980,0.002653,1.173342,32.439649,2.333894,0.002689,1.172674,32.461108,2.339174,0.002768,1.172405,32.564659,2.396453,0.003079,1.175631,33.654632,2.960456,
"SPHINCS+-SHA256-192s-robust",0.006271,137.924246,1355.877956,1.550807,0.006204,138.109584,1357.784968,1.551373,0.005934,137.929773,1356.080254,1.553786,0.005282,137.956340,1356.061306,1.551295,0.005345,137.939858,1356.174926,1.555237,0.005219,137.945791,1356.235940,1.561726,0.005245,137.926114,1356.267492,1.619616,0.005344,138.175174,1359.665508,2.233815,
"SPHINCS+-SHA256-192s-simple",0.005893,70.934997,722.632915,0.799297,0.005937,70.907480,722.472419,0.798163,0.005517,70.926398,722.449798,0.800106,0.005119,70.915129,722.571228,0.799457,0.005038,70.897665,722.416223,0.800914,0.004991,70.929101,722.636276,0.808112,0.004974,70.913108,722.611718,0.868768,0.005189,70.916958,723.793164,1.474577,
"SPHINCS+-SHA256-256f-robust",0.005256,11.570630,236.276547,4.939595,0.005290,11.572779,236.309471,4.939334,0.005023,11.574055,236.388953,4.940866,0.004636,11.567303,236.447449,4.939940,0.004700,11.565752,236.397593,4.944662,0.004758,11.567621,236.462069,4.949385,0.004750,11.564111,236.500479,5.005401,0.005196,11.571165,237.600737,5.607383,
"SPHINCS+-SHA256-256f-simple",0.003461,2.906601,62.589000,2.334222,0.003438,2.910407,62.598009,2.336202,0.003310,2.913816,62.750030,2.339937,0.003128,2.913499,62.758923,2.342560,0.003158,2.917663,62.726249,2.338908,0.003242,2.914175,62.745631,2.348084,0.003330,2.917851,62.865994,2.398718,0.003765,2.917543,63.934227,2.978150,
"SPHINCS+-SHA256-256s-robust",0.006212,184.371318,2182.062027,2.496145,0.006361,184.664873,2186.441730,2.504630,0.005968,184.376926,2182.585704,2.496670,0.005408,184.500090,2183.795566,2.501793,0.005446,184.477637,2184.553169,2.499952,0.005476,184.619026,2185.809670,2.508103,0.005510,184.608410,2185.977717,2.569279,0.005587,184.505295,2185.430397,3.176010,
"SPHINCS+-SHA256-256s-simple",0.006157,45.462866,592.331675,1.164336,0.006267,45.495041,592.599202,1.163129,0.005890,45.462440,592.429445,1.165609,0.005288,45.443250,591.997055,1.167761,0.005284,45.445273,592.256679,1.164673,0.005259,45.458606,592.324374,1.170280,0.005318,45.504146,593.132909,1.234443,0.005577,45.484720,593.841922,1.845893,
"SPHINCS+-SHAKE256-128f-robust",0.004790,3.264633,83.612983,10.198931,0.006007,3.350660,83.972975,10.674863,0.006193,3.320172,84.414923,11.457821,0.006657,4.021469,84.699016,11.403255,0.006690,4.086809,84.675132,11.401816,0.006600,4.091815,84.323694,11.379327,0.006798,3.565360,84.972220,12.113896,0.006961,3.638238,94.525842,16.726695,
"SPHINCS+-SHAKE256-128f-simple",0.005751,2.150014,45.808916,5.615726,0.005646,2.133091,45.605408,5.600406,0.005465,2.132770,45.608205,5.613784,0.004922,2.130614,45.580348,5.623255,0.005229,2.137419,45.642827,5.643806,0.005102,2.155799,45.890422,5.687516,0.005393,1.943059,46.966078,6.349726,0.006164,1.980511,56.363377,11.011393,
"SPHINCS+-SHAKE256-128s-robust",0.007613,203.558104,1540.926120,3.812667,0.006906,201.783479,1527.768705,3.819053,0.006333,201.594400,1526.535191,3.807359,0.005952,201.789970,1527.725414,3.821019,0.005897,201.668931,1526.725654,3.836266,0.033372,201.980521,1528.053272,3.937290,0.074557,204.456200,1541.389226,4.520765,0.081156,205.630789,1560.562836,9.117963,
"SPHINCS+-SHAKE256-128s-simple",0.006918,110.427735,845.778036,1.986328,0.006704,109.506947,838.690054,1.969497,0.006273,109.627597,839.503118,1.970007,0.005624,109.652547,839.536699,1.957903,0.005626,109.694450,839.962831,1.954558,0.022154,109.788945,839.868893,2.022332,0.053432,111.173111,848.059782,2.532609,0.058677,111.830880,863.175657,7.153306,
"SPHINCS+-SHAKE256-192f-robust",0.008419,6.587650,132.563891,16.212658,0.008339,6.729362,132.326557,16.247617,0.008131,6.824766,132.276996,16.248551,0.007822,6.929473,132.128947,16.288460,0.007715,6.999085,132.099340,16.289501,0.008077,7.079151,132.559506,16.336488,0.713180,4.785448,133.746166,18.479651,0.718253,4.860444,143.958773,23.160011,
"SPHINCS+-SHAKE256-192f-simple",0.007794,3.466898,72.852028,8.291341,0.006833,3.456899,72.786849,8.246272,0.006657,3.485980,72.942771,8.241113,0.006347,3.490825,72.890969,8.205975,0.006348,3.493729,72.914566,8.188211,0.006670,3.510312,73.244350,8.249530,0.270341,2.614132,74.207157,9.312146,0.275295,2.671554,84.091086,14.025774,
