Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.001800,0.131100,0.300700,0.066100,0.001100,0.109000,0.164900,0.053700,0.001000,0.107300,0.137100,0.054300,0.001000,0.107600,0.231600,0.052500,0.000600,0.108800,0.266500,0.057300,0.001000,0.108200,0.293400,0.105500,0.000800,0.109600,0.699200,0.555500,0.001500,0.112000,5.211700,5.083000,
"Dilithium3",0.001200,0.150800,0.237300,0.089700,0.001000,0.147100,0.269200,0.088100,0.001000,0.144700,0.287600,0.088300,0.000900,0.145900,0.222100,0.087600,0.000900,0.146500,0.209900,0.093300,0.000900,0.146200,0.355600,0.140700,0.001000,0.146300,0.787000,0.590700,0.001200,0.150000,5.259900,5.123300,
"Dilithium5",0.001300,0.205200,0.387500,0.139200,0.001000,0.197100,0.356300,0.139800,0.001600,0.200800,0.402400,0.138400,0.001500,0.199800,0.319700,0.138300,0.001300,0.197500,0.345200,0.147200,0.001100,0.197300,0.343600,0.189200,0.001000,0.202300,0.846200,0.642700,0.001300,0.200300,5.402300,5.173600,
"Falcon-512",0.001600,9.354200,0.413400,0.054300,0.001500,8.399900,0.410600,0.053800,0.001100,7.985900,0.410400,0.054100,0.001100,8.966500,0.410500,0.054900,0.001000,6.940800,0.415500,0.059100,0.001500,7.324700,0.463000,0.104200,0.001400,8.246800,0.913800,0.558100,0.001800,8.931100,5.468100,5.084300,
"Falcon-1024",0.001600,20.652400,0.715100,0.105900,0.001500,22.751700,0.713400,0.105000,0.001400,25.204900,0.710100,0.104800,0.001300,22.444000,0.713600,0.107000,0.002100,22.873500,0.721800,0.109700,0.001500,25.928600,0.761600,0.158300,0.001400,21.914900,1.216900,0.608900,0.001800,20.563100,5.742800,5.133100,
"SPHINCS+-Haraka-128f-robust",0.002000,0.364700,7.679100,0.449600,0.001400,0.362700,7.673000,0.451100,0.001600,0.363900,7.676800,0.451900,0.001800,0.364200,7.672700,0.457700,0.001200,0.360700,7.680200,0.451000,0.001400,0.363000,7.709700,0.462700,0.001800,0.364100,7.944400,0.587600,0.001500,0.362600,10.409400,1.822200,
"SPHINCS+-Haraka-128f-simple",0.001700,0.329200,6.686500,0.332500,0.001800,0.328900,6.685800,0.332800,0.001500,0.328000,6.682500,0.336400,0.001400,0.327300,6.683300,0.335000,0.001700,0.328000,6.690800,0.336900,0.001400,0.324700,6.719400,0.346100,0.001700,0.327700,6.952300,0.470700,0.001800,0.327100,9.415600,1.698700,
"SPHINCS+-Haraka-128s-robust",0.002400,19.215700,151.585600,0.174900,0.003500,19.266500,153.071300,0.176000,0.002900,19.212500,151.658300,0.173100,0.002800,19.231300,151.658200,0.169400,0.002800,19.221600,151.759100,0.176900,0.002100,19.212300,151.702000,0.185800,0.002100,19.209500,151.875500,0.306900,0.002800,19.228500,154.409900,1.562400,
"SPHINCS+-Haraka-128s-simple",0.003200,17.755400,138.471900,0.122700,0.002300,17.774700,138.307400,0.122100,0.002600,17.773000,138.302800,0.124200,0.002200,17.773000,138.301300,0.121300,0.002200,17.773200,138.259500,0.126200,0.002200,17.780600,138.324800,0.136600,0.002500,17.780300,138.631600,0.259700,0.003200,17.780100,141.069400,1.518800,
"SPHINCS+-Haraka-192f-robust",0.002300,0.524700,13.390900,0.733400,0.002300,0.522200,13.398100,0.725300,0.002000,0.522000,13.407800,0.724400,0.001900,0.517000,13.374300,0.731700,0.002100,0.514700,13.379300,0.739000,0.001700,0.514900,13.404700,0.739300,0.001900,0.511500,13.652400,0.870600,0.003000,0.520700,16.248800,2.125900,
