Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.001210,0.111030,0.210740,0.055340,0.000960,0.109930,0.208410,0.053780,0.000870,0.107920,0.209100,0.053490,0.000780,0.108370,0.194560,0.053790,0.000830,0.108180,0.201950,0.058390,0.000880,0.108320,0.246760,0.103360,0.000860,0.109830,0.701450,0.557240,0.001230,0.112990,5.234370,5.089190,0.003730,0.132950,50.957610,50.748360,0.004790,0.137260,527.743280,527.128620,
"Dilithium3",0.001020,0.148720,0.272860,0.088630,0.001020,0.147280,0.294960,0.088640,0.000960,0.146690,0.303260,0.088590,0.000960,0.146740,0.289880,0.088370,0.000940,0.146640,0.265070,0.093820,0.000920,0.147060,0.343500,0.139140,0.000870,0.147160,0.788780,0.591610,0.001100,0.151120,5.317910,5.116640,0.003700,0.169550,50.961910,50.754350,0.005080,0.173710,527.394630,527.154920,
"Dilithium5",0.001020,0.198670,0.346040,0.139780,0.001140,0.197790,0.337210,0.139250,0.001000,0.197210,0.344900,0.139720,0.000990,0.197860,0.326560,0.139180,0.000770,0.200200,0.352940,0.145100,0.001080,0.197840,0.360160,0.191440,0.001040,0.198870,0.850510,0.642670,0.001210,0.200360,5.382830,5.165540,0.003450,0.221760,51.026700,50.798320,0.005710,0.225120,526.942530,526.905980,
"Falcon-512",0.001440,7.837170,0.411350,0.055190,0.001220,7.817160,0.409920,0.055300,0.001200,8.510050,0.409720,0.054860,0.001200,8.426470,0.410600,0.055480,0.001280,8.622810,0.415040,0.059880,0.001240,8.686750,0.461260,0.106190,0.001250,8.357430,0.916020,0.558410,0.001600,8.414860,5.446980,5.081630,0.005180,8.348760,51.056950,50.676600,0.006940,8.036160,527.425010,526.962480,
"Falcon-1024",0.001360,21.583480,0.700830,0.106780,0.001450,21.548810,0.706550,0.106430,0.001250,21.624770,0.700750,0.105890,0.001260,22.242720,0.701010,0.106450,0.001460,22.192120,0.705450,0.111370,0.001280,23.981210,0.751340,0.156740,0.001510,22.159430,1.206990,0.609600,0.001900,21.836480,5.738130,5.129940,0.005490,22.355220,51.386410,50.735100,0.006970,21.332380,526.958360,526.291540,
"SPHINCS+-Haraka-128f-robust",0.001960,0.362680,7.669240,0.451150,0.001750,0.362050,7.668050,0.449730,0.001610,0.361690,7.666080,0.450560,0.001600,0.363960,7.644700,0.451080,0.001690,0.361760,7.669180,0.452560,0.001360,0.361650,7.695070,0.463560,0.001550,0.362370,7.937210,0.587630,0.001670,0.363430,10.399280,1.826020,0.005840,0.384470,35.469860,14.692850,0.007970,0.385920,306.255540,163.533610,
"SPHINCS+-Haraka-128f-simple",0.002240,0.329210,6.678490,0.333640,0.002010,0.325410,6.636310,0.332250,0.001980,0.328520,6.673160,0.333460,0.001880,0.328240,6.674180,0.332430,0.001890,0.330960,6.681740,0.333770,0.001850,0.326950,6.701590,0.346060,0.001990,0.329340,6.947170,0.469090,0.002140,0.331900,9.408790,1.708790,0.005960,0.352440,34.486620,14.580310,0.007670,0.351490,305.342190,163.505360,
"SPHINCS+-Haraka-128s-robust",0.002480,19.148320,151.127500,0.171450,0.002350,19.161040,151.230010,0.171810,0.002260,19.189110,151.434380,0.171170,0.001970,19.197010,151.496180,0.171160,0.002030,19.164100,151.287020,0.174710,0.001910,19.153940,151.254120,0.185720,0.002370,19.193440,151.726640,0.310680,0.003290,19.189760,154.211600,1.580160,0.006040,19.220300,179.255670,14.468410,0.008020,19.248580,450.447060,163.516460,
"SPHINCS+-Haraka-128s-simple",0.003320,17.721260,138.170340,0.123430,0.003290,17.731150,138.116040,0.123430,0.003100,17.721420,138.046460,0.124010,0.002780,17.750260,138.198950,0.124460,0.002410,17.707400,137.997790,0.125550,0.002110,17.748670,138.222390,0.137170,0.002270,17.731040,138.338420,0.261900,0.002550,17.736660,140.852260,1.516150,0.005860,17.730140,165.696720,14.355800,0.007740,17.772700,436.777190,163.346940,
"SPHINCS+-Haraka-192f-robust",0.001730,0.519690,13.471100,0.730780,0.001820,0.519030,13.467840,0.729900,0.001810,0.518940,13.468470,0.729850,0.001590,0.518800,13.467010,0.729990,0.001420,0.519010,13.461600,0.730100,0.001510,0.519610,13.491590,0.745300,0.001580,0.518120,13.708370,0.871690,0.001640,0.519430,16.189520,2.105060,0.005800,0.542070,41.199610,14.948270,0.007970,0.545340,312.174360,163.662340,
"SPHINCS+-Haraka-192f-simple",0.001770,0.436700,10.812860,0.504190,0.001590,0.442520,10.869330,0.502730,0.001700,0.435610,10.797950,0.504510,0.001400,0.438300,10.858990,0.504690,0.001400,0.435490,10.806680,0.504920,0.001460,0.436100,10.842410,0.516490,0.001440,0.436760,11.076280,0.640460,0.001670,0.437170,13.529960,1.882350,0.005950,0.459930,38.639860,14.737260,0.008030,0.460080,309.649320,163.426690,
"SPHINCS+-Haraka-192s-robust",0.003900,29.161480,297.772440,0.268600,0.003700,29.194380,297.965680,0.269400,0.002940,29.193640,297.781900,0.266340,0.002520,29.180980,297.620570,0.267770,0.002660,29.199260,297.502690,0.269330,0.003050,29.175140,297.868230,0.283350,0.002600,29.204740,297.992290,0.405130,0.002810,29.195040,300.566530,1.669170,0.005780,29.240860,325.476120,14.551190,0.007990,29.194820,596.225320,163.331200,
