Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.001400,0.114400,0.210500,0.054700,0.001300,0.106900,0.205600,0.054300,0.000800,0.107500,0.150400,0.053200,0.001000,0.107000,0.194800,0.054200,0.000800,0.108400,0.153000,0.058900,0.000700,0.107200,0.239000,0.102600,0.000900,0.108400,0.682900,0.558900,0.001600,0.112500,5.238900,5.090500,0.004400,0.133600,50.994500,50.798700,0.007800,0.140800,527.336000,526.980100,
"Dilithium3",0.001200,0.151400,0.229700,0.088900,0.001000,0.148200,0.255800,0.089200,0.001100,0.150100,0.423900,0.089600,0.001200,0.148700,0.293000,0.090200,0.001000,0.148800,0.249100,0.092200,0.001000,0.147300,0.381800,0.140600,0.001100,0.147000,0.747000,0.590200,0.001700,0.151400,5.414100,5.132100,0.004500,0.176100,51.104500,50.850500,0.005400,0.173600,527.622700,527.905000,
"Dilithium5",0.001500,0.204300,0.307700,0.142800,0.001100,0.198900,0.308300,0.140800,0.001300,0.202700,0.388300,0.140300,0.001200,0.199400,0.338900,0.140000,0.000800,0.201200,0.308000,0.145400,0.001100,0.200300,0.373100,0.191500,0.001300,0.201700,0.863400,0.645900,0.001700,0.202200,5.337000,5.181200,0.004400,0.228100,51.204800,50.961300,0.005500,0.229300,528.183100,527.655400,
"Falcon-512",0.002000,9.460700,0.424100,0.055400,0.001300,7.598000,0.416600,0.055400,0.001100,10.571100,0.412400,0.054600,0.001200,8.973900,0.416100,0.055300,0.001500,8.266200,0.420600,0.059700,0.001400,7.702100,0.465600,0.104200,0.001700,8.199100,0.917300,0.560700,0.001700,7.781500,5.462200,5.086700,0.005900,7.810400,51.234100,50.892400,0.007300,7.503500,527.559200,527.667800,
"Falcon-1024",0.002100,23.412300,0.712000,0.107600,0.001600,22.127400,0.699700,0.105100,0.001400,23.020600,0.707000,0.105300,0.001500,25.521200,0.701200,0.106900,0.001600,25.995200,0.711100,0.110100,0.001400,24.854200,0.753100,0.158400,0.001300,20.946600,1.202500,0.611700,0.002100,20.508000,5.744300,5.139900,0.006600,21.131800,51.564700,50.922100,0.008400,23.993000,528.731900,528.153000,
"SPHINCS+-Haraka-128f-robust",0.002300,0.367000,7.700900,0.453700,0.001900,0.364900,7.701200,0.454700,0.002100,0.359700,7.710300,0.447000,0.001900,0.364400,7.697400,0.453900,0.001800,0.365400,7.693300,0.452700,0.001900,0.370500,7.702700,0.462200,0.001800,0.360700,7.980400,0.588700,0.001400,0.363800,10.412300,1.829000,0.006500,0.384000,35.534800,14.685700,0.008400,0.389700,307.249400,163.943100,
"SPHINCS+-Haraka-128f-simple",0.002800,0.332200,6.731800,0.337400,0.002100,0.334100,6.725800,0.339000,0.002000,0.328700,6.710500,0.337800,0.002000,0.328400,6.697800,0.334900,0.001700,0.329100,6.721500,0.335400,0.001800,0.327800,6.730600,0.347800,0.001800,0.331000,6.964500,0.471400,0.002000,0.332800,9.458700,1.723700,0.006700,0.359000,34.685800,14.677000,0.008700,0.364600,307.054000,164.000300,
"SPHINCS+-Haraka-128s-robust",0.005800,19.247800,152.411300,0.173000,0.005100,19.270900,152.384400,0.174700,0.003900,19.282600,152.342800,0.171700,0.002900,19.240800,152.287900,0.174600,0.003500,19.269900,152.481000,0.172700,0.003300,19.277700,152.493400,0.185200,0.004000,19.277700,153.013500,0.319600,0.004400,19.297200,155.366800,1.605300,0.008100,19.321300,180.492900,14.515800,0.009300,19.318200,450.910400,163.204900,
"SPHINCS+-Haraka-128s-simple",0.004200,17.774600,138.215300,0.126300,0.003600,17.768000,138.245800,0.124600,0.003500,17.771200,138.221200,0.122100,0.002800,17.764800,138.199500,0.125500,0.003200,17.767200,138.227400,0.125800,0.003000,17.787300,138.278000,0.137000,0.003500,17.786700,138.537500,0.264600,0.003500,17.814400,141.216300,1.528600,0.006900,17.808400,166.389500,14.476400,0.008200,17.850500,437.845400,163.472400,
"SPHINCS+-Haraka-192f-robust",0.002500,0.518600,13.391300,0.735900,0.002300,0.516200,13.376800,0.735700,0.002000,0.518000,13.398600,0.751200,0.001400,0.518200,13.376700,0.724500,0.001800,0.516800,13.374000,0.730400,0.001800,0.517800,13.423300,0.744600,0.001900,0.516000,13.639400,0.868400,0.002100,0.516400,16.103100,2.105400,0.007100,0.543900,41.421300,15.039500,0.010200,0.542700,313.276500,164.160800,
