Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002100,0.160900,0.264100,0.083100,0.001600,0.142500,0.288200,0.074500,0.001200,0.109300,0.201100,0.052400,0.001100,0.106900,0.205400,0.054700,0.000900,0.111400,0.220700,0.057400,0.000800,0.111400,0.256000,0.102800,0.000900,0.108300,0.699000,0.557400,0.001000,0.113700,5.205600,5.077500,
"Dilithium3",0.001200,0.146800,0.190400,0.090400,0.000700,0.146800,0.256100,0.087900,0.000900,0.147900,0.262700,0.088000,0.001000,0.145500,0.322200,0.087900,0.000900,0.150500,0.346800,0.092200,0.001000,0.146100,0.346300,0.138400,0.001100,0.147600,0.752600,0.595700,0.001300,0.150900,5.382900,5.126800,
"Dilithium5",0.001500,0.201700,0.353000,0.141600,0.001500,0.198200,0.392900,0.140200,0.001300,0.197300,0.358700,0.139800,0.001200,0.197500,0.300100,0.139400,0.001500,0.198100,0.317200,0.145700,0.000900,0.198700,0.405200,0.189700,0.001000,0.198800,0.828400,0.642600,0.001800,0.203200,5.374100,5.174200,
"Falcon-512",0.001700,7.201700,0.411400,0.054000,0.001200,8.476900,0.409700,0.054000,0.001200,7.290700,0.409100,0.055000,0.000900,8.448500,0.409800,0.054900,0.001100,8.163800,0.418100,0.059000,0.001200,8.800800,0.462300,0.105100,0.001400,8.701100,0.916400,0.556400,0.001800,8.218200,5.442500,5.081000,
"Falcon-1024",0.001600,20.071700,0.714300,0.106200,0.001200,21.646500,0.706800,0.106200,0.001400,22.101900,0.709500,0.106800,0.001200,23.956900,0.710800,0.108400,0.001700,22.353100,0.717600,0.111200,0.001400,20.944700,0.761500,0.155000,0.001500,20.743100,1.218200,0.609100,0.001800,21.038100,5.740200,5.130600,
"SPHINCS+-Haraka-128f-robust",0.001800,0.365700,7.672300,0.454600,0.001300,0.363600,7.681500,0.450300,0.001800,0.365300,7.692200,0.449400,0.001800,0.365700,7.680700,0.454400,0.001500,0.364600,7.679400,0.457700,0.001500,0.362600,7.704500,0.463600,0.001500,0.361400,7.935900,0.591000,0.001700,0.363600,10.399300,1.825600,
"SPHINCS+-Haraka-128f-simple",0.001600,0.325200,6.679300,0.330000,0.001900,0.328400,6.693500,0.330400,0.001400,0.327300,6.680500,0.332400,0.001300,0.330900,6.684400,0.332900,0.001500,0.328800,6.688600,0.336400,0.001700,0.326900,6.705500,0.350000,0.001700,0.328000,6.950500,0.472300,0.002000,0.329900,9.410900,1.708100,
"SPHINCS+-Haraka-128s-robust",0.002800,19.216000,151.647000,0.170000,0.002200,19.219600,151.612600,0.173800,0.003300,19.245100,151.744500,0.171500,0.002600,19.216500,151.643300,0.172200,0.001900,19.212800,151.664100,0.174700,0.002300,19.212200,151.696600,0.190100,0.002200,19.215300,151.922000,0.313500,0.002600,19.212600,154.330100,1.562800,
"SPHINCS+-Haraka-128s-simple",0.002600,17.762200,138.143800,0.125700,0.002000,17.755900,138.154800,0.125400,0.002200,17.750200,138.119400,0.126600,0.002200,17.748400,138.113200,0.122500,0.002300,17.747500,138.140300,0.125200,0.001900,17.741400,138.150300,0.137000,0.002000,17.744200,138.421200,0.260600,0.002700,17.772300,140.851600,1.510600,
"SPHINCS+-Haraka-192f-robust",0.002000,0.521500,13.531300,0.720200,0.001900,0.518900,13.444200,0.732900,0.002200,0.518600,13.376900,0.726100,0.001300,0.517200,13.366100,0.739100,0.001900,0.515700,13.376900,0.729800,0.001600,0.516100,13.396700,0.742000,0.001600,0.515900,13.637600,0.866200,0.001900,0.518800,16.138900,2.100100,
