Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.001900,0.154700,0.275800,0.084500,0.001300,0.149000,0.267300,0.085200,0.001000,0.135600,0.246000,0.071300,0.000800,0.108100,0.176500,0.052800,0.001100,0.110000,0.206900,0.056800,0.000800,0.110500,0.266300,0.102100,0.000700,0.107600,0.697900,0.555300,0.001000,0.111900,5.198100,5.080200,
"Dilithium3",0.001500,0.147700,0.287600,0.088600,0.001400,0.148900,0.300100,0.087400,0.001200,0.146000,0.324300,0.089400,0.001300,0.147400,0.279800,0.087800,0.001600,0.147000,0.262700,0.092100,0.001000,0.147700,0.388600,0.138000,0.001000,0.146800,0.757500,0.590600,0.001300,0.150000,5.325300,5.115200,
"Dilithium5",0.001000,0.200700,0.297600,0.141500,0.001000,0.200600,0.337300,0.139200,0.000900,0.197500,0.362000,0.138700,0.001000,0.198800,0.304200,0.139500,0.001400,0.198700,0.363100,0.145600,0.000900,0.197500,0.325400,0.188300,0.001100,0.197000,0.848700,0.642800,0.001400,0.199600,5.345500,5.166300,
"Falcon-512",0.001400,8.271500,0.416600,0.054300,0.001500,7.937300,0.412700,0.054100,0.001200,9.103600,0.409600,0.054000,0.001600,9.307800,0.414700,0.054700,0.001400,9.633400,0.418000,0.060300,0.001300,8.026700,0.461000,0.103600,0.001400,8.520000,0.914100,0.558200,0.001800,6.704200,5.446400,5.074400,
"Falcon-1024",0.001800,20.228000,0.711500,0.105700,0.001500,20.812800,0.711400,0.105300,0.001800,22.653200,0.707500,0.105400,0.001300,21.009000,0.710900,0.105900,0.001300,24.445200,0.714800,0.110200,0.001500,26.697400,0.763600,0.156700,0.001500,20.441400,1.220400,0.607400,0.001700,23.784700,5.746100,5.135100,
"SPHINCS+-Haraka-128f-robust",0.001800,0.363100,7.690700,0.451100,0.002900,0.369400,7.723100,0.454100,0.002600,0.371000,7.703400,0.455800,0.001800,0.364000,7.699600,0.456500,0.001400,0.362300,7.677500,0.450200,0.001500,0.369200,7.698300,0.473900,0.001500,0.363100,7.937900,0.591600,0.001600,0.361700,10.416500,1.825700,
"SPHINCS+-Haraka-128f-simple",0.001700,0.329300,6.684800,0.330200,0.001900,0.328800,6.683800,0.333200,0.001900,0.328100,6.679200,0.331500,0.001500,0.332000,6.674000,0.334000,0.001300,0.330100,6.679100,0.333600,0.001300,0.327200,6.703000,0.348200,0.001600,0.327900,6.975500,0.477000,0.001900,0.327500,9.423800,1.711000,
"SPHINCS+-Haraka-128s-robust",0.002700,19.232000,151.727300,0.170900,0.002800,19.217800,151.658900,0.173100,0.002700,19.212600,151.701000,0.169100,0.002200,19.214900,151.659500,0.172000,0.002300,19.212000,151.711300,0.175000,0.002600,19.238300,151.700400,0.189100,0.002800,19.229100,151.956600,0.310900,0.002700,19.221300,154.361800,1.567900,
"SPHINCS+-Haraka-128s-simple",0.003600,17.762000,138.177300,0.121100,0.002500,17.754500,138.070500,0.126200,0.002200,17.756200,138.092800,0.124100,0.002800,17.774500,138.191900,0.128500,0.002200,17.754700,138.170000,0.122500,0.001800,17.746400,138.184000,0.136600,0.002800,17.761700,138.501700,0.262300,0.002800,17.755000,140.883300,1.525900,
"SPHINCS+-Haraka-192f-robust",0.002100,0.518200,13.373400,0.722000,0.001700,0.516400,13.367800,0.728100,0.001900,0.514800,13.365100,0.723600,0.001600,0.518700,13.350500,0.735300,0.001600,0.514600,13.361700,0.732500,0.001600,0.515600,13.408500,0.742800,0.001700,0.518000,13.629400,0.869100,0.001700,0.517800,16.098500,2.099700,
"SPHINCS+-Haraka-192f-simple",0.001700,0.440400,10.818100,0.505200,0.002000,0.435400,10.823900,0.503000,0.001900,0.438800,10.815600,0.503300,0.001400,0.436800,10.804400,0.504100,0.001600,0.438100,10.815100,0.501400,0.001900,0.440600,10.855300,0.517000,0.001500,0.436600,11.078300,0.643700,0.001700,0.436500,13.541400,1.882400,
