Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.152700,0.352000,0.084100,0.001800,0.147800,0.325200,0.083000,0.001400,0.123400,0.253200,0.064600,0.001000,0.107400,0.220800,0.052200,0.000500,0.108200,0.180200,0.058700,0.000800,0.107200,0.272700,0.104100,0.000800,0.109800,0.707700,0.553200,0.001100,0.110500,5.206100,5.080400,
"Dilithium3",0.001200,0.146700,0.340000,0.087500,0.001000,0.150400,0.288100,0.087700,0.000800,0.145200,0.275300,0.088800,0.001000,0.146000,0.276100,0.089400,0.000900,0.149100,0.311600,0.091900,0.001000,0.145000,0.384100,0.137800,0.000700,0.148200,0.768500,0.595700,0.001000,0.150500,5.379000,5.130700,
"Dilithium5",0.001600,0.199500,0.365700,0.141500,0.001400,0.197800,0.311400,0.139700,0.001300,0.197600,0.322800,0.139300,0.001200,0.200300,0.294300,0.138700,0.000700,0.197400,0.358300,0.148100,0.001200,0.198700,0.347900,0.188800,0.001100,0.201600,0.854000,0.643400,0.001300,0.202500,5.385400,5.179000,
"Falcon-512",0.001300,8.239500,0.410800,0.054300,0.001200,8.093600,0.409900,0.055300,0.001200,8.540000,0.410900,0.054300,0.001000,12.197400,0.414000,0.056500,0.001100,7.247300,0.411700,0.062300,0.001200,7.168700,0.460600,0.104800,0.001500,8.526600,0.915000,0.557300,0.001600,8.055800,5.442600,5.089200,
"Falcon-1024",0.001700,27.194800,0.714100,0.105800,0.001200,21.288100,0.708500,0.105600,0.001500,25.715900,0.712700,0.105500,0.001300,18.492300,0.711000,0.107100,0.001300,22.517000,0.717400,0.110700,0.001200,23.789400,0.760000,0.158300,0.001500,27.170700,1.214800,0.611900,0.001800,24.340200,5.739200,5.125800,
"SPHINCS+-Haraka-128f-robust",0.002000,0.366500,7.675500,0.453700,0.001700,0.362400,7.676300,0.453400,0.001500,0.363100,7.677100,0.447600,0.001500,0.359800,7.676200,0.448300,0.001400,0.358200,7.683900,0.453100,0.001300,0.363800,7.699700,0.465600,0.001500,0.362800,7.957000,0.588100,0.001700,0.362200,10.428700,1.830500,
"SPHINCS+-Haraka-128f-simple",0.001700,0.329500,6.687200,0.332100,0.001800,0.327900,6.687000,0.328900,0.001600,0.328400,6.686200,0.337700,0.001600,0.328900,6.690600,0.333200,0.001500,0.326000,6.694600,0.334000,0.001800,0.326500,6.730600,0.348000,0.001600,0.326200,6.960100,0.468400,0.002000,0.328600,9.409900,1.705600,
"SPHINCS+-Haraka-128s-robust",0.002700,19.223500,151.744600,0.171100,0.002500,19.214300,151.667800,0.173200,0.002500,19.210000,151.572100,0.170100,0.001900,19.212800,151.628500,0.173000,0.002000,19.221300,151.658100,0.173200,0.002000,19.210100,151.714400,0.184700,0.002100,19.215400,151.934700,0.308100,0.002800,19.222900,154.382700,1.551700,
"SPHINCS+-Haraka-128s-simple",0.002200,17.758000,138.119300,0.121700,0.001900,17.752300,138.102200,0.122100,0.002400,17.748600,138.148400,0.122900,0.001600,17.743000,138.149200,0.119600,0.002500,17.760300,138.161700,0.125000,0.001700,17.764500,138.262900,0.136400,0.001800,17.752600,138.482100,0.260200,0.002200,17.758700,140.855200,1.493900,
"SPHINCS+-Haraka-192f-robust",0.002100,0.519100,13.380300,0.719600,0.001900,0.515200,13.359400,0.729000,0.001900,0.518000,13.351200,0.733600,0.001600,0.517900,13.359300,0.730700,0.001700,0.514700,13.358700,0.734100,0.001900,0.515800,13.410600,0.748400,0.001900,0.520000,13.640500,0.866400,0.001900,0.516600,16.115800,2.110700,
"SPHINCS+-Haraka-192f-simple",0.002200,0.437600,10.830700,0.506300,0.002300,0.435000,10.825100,0.503800,0.001700,0.439400,10.841700,0.505400,0.001500,0.437000,10.814500,0.505200,0.001600,0.434600,10.826500,0.504700,0.001600,0.437200,10.836300,0.520700,0.001500,0.435700,11.091600,0.643600,0.002000,0.435900,13.560200,1.886100,
"SPHINCS+-Haraka-192s-robust",0.004300,29.201100,298.322000,0.270400,0.003500,29.178900,298.056200,0.271700,0.002500,29.331700,299.082600,0.267500,0.003400,29.419200,298.298500,0.266700,0.002700,29.343200,298.382900,0.274200,0.002800,29.366200,298.067700,0.284200,0.002700,29.223900,298.394800,0.410800,0.003100,29.218900,300.878000,1.656100,
"SPHINCS+-Haraka-192s-simple",0.002800,22.888300,231.824000,0.186700,0.003200,22.882500,231.843700,0.185400,0.003300,22.933900,232.134900,0.184800,0.002200,22.879400,231.794900,0.183300,0.002400,22.878700,231.779300,0.186500,0.002900,22.878200,231.822300,0.200200,0.002200,22.877800,232.100700,0.323300,0.003000,22.890000,234.626100,1.576900,
"SPHINCS+-Haraka-256f-robust",0.002200,1.141800,24.117800,0.706000,0.001600,1.141400,24.139300,0.701000,0.002000,1.135100,24.124500,0.703100,0.001900,1.138100,24.137400,0.707600,0.001500,1.137400,24.144000,0.697400,0.001400,1.136500,24.161300,0.717400,0.001500,1.141300,24.403200,0.844400,0.002000,1.141000,26.884800,2.076100,
"SPHINCS+-Haraka-256f-simple",0.001700,1.007800,20.653700,0.508800,0.001800,1.008100,20.673700,0.504600,0.001800,1.007400,20.671800,0.504100,0.001700,1.007300,20.666500,0.496400,0.001700,1.004600,20.654500,0.505000,0.001500,1.007800,20.710200,0.520400,0.001900,1.007500,20.943600,0.639900,0.001800,1.006300,23.403200,1.883900,
"SPHINCS+-Haraka-256s-robust",0.002600,17.021200,247.462200,0.367600,0.002500,17.006100,247.451400,0.370100,0.002300,17.013800,247.646000,0.364400,0.002300,17.011800,247.629500,0.365700,0.002900,17.012700,247.657000,0.371500,0.002000,17.011400,247.658200,0.381900,0.003100,17.014900,247.844900,0.509100,0.002700,17.023700,250.368000,1.759500,
"SPHINCS+-Haraka-256s-simple",0.002800,14.504500,202.161800,0.269400,0.002500,14.495000,202.222500,0.267600,0.002700,14.495200,202.246400,0.265000,0.002600,14.512400,202.300100,0.267000,0.002100,14.492800,202.247600,0.264500,0.002200,14.489900,202.160700,0.281000,0.002200,14.498400,202.562300,0.406200,0.003300,14.517200,204.999800,1.669800,
"SPHINCS+-SHA256-128f-robust",0.002300,1.524100,37.048800,2.887800,0.001900,1.524300,36.990200,2.913700,0.001900,1.520200,37.011100,2.869600,0.001800,1.520300,36.986500,2.869900,0.003500,1.521000,36.977900,2.881200,0.001700,1.522200,37.047300,2.871300,0.002000,1.520900,37.107200,2.954700,0.002200,1.520300,38.219300,3.457200,
"SPHINCS+-SHA256-128f-simple",0.002100,0.841200,19.934200,1.496300,0.002000,0.873200,19.925300,1.503900,0.002600,0.846300,19.913700,1.507800,0.001800,0.843100,19.852100,1.530200,0.001700,0.840400,19.849900,1.517000,0.001400,0.844000,19.886800,1.501700,0.002400,0.843300,20.013900,1.567000,0.001700,0.849200,21.094300,2.121100,
"SPHINCS+-SHA256-128s-robust",0.004800,93.148500,707.975800,0.959800,0.004900,93.053000,707.754300,0.984100,0.004700,93.037700,707.564500,0.963200,0.004300,92.970600,707.523900,0.957200,0.004000,93.025100,707.574500,0.988700,0.003900,92.957700,707.362500,0.980500,0.003700,92.985900,707.629400,1.041100,0.004100,93.015200,708.704900,1.636800,
"SPHINCS+-SHA256-128s-simple",0.004400,49.779200,377.670200,0.527100,0.004100,49.791600,377.667400,0.524000,0.003800,49.775600,377.787400,0.536000,0.003500,49.762300,377.726100,0.533400,0.003500,49.749900,377.640100,0.524300,0.003000,49.718300,377.825200,0.543400,0.003200,49.776500,377.872200,0.595200,0.004000,49.793400,379.016700,1.211100,
"SPHINCS+-SHA256-192f-robust",0.002600,2.166000,60.102900,4.400700,0.002600,2.170800,60.182200,4.342500,0.002300,2.168500,60.163600,4.356500,0.002300,2.169600,60.219600,4.381700,0.002200,2.166800,60.197100,4.377200,0.002100,2.168400,60.168400,4.371400,0.002200,2.167900,60.305800,4.519500,0.002500,2.166700,61.284500,4.991600,
"SPHINCS+-SHA256-192f-simple",0.002200,1.165200,32.329400,2.263500,0.002000,1.169800,32.362600,2.234900,0.001900,1.164100,32.329900,2.245100,0.002400,1.163600,32.340800,2.254300,0.002200,1.170200,32.344600,2.228400,0.001900,1.160500,32.289400,2.260100,0.002100,1.164100,32.314600,2.311100,0.002400,1.160400,33.352400,2.861100,
"SPHINCS+-SHA256-192s-robust",0.005500,135.509900,1334.475700,1.528300,0.005800,134.714500,1328.265400,1.499400,0.005200,134.637700,1328.226700,1.510700,0.004900,134.650400,1328.696300,1.507700,0.004800,134.709100,1328.598900,1.524500,0.004400,134.667500,1328.956700,1.515200,0.004500,134.592500,1328.149600,1.580000,0.004500,134.689700,1329.618000,2.170600,
"SPHINCS+-SHA256-192s-simple",0.004200,71.007000,726.077500,0.817300,0.004200,71.036700,726.017700,0.813600,0.004100,70.925600,725.786400,0.826100,0.003700,71.029300,725.758800,0.824300,0.003800,70.997100,725.677400,0.811300,0.004100,70.951000,725.630400,0.817600,0.004300,71.029900,726.107200,0.892400,0.004500,71.062300,727.039000,1.481400,
"SPHINCS+-SHA256-256f-robust",0.004900,11.524400,235.327100,4.890700,0.003000,11.509500,235.335600,4.799400,0.003200,11.512100,235.222400,4.843300,0.003600,11.516800,235.221100,4.762800,0.002900,11.511200,235.219200,4.823100,0.003100,11.506900,235.325300,4.839400,0.003500,11.509600,235.389300,4.829600,0.004100,11.513200,236.385000,5.452300,
"SPHINCS+-SHA256-256f-simple",0.002900,2.901000,62.238300,2.259200,0.002100,2.893600,62.181500,2.267200,0.002200,2.891700,62.169900,2.283400,0.002200,2.892100,62.209800,2.263000,0.002200,2.889900,62.210700,2.273800,0.002000,2.892800,62.242900,2.267900,0.002100,2.889900,62.358200,2.334000,0.003000,2.897700,63.407000,2.901600,
