Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.155600,0.311100,0.086400,0.002000,0.152200,0.412200,0.081300,0.001200,0.111500,0.168100,0.053100,0.001000,0.109100,0.171400,0.052400,0.000900,0.110600,0.196700,0.057400,0.000800,0.108800,0.250500,0.102600,0.000900,0.110700,0.732100,0.555500,0.001100,0.114300,5.263000,5.074400,
"Dilithium3",0.001200,0.150400,0.259700,0.088800,0.001100,0.145300,0.293200,0.089700,0.001000,0.147100,0.263900,0.087400,0.001000,0.147000,0.278800,0.088100,0.001200,0.147100,0.363100,0.093000,0.001000,0.146700,0.381300,0.137600,0.001400,0.146600,0.680300,0.591200,0.001500,0.154400,5.436900,5.122100,
"Dilithium5",0.001700,0.199200,0.345600,0.141000,0.001400,0.201600,0.317500,0.138900,0.001200,0.197000,0.311700,0.139600,0.001100,0.196400,0.356200,0.140300,0.000900,0.199500,0.322400,0.144100,0.001000,0.199400,0.342900,0.189000,0.001100,0.198600,0.841500,0.644800,0.001600,0.202900,5.413700,5.180300,
"Falcon-512",0.001400,8.367000,0.412000,0.054800,0.001100,7.786200,0.409300,0.055100,0.001400,7.215000,0.412600,0.056500,0.001200,8.118400,0.410300,0.056200,0.001100,8.759600,0.411000,0.059500,0.001200,7.382700,0.460000,0.104300,0.002500,9.706200,0.916800,0.555200,0.001700,7.271600,5.443700,5.074000,
"Falcon-1024",0.001500,21.612500,0.708900,0.106800,0.001000,21.965800,0.709800,0.106400,0.001400,20.812500,0.711900,0.106300,0.001300,21.346400,0.711200,0.106400,0.001600,22.049500,0.715000,0.113000,0.001600,21.443500,0.767200,0.155600,0.001800,19.685000,1.220000,0.607300,0.001900,21.307800,5.734900,5.125500,
"SPHINCS+-Haraka-128f-robust",0.001900,0.365800,7.666300,0.454400,0.001700,0.363100,7.665900,0.455300,0.001500,0.364400,7.673800,0.450100,0.001800,0.363500,7.681700,0.450700,0.001500,0.362000,7.680700,0.452400,0.001400,0.362400,7.698100,0.467000,0.001500,0.362900,7.941600,0.586100,0.001700,0.363400,10.405000,1.836900,
"SPHINCS+-Haraka-128f-simple",0.001900,0.328600,6.678200,0.335700,0.001700,0.353400,6.713400,0.330000,0.001400,0.330400,6.693200,0.329000,0.001300,0.325800,6.690500,0.332000,0.001500,0.325100,6.693200,0.337400,0.001300,0.326700,6.711500,0.344700,0.001600,0.330900,6.967700,0.466000,0.002000,0.326800,9.446500,1.709900,
"SPHINCS+-Haraka-128s-robust",0.002600,19.207400,151.658100,0.174000,0.002400,19.224000,151.659400,0.174200,0.002600,19.210200,151.610700,0.173000,0.002500,19.204300,151.617400,0.168600,0.001800,19.208700,151.615300,0.171000,0.002100,19.219900,151.698200,0.188100,0.002100,19.210100,151.885400,0.309100,0.002800,19.220200,154.314500,1.555400,
"SPHINCS+-Haraka-128s-simple",0.002400,17.755600,138.095300,0.121200,0.002600,17.765500,138.172700,0.124000,0.002100,17.745900,138.085000,0.124200,0.001800,17.755000,138.109300,0.123200,0.002100,17.753800,138.100000,0.125200,0.002000,17.757900,138.186400,0.135500,0.002000,17.748200,138.342300,0.258700,0.002400,17.770500,140.885900,1.507700,
"SPHINCS+-Haraka-192f-robust",0.001800,0.516400,13.373400,0.721300,0.002100,0.516100,13.366400,0.727100,0.001400,0.516800,13.361800,0.730700,0.001500,0.515400,13.367400,0.731800,0.001600,0.520500,13.374100,0.735800,0.001700,0.516700,13.392100,0.742900,0.001600,0.511900,13.642700,0.869200,0.001800,0.515500,16.103900,2.111000,
"SPHINCS+-Haraka-192f-simple",0.002100,0.444600,10.822700,0.499600,0.001800,0.435900,10.809900,0.504300,0.002000,0.434500,10.814400,0.505400,0.001600,0.438400,10.817200,0.504700,0.001600,0.434600,10.808100,0.507700,0.001600,0.435800,10.841600,0.518100,0.001500,0.436900,11.086600,0.647500,0.002700,0.446600,13.549500,1.892600,
"SPHINCS+-Haraka-192s-robust",0.004000,29.289100,298.380900,0.269100,0.003500,29.222300,298.038000,0.268700,0.003500,29.351800,298.170800,0.264400,0.002300,29.155000,297.929600,0.267800,0.002200,29.211300,297.950400,0.268600,0.002600,29.334100,297.915600,0.282500,0.002600,29.270700,298.480500,0.413000,0.003400,29.356400,300.746200,1.663900,
"SPHINCS+-Haraka-192s-simple",0.003300,22.886800,231.901300,0.184000,0.003700,22.892600,232.084300,0.188900,0.002700,22.882300,231.846700,0.182100,0.002000,22.882500,231.755800,0.185700,0.002500,22.886200,231.822400,0.186600,0.002400,22.893400,231.866300,0.198900,0.002400,22.880900,232.111900,0.322600,0.003400,22.888900,234.678200,1.587100,
"SPHINCS+-Haraka-256f-robust",0.002200,1.136300,24.129100,0.702600,0.002300,1.138300,24.139800,0.702500,0.002000,1.138400,24.132500,0.703500,0.001800,1.139900,24.129000,0.699500,0.001800,1.141600,24.125800,0.700300,0.001700,1.140200,24.147300,0.714900,0.001800,1.139700,24.414800,0.835600,0.002100,1.141900,26.846300,2.078200,
"SPHINCS+-Haraka-256f-simple",0.001900,1.008600,20.655700,0.498500,0.002000,1.007000,20.654000,0.504000,0.001800,1.011400,20.657500,0.500400,0.001500,1.008000,20.650700,0.505500,0.002000,1.037000,20.661300,0.505500,0.001600,1.008800,20.694800,0.519500,0.001800,1.005100,20.918200,0.640100,0.002000,1.009200,23.368600,1.872800,
"SPHINCS+-Haraka-256s-robust",0.002800,17.011700,247.564900,0.373000,0.003500,17.013600,247.532100,0.368900,0.002900,17.008500,247.434600,0.369400,0.002800,17.016100,247.507900,0.370800,0.002800,17.009700,247.493200,0.370500,0.002100,17.007300,247.530200,0.386900,0.002400,17.008000,247.766600,0.512100,0.003300,17.012800,250.083300,1.767700,
"SPHINCS+-Haraka-256s-simple",0.002600,14.492300,202.164100,0.265900,0.003000,14.496300,202.110300,0.263100,0.003500,14.508000,202.175300,0.262400,0.002000,14.493300,202.126600,0.267100,0.002200,14.495100,202.122200,0.262900,0.002100,14.487500,202.118400,0.281700,0.002400,14.500900,202.492400,0.405600,0.002900,14.504100,204.882200,1.657500,
"SPHINCS+-SHA256-128f-robust",0.002400,1.525300,37.061600,2.851100,0.002000,1.520900,37.045800,2.827200,0.002000,1.521800,37.010400,2.883500,0.001800,1.521100,36.983200,2.848100,0.002000,1.523100,36.994100,2.874000,0.002500,1.526500,37.065100,2.897800,0.002000,1.519800,37.130000,2.921000,0.002100,1.523600,38.213100,3.478900,
"SPHINCS+-SHA256-128f-simple",0.002200,0.843900,19.882500,1.513000,0.002000,0.841100,19.901000,1.492200,0.001800,0.841200,19.881800,1.512300,0.002000,0.842400,19.888400,1.505300,0.001800,0.842800,19.916200,1.486600,0.001400,0.842700,19.893800,1.511000,0.001800,0.842500,19.993600,1.571200,0.002100,0.838200,21.085700,2.111800,
"SPHINCS+-SHA256-128s-robust",0.004100,93.136900,707.884900,0.991700,0.003900,92.985300,707.355500,0.994300,0.004600,93.090300,707.464800,0.968700,0.003800,92.972100,707.404100,0.973300,0.004000,92.963200,707.351900,0.983700,0.003200,92.959600,707.381600,0.985800,0.003100,92.992100,707.540000,1.040600,0.004300,93.015800,708.766100,1.652000,
"SPHINCS+-SHA256-128s-simple",0.003700,49.761500,377.614600,0.532200,0.004200,49.802200,377.699100,0.527100,0.004200,49.777400,377.653200,0.536600,0.003300,49.726900,377.601800,0.539500,0.003400,49.725100,377.681900,0.541300,0.003600,49.795100,377.736000,0.550900,0.003500,49.746800,377.740600,0.596500,0.003600,49.734000,378.816200,1.175500,
"SPHINCS+-SHA256-192f-robust",0.003000,2.170100,60.090900,4.384000,0.002100,2.168200,60.144500,4.334900,0.002600,2.167000,60.164400,4.354000,0.002100,2.162900,60.128600,4.412200,0.001800,2.162900,60.087500,4.378200,0.002200,2.170200,60.129000,4.378000,0.002300,2.167500,60.270200,4.391700,0.002700,2.169700,61.302100,4.995400,
"SPHINCS+-SHA256-192f-simple",0.002300,1.160800,32.140000,2.239500,0.002000,1.159200,32.122600,2.239600,0.002200,1.159900,32.112200,2.238900,0.002100,1.156700,32.114500,2.248300,0.002000,1.155300,32.123800,2.229200,0.001900,1.158100,32.126000,2.257000,0.002100,1.162500,32.254300,2.300300,0.003100,1.156300,33.339300,2.841300,
"SPHINCS+-SHA256-192s-robust",0.005300,135.311100,1331.466000,1.517200,0.005600,134.543600,1328.002700,1.507600,0.005100,134.826000,1327.794900,1.517000,0.004300,134.524400,1327.973900,1.509300,0.004700,134.857900,1328.178300,1.509900,0.004200,134.595800,1327.682100,1.543700,0.004200,134.579800,1328.191300,1.593700,0.004600,134.687200,1329.110000,2.180900,
"SPHINCS+-SHA256-192s-simple",0.004900,71.213900,727.671700,0.810000,0.004900,71.050400,726.398400,0.824300,0.004800,71.025300,725.551500,0.802500,0.004100,70.925000,725.726900,0.810200,0.003900,70.955000,725.638900,0.805600,0.004000,70.997900,725.676900,0.815000,0.003300,71.008800,725.656700,0.885900,0.004700,70.974500,726.880400,1.466300,
"SPHINCS+-SHA256-256f-robust",0.003600,11.506300,235.156200,4.836500,0.003500,11.514300,235.138000,4.819500,0.003100,11.506400,235.224600,4.788600,0.003100,11.502800,235.253300,4.811500,0.003000,11.507800,235.155000,4.828100,0.003400,11.507800,235.334700,4.827400,0.003200,11.511700,235.331000,4.913100,0.003800,11.504800,236.392100,5.460500,
"SPHINCS+-SHA256-256f-simple",0.002600,2.890500,62.147800,2.271700,0.002500,2.891100,62.134600,2.282200,0.002300,2.889200,62.174400,2.274300,0.002400,2.891100,62.152000,2.290000,0.002300,2.891500,62.125600,2.297500,0.002300,2.889100,62.229900,2.259600,0.002200,2.893300,62.261700,2.382500,0.002300,2.890600,63.345300,2.895800,
"SPHINCS+-SHA256-256s-robust",0.005800,182.978300,2166.059900,2.426300,0.006000,182.910200,2165.232800,2.421800,0.005800,182.891600,2166.424300,2.459100,0.005400,182.931300,2166.359100,2.451500,0.005200,182.894800,2166.070100,2.439400,0.004600,182.880900,2165.980900,2.441500,0.004900,182.837600,2166.267500,2.513000,0.005500,182.872800,2167.620100,3.113000,
"SPHINCS+-SHA256-256s-simple",0.005100,45.192400,587.821700,1.118100,0.004800,45.157200,587.535700,1.128200,0.004500,45.137800,587.413700,1.141800,0.004100,45.134300,587.466000,1.117500,0.004400,45.135300,587.441400,1.134700,0.004200,45.132100,587.421500,1.140700,0.004200,45.138200,587.624300,1.187200,0.004700,45.144700,588.634100,1.786800,
"SPHINCS+-SHAKE256-128f-robust",0.006100,3.936900,85.958500,10.964900,0.005800,4.008700,85.695100,10.981500,0.005700,4.039100,84.794600,11.140700,0.005400,3.990700,84.715100,11.141000,0.005700,3.906300,84.655200,11.206400,0.005800,3.842500,84.256600,11.311000,0.005700,3.460300,85.290700,12.136300,0.006000,3.543300,95.482600,16.606500,
"SPHINCS+-SHAKE256-128f-simple",0.005700,2.203700,47.470600,5.699500,0.005300,2.257500,47.195500,5.772300,0.005300,2.172000,47.331600,5.703500,0.004900,2.212200,47.003100,5.882600,0.005000,2.133200,47.097000,5.658200,0.004800,2.089500,47.025300,5.705500,0.006000,1.923300,47.923200,6.324800,0.005300,1.957800,57.582900,10.844200,
"SPHINCS+-SHAKE256-128s-robust",0.007100,206.408400,1562.119600,3.870900,0.007000,206.351800,1561.217200,3.932400,0.006300,206.349500,1562.898700,3.871800,0.006600,206.235200,1561.884500,3.773800,0.005600,206.124400,1561.139000,3.923200,0.030800,206.005600,1560.646000,3.999100,0.030900,205.616800,1561.122600,4.524900,0.047800,205.789000,1567.534300,8.888600,
