Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002500,0.151200,0.297800,0.082500,0.001000,0.110900,0.227000,0.053400,0.001000,0.108200,0.189500,0.052800,0.001100,0.107600,0.228400,0.052900,0.001000,0.109500,0.232100,0.057900,0.001000,0.107800,0.227100,0.102300,0.000700,0.109700,0.694900,0.555600,0.001200,0.112900,5.261200,5.094300,
"Dilithium3",0.001200,0.148100,0.372100,0.089100,0.001100,0.145300,0.276700,0.087800,0.001200,0.145000,0.342000,0.088000,0.000700,0.147200,0.224800,0.088800,0.001200,0.147000,0.278000,0.092500,0.000900,0.149300,0.334400,0.139400,0.000600,0.146200,0.802000,0.594300,0.001200,0.151300,5.321600,5.127300,
"Dilithium5",0.001400,0.200000,0.311200,0.140300,0.001400,0.198000,0.330400,0.138100,0.001600,0.207300,0.330300,0.145600,0.001500,0.213400,0.328300,0.148400,0.000700,0.200300,0.334800,0.143600,0.001000,0.200300,0.381100,0.190600,0.001000,0.200500,0.865900,0.651000,0.001200,0.200800,5.339400,5.179500,
"Falcon-512",0.001200,9.090000,0.413000,0.055700,0.001100,6.747000,0.409300,0.055600,0.001200,7.956800,0.406600,0.054500,0.001100,7.434300,0.408200,0.057200,0.001200,7.747900,0.417300,0.059300,0.001700,8.497600,0.461400,0.104600,0.001500,7.891900,0.919800,0.560200,0.002300,6.860500,5.463500,5.089100,
"Falcon-1024",0.001400,19.525900,0.713600,0.106500,0.001500,22.645200,0.715400,0.106400,0.001100,21.595900,0.709300,0.109000,0.001400,23.511900,0.709900,0.107000,0.001200,20.563100,0.715000,0.111600,0.001500,20.631300,0.760300,0.157400,0.001700,26.288300,1.220900,0.609800,0.002100,29.546700,5.746600,5.126100,
"SPHINCS+-Haraka-128f-robust",0.002200,0.366400,7.676900,0.455700,0.001600,0.363300,7.675600,0.448200,0.001900,0.363400,7.676400,0.453800,0.001400,0.362500,7.713300,0.453100,0.001500,0.363200,7.677500,0.457200,0.001600,0.362700,7.711000,0.461900,0.001700,0.364200,7.952400,0.589800,0.001900,0.363200,10.424200,1.836700,
"SPHINCS+-Haraka-128f-simple",0.001800,0.327600,6.702500,0.333300,0.001700,0.327900,6.683400,0.334400,0.001700,0.328800,6.687000,0.333700,0.001400,0.330800,6.695100,0.333400,0.001600,0.326800,6.691600,0.339400,0.001500,0.328700,6.726100,0.349100,0.001700,0.326800,6.974800,0.468100,0.002000,0.331200,9.454000,1.711100,
"SPHINCS+-Haraka-128s-robust",0.003200,19.224000,151.735500,0.174200,0.002600,19.225300,151.664900,0.173000,0.002900,19.216900,151.740600,0.172200,0.002900,19.214400,151.674000,0.174400,0.002400,19.220800,151.762700,0.170500,0.002300,19.223200,151.732100,0.184700,0.002700,19.229100,151.918100,0.309400,0.002800,19.222700,154.482900,1.566300,
"SPHINCS+-Haraka-128s-simple",0.002400,17.756200,138.211900,0.122000,0.002000,17.749600,138.190100,0.122800,0.002500,17.791100,138.360200,0.124400,0.002400,17.750300,138.413100,0.122800,0.003700,17.764900,138.155000,0.123800,0.002600,17.783800,138.380900,0.134500,0.002800,17.802700,138.666000,0.267800,0.003000,17.779100,141.099500,1.522400,
"SPHINCS+-Haraka-192f-robust",0.002000,0.517400,13.387800,0.725900,0.002000,0.515700,13.391200,0.737800,0.001700,0.517400,13.399300,0.727000,0.001700,0.519200,13.377400,0.733100,0.001700,0.516900,13.377300,0.726700,0.002000,0.514700,13.418000,0.741300,0.002000,0.516300,13.659700,0.868500,0.002500,0.531800,16.119500,2.105900,
