Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.001800,0.142300,0.251800,0.073900,0.001100,0.109000,0.241900,0.052200,0.001200,0.107500,0.243500,0.052100,0.001000,0.108600,0.182900,0.052400,0.000500,0.110000,0.197700,0.057700,0.000800,0.107600,0.313600,0.103000,0.001000,0.108600,0.684800,0.558500,0.001300,0.114400,5.223900,5.095300,
"Dilithium3",0.001200,0.149600,0.278200,0.087800,0.000600,0.149600,0.257400,0.089000,0.001100,0.147800,0.233500,0.087800,0.001000,0.147000,0.230700,0.089200,0.001100,0.147900,0.340100,0.092900,0.001000,0.145500,0.329500,0.138700,0.000700,0.146300,0.784600,0.595700,0.001100,0.149300,5.374100,5.157500,
"Dilithium5",0.001400,0.198900,0.313200,0.138900,0.001500,0.198700,0.335200,0.139800,0.001400,0.280800,0.388000,0.138800,0.001100,0.197600,0.276300,0.141500,0.001000,0.201800,0.289300,0.146000,0.001100,0.201300,0.399500,0.188900,0.000900,0.201000,0.893500,0.649000,0.001300,0.201000,5.399700,5.182300,
"Falcon-512",0.001300,8.568400,0.410800,0.055600,0.001200,8.992800,0.409900,0.054400,0.001100,7.915400,0.409200,0.054400,0.001200,8.650600,0.414600,0.055200,0.001000,7.353300,0.417100,0.059500,0.001500,7.999100,0.465500,0.105300,0.001200,8.240200,0.926300,0.561700,0.001700,8.401000,5.470400,5.117100,
"Falcon-1024",0.001400,23.533200,0.713200,0.106500,0.001500,20.060400,0.711300,0.106200,0.001500,22.959600,0.708800,0.107400,0.001500,21.550700,0.716900,0.108000,0.001100,21.087700,0.717300,0.110600,0.001600,23.684300,0.762500,0.158800,0.001600,26.710700,1.224000,0.609700,0.002100,22.297300,5.787400,5.167200,
"SPHINCS+-Haraka-128f-robust",0.002400,0.363300,7.689400,0.449500,0.001600,0.363000,7.676300,0.452200,0.001400,0.359700,7.674400,0.452200,0.001600,0.360500,7.679700,0.449200,0.001400,0.364100,7.675000,0.451100,0.002300,0.360400,7.704300,0.466000,0.001400,0.361300,7.935700,0.588100,0.001500,0.361600,10.410500,1.819000,
"SPHINCS+-Haraka-128f-simple",0.002200,0.328300,6.712700,0.338500,0.001800,0.327400,6.682600,0.330600,0.001500,0.326100,6.677500,0.332100,0.001600,0.332500,6.686300,0.329700,0.002500,0.326100,6.681900,0.334700,0.001500,0.328600,6.708600,0.349600,0.001500,0.327700,6.947000,0.473900,0.001800,0.328400,9.413600,1.705300,
"SPHINCS+-Haraka-128s-robust",0.003500,19.230500,151.754400,0.171400,0.002800,19.249600,151.812200,0.170700,0.003100,19.288000,151.928600,0.175100,0.002800,19.225300,151.818500,0.173200,0.002300,19.216400,151.820100,0.178100,0.003200,19.268500,151.764100,0.185600,0.003400,19.225700,152.040200,0.309200,0.003700,19.241200,154.582200,1.571300,
"SPHINCS+-Haraka-128s-simple",0.002800,17.763100,138.209200,0.123800,0.002600,17.769900,138.222400,0.121800,0.002700,17.754900,138.228000,0.123100,0.002000,17.744500,138.210800,0.123600,0.003200,17.771000,138.380700,0.127600,0.002500,17.761700,138.283100,0.137900,0.002300,17.765100,138.481700,0.260400,0.003600,17.857600,141.173200,1.531600,
"SPHINCS+-Haraka-192f-robust",0.002700,0.516600,13.377300,0.728600,0.002100,0.515400,13.367600,0.732200,0.001800,0.519800,13.401600,0.720700,0.001700,0.519600,13.419800,0.730500,0.002000,0.519100,13.442000,0.731400,0.001800,0.516600,13.410600,0.746300,0.001800,0.518900,13.649800,0.866000,0.002300,0.518300,16.095700,2.106400,
