Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002100,0.154300,0.263300,0.083200,0.001700,0.150200,0.272500,0.086700,0.001500,0.147200,0.215700,0.076700,0.001000,0.110500,0.199300,0.053700,0.000700,0.109100,0.212600,0.057600,0.000700,0.109300,0.283700,0.102400,0.001000,0.108500,0.726000,0.555800,0.001200,0.111100,5.249800,5.078000,
"Dilithium3",0.000800,0.148500,0.255400,0.089000,0.001000,0.148900,0.253200,0.087700,0.001200,0.146200,0.332700,0.089700,0.000900,0.148600,0.258200,0.087700,0.001100,0.148000,0.248100,0.093600,0.001000,0.147600,0.439800,0.139000,0.001000,0.147900,0.842800,0.594500,0.001000,0.149400,5.324200,5.122400,
"Dilithium5",0.001200,0.204100,0.289500,0.138600,0.001300,0.197400,0.318200,0.139900,0.001300,0.196400,0.330600,0.140300,0.001500,0.197500,0.322600,0.143300,0.000800,0.198800,0.337500,0.146000,0.001100,0.196600,0.325200,0.190500,0.001000,0.198200,0.932100,0.644100,0.001200,0.202900,5.345300,5.181500,
"Falcon-512",0.001300,8.958700,0.411500,0.054700,0.001100,9.470800,0.409000,0.054200,0.001100,8.297000,0.409200,0.054300,0.001100,7.018600,0.413300,0.055100,0.001100,9.832000,0.414300,0.060700,0.001300,8.107700,0.463600,0.103700,0.001500,7.566000,0.920900,0.558400,0.001600,7.055100,5.437500,5.082000,
"Falcon-1024",0.001800,21.651000,0.715000,0.106300,0.001500,20.126800,0.711000,0.106400,0.001400,21.704300,0.709900,0.106200,0.001200,20.788000,0.710100,0.108600,0.001300,22.547300,0.717100,0.111100,0.001600,22.899300,0.760700,0.155000,0.001600,20.355100,1.214600,0.606300,0.002100,21.085600,5.741600,5.125100,
"SPHINCS+-Haraka-128f-robust",0.002100,0.363000,7.676900,0.448500,0.001600,0.359500,7.681900,0.449300,0.001400,0.361600,7.678600,0.448200,0.001500,0.363900,7.674400,0.455900,0.001500,0.363900,7.669100,0.457000,0.001300,0.361700,7.708400,0.461200,0.001600,0.362200,7.945700,0.591000,0.001900,0.363800,10.410200,1.828800,
"SPHINCS+-Haraka-128f-simple",0.001600,0.327900,6.678400,0.337000,0.001700,0.328700,6.686800,0.328000,0.001400,0.329500,6.685000,0.333200,0.001600,0.329400,6.688000,0.335400,0.001400,0.327200,6.692600,0.335400,0.001600,0.325000,6.715600,0.350300,0.001600,0.326600,6.962400,0.468800,0.002000,0.330800,9.434800,1.704600,
"SPHINCS+-Haraka-128s-robust",0.002700,19.219100,151.656000,0.168800,0.002600,19.217300,151.712900,0.172700,0.002700,19.211800,151.625300,0.169800,0.002300,19.211800,151.623200,0.171100,0.002800,19.218900,151.692900,0.173800,0.002300,19.215500,151.692300,0.183900,0.002400,19.239400,152.025400,0.311000,0.003100,19.240400,154.440600,1.569200,
"SPHINCS+-Haraka-128s-simple",0.002600,17.765300,138.086700,0.120400,0.002300,17.762000,138.097100,0.122000,0.002500,17.751500,138.176100,0.124800,0.002000,17.740400,138.077500,0.125800,0.001900,17.747200,138.116300,0.124600,0.002300,17.744600,138.155000,0.135800,0.002500,17.760400,138.414500,0.263800,0.003000,17.756300,140.863800,1.516200,
"SPHINCS+-Haraka-192f-robust",0.002100,0.519600,13.379600,0.724900,0.002200,0.515000,13.371100,0.733200,0.001700,0.515600,13.367500,0.730400,0.001700,0.517700,13.384500,0.723500,0.001700,0.514700,13.372700,0.727500,0.002000,0.517000,13.399300,0.748800,0.001500,0.515900,13.647800,0.867100,0.002000,0.515500,16.124600,2.102000,
"SPHINCS+-Haraka-192f-simple",0.001700,0.438500,10.829800,0.504500,0.001800,0.435800,10.811500,0.505800,0.002600,0.438000,10.811800,0.504200,0.001800,0.435800,10.809000,0.507400,0.001600,0.435200,10.822200,0.507300,0.002100,0.438600,10.851700,0.517100,0.001500,0.435600,11.098400,0.640200,0.002200,0.437800,13.565000,1.885900,
"SPHINCS+-Haraka-192s-robust",0.003800,29.324700,298.150000,0.267100,0.004300,29.287100,298.260700,0.267500,0.004400,29.231800,298.275300,0.266800,0.003000,29.341100,298.490200,0.268200,0.003600,29.269800,298.316800,0.271100,0.003300,29.321600,298.062400,0.282500,0.003300,29.455900,298.602500,0.403800,0.003900,29.242000,300.773300,1.682900,
"SPHINCS+-Haraka-192s-simple",0.003700,22.907300,231.894000,0.184800,0.003800,22.919900,231.901100,0.186400,0.003300,22.892100,231.883200,0.185000,0.003000,22.903000,231.939000,0.186800,0.003200,22.890900,232.004700,0.189500,0.003400,22.899800,232.087100,0.199600,0.003000,22.882500,232.204200,0.328100,0.003600,22.888000,234.602600,1.588900,
"SPHINCS+-Haraka-256f-robust",0.002000,1.143600,24.141600,0.700500,0.002000,1.144400,24.155600,0.696800,0.001900,1.144900,24.140800,0.702300,0.002000,1.143800,24.116200,0.705300,0.001800,1.137200,24.135800,0.703700,0.001700,1.141700,24.153500,0.716300,0.002000,1.142400,24.426300,0.842200,0.001900,1.140400,26.855800,2.081400,
"SPHINCS+-Haraka-256f-simple",0.002000,1.023300,20.769900,0.500500,0.002000,1.010300,20.658100,0.500800,0.002000,1.008200,20.656300,0.502100,0.002000,1.004800,20.652500,0.502300,0.001700,1.006400,20.671300,0.501700,0.001900,1.007900,20.692500,0.518900,0.002000,1.007100,20.952200,0.643600,0.002200,1.008000,23.395100,1.878200,
"SPHINCS+-Haraka-256s-robust",0.003000,17.028500,247.604200,0.371800,0.003500,17.011200,247.486000,0.370000,0.003700,17.024600,247.587500,0.372100,0.002600,17.020100,247.600300,0.367200,0.002800,17.022100,247.572300,0.375300,0.002400,17.017200,247.532200,0.385600,0.003200,17.020800,247.907900,0.506100,0.003600,17.036400,250.454600,1.785200,
"SPHINCS+-Haraka-256s-simple",0.003100,14.492600,202.199100,0.264100,0.003200,14.502800,202.214200,0.265100,0.002800,14.490900,202.158500,0.262400,0.002700,14.509000,202.155500,0.267500,0.002500,14.493200,202.203200,0.270200,0.002400,14.504500,202.235200,0.282700,0.002500,14.498400,202.380000,0.407200,0.003100,14.505000,204.908100,1.662200,
"SPHINCS+-SHA256-128f-robust",0.002200,1.523700,37.036500,2.892600,0.002000,1.521000,36.996600,2.856100,0.002000,1.519400,36.971800,2.869600,0.001800,1.520900,36.962200,2.867500,0.001900,1.519500,36.975600,2.859000,0.001700,1.523100,37.003200,2.854200,0.001800,1.521100,37.092500,2.941700,0.002100,1.519300,38.195600,3.487300,
"SPHINCS+-SHA256-128f-simple",0.002700,0.849900,19.903000,1.520600,0.001900,0.842900,19.895100,1.503300,0.002000,0.841300,19.871900,1.508400,0.001700,0.842000,19.897300,1.511200,0.001900,0.838700,19.862700,1.525800,0.001800,0.841700,19.895000,1.508300,0.002000,0.844600,20.013000,1.563900,0.002200,0.842800,21.109900,2.123600,
"SPHINCS+-SHA256-128s-robust",0.004700,93.141300,708.473800,0.996700,0.004600,92.976300,707.401800,0.987100,0.004700,92.990400,707.429100,0.955900,0.004500,92.993900,707.400300,0.989300,0.004100,92.984800,707.622000,0.974300,0.003900,93.004400,707.408000,0.976100,0.003500,93.042400,707.696600,1.038100,0.003900,93.008600,708.810100,1.633700,
"SPHINCS+-SHA256-128s-simple",0.004200,49.812400,377.859300,0.524600,0.003600,49.771000,377.674700,0.534300,0.002700,49.760600,377.598300,0.537000,0.003000,49.727300,377.656200,0.526800,0.002600,49.745100,377.643500,0.538700,0.002700,49.708500,377.633600,0.531600,0.002800,49.741600,377.833200,0.585400,0.003500,49.762600,378.882500,1.166500,
"SPHINCS+-SHA256-192f-robust",0.003300,2.168000,60.147200,4.417200,0.002200,2.165700,60.101500,4.379600,0.002200,2.170000,60.186600,4.363000,0.001900,2.167500,60.150700,4.364700,0.002100,2.168300,60.182600,4.411100,0.001900,2.164700,60.125000,4.416600,0.002000,2.167600,60.300900,4.413200,0.002400,2.166500,61.361900,4.942000,
"SPHINCS+-SHA256-192f-simple",0.002300,1.161200,32.171000,2.238100,0.002100,1.158400,32.116500,2.247100,0.002000,1.155900,32.158700,2.215200,0.001800,1.159600,32.119100,2.246000,0.002000,1.156900,32.121900,2.240500,0.001800,1.158800,32.125800,2.260000,0.002000,1.159600,32.264400,2.313400,0.002400,1.158900,33.322100,2.874300,
"SPHINCS+-SHA256-192s-robust",0.005000,134.845100,1329.498000,1.519500,0.005400,134.761600,1327.841200,1.552600,0.005300,134.902000,1327.526100,1.532800,0.004700,134.866900,1327.699500,1.509300,0.004300,134.631900,1327.376700,1.511600,0.004100,134.746400,1328.054100,1.522400,0.004100,134.591100,1327.422600,1.579000,0.004700,134.799700,1329.209600,2.184500,
"SPHINCS+-SHA256-192s-simple",0.005100,71.255200,727.739000,0.820600,0.004700,70.960000,725.793500,0.806700,0.004900,70.996100,725.924300,0.815600,0.004300,70.944900,725.780900,0.810100,0.004500,71.004300,725.743500,0.809800,0.004000,70.965400,725.658300,0.838100,0.004500,71.048300,726.045800,0.884200,0.004800,71.018400,727.116900,1.486900,
"SPHINCS+-SHA256-256f-robust",0.003300,11.511400,235.253800,4.847100,0.003800,11.515700,235.242200,4.780200,0.003200,11.514700,235.186800,4.804600,0.003300,11.512400,235.168600,4.839700,0.003000,11.520800,235.257300,4.811200,0.003800,11.526400,235.300000,4.810400,0.003300,11.518600,235.364500,4.892200,0.004700,11.530500,236.390300,5.494100,
