Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002400,0.153300,0.313900,0.085100,0.001500,0.151300,0.285100,0.084000,0.001400,0.135900,0.222500,0.069300,0.001000,0.107400,0.216100,0.052300,0.002100,0.112100,0.211500,0.058700,0.000800,0.109100,0.251500,0.103500,0.001000,0.108700,0.851000,0.557800,0.001400,0.114100,5.248500,5.094200,
"Dilithium3",0.001300,0.147900,0.288900,0.087900,0.001300,0.146500,0.233600,0.088700,0.001100,0.145200,0.319800,0.091500,0.000900,0.147100,0.232500,0.087500,0.001000,0.146100,0.295200,0.095000,0.001100,0.146600,0.317300,0.137700,0.001100,0.145900,0.711800,0.593400,0.001400,0.151100,5.292600,5.127000,
"Dilithium5",0.001500,0.200800,0.374800,0.139400,0.001700,0.200000,0.378300,0.139200,0.001400,0.198400,0.320200,0.139700,0.001100,0.196800,0.312400,0.140500,0.000600,0.200600,0.327700,0.145300,0.001100,0.198500,0.380800,0.190500,0.001000,0.201000,0.826400,0.645300,0.001200,0.204100,5.422100,5.187000,
"Falcon-512",0.001600,8.338500,0.421800,0.054500,0.001300,7.171400,0.408200,0.054000,0.001300,8.570700,0.409900,0.056800,0.001200,8.542700,0.411200,0.056100,0.001100,7.884600,0.416700,0.059700,0.001800,7.240700,0.467100,0.104000,0.001400,7.809100,0.920000,0.557000,0.001800,7.901000,5.444400,5.086600,
"Falcon-1024",0.001700,22.421200,0.713300,0.110400,0.001200,21.741800,0.715700,0.107500,0.001200,19.665200,0.712600,0.107100,0.001400,20.223100,0.710400,0.108200,0.001100,25.796900,0.721600,0.110100,0.001300,24.400600,0.762300,0.157100,0.001400,21.964900,1.218100,0.612000,0.001900,22.743300,5.747000,5.144500,
"SPHINCS+-Haraka-128f-robust",0.002300,0.365400,7.692100,0.457700,0.002200,0.365900,7.711200,0.450300,0.001900,0.362400,7.712500,0.453200,0.001600,0.363400,7.700000,0.456100,0.001500,0.364200,7.698900,0.453700,0.001500,0.363900,7.716500,0.463500,0.001500,0.362600,7.952700,0.589000,0.002200,0.363700,10.398200,1.825800,
"SPHINCS+-Haraka-128f-simple",0.002300,0.333500,6.763800,0.331200,0.002000,0.330300,6.724500,0.337200,0.002100,0.333300,6.811500,0.338100,0.001900,0.330200,6.709000,0.342200,0.001900,0.333600,6.740300,0.337900,0.001600,0.330900,6.756900,0.350100,0.001800,0.328600,6.982700,0.473500,0.001800,0.331800,9.408700,1.704800,
"SPHINCS+-Haraka-128s-robust",0.002900,19.236400,151.829300,0.170300,0.003900,19.262600,152.064100,0.171200,0.002900,19.249900,151.868800,0.171700,0.002400,19.233800,151.902300,0.175600,0.002800,19.267300,152.007300,0.176300,0.002700,19.238100,151.885100,0.187600,0.002700,19.224700,152.174000,0.314100,0.003300,19.234200,154.677800,1.563700,
"SPHINCS+-Haraka-128s-simple",0.003200,17.785900,138.398900,0.122500,0.003700,17.780700,138.417300,0.123000,0.002600,17.769400,138.352800,0.123300,0.002500,17.768600,138.297400,0.122000,0.002600,17.753100,138.163300,0.123600,0.002600,17.808100,138.248600,0.136400,0.002300,17.760300,138.443500,0.262700,0.002900,17.768000,140.918000,1.518000,
"SPHINCS+-Haraka-192f-robust",0.002100,0.521400,13.380800,0.731200,0.002000,0.516600,13.372300,0.727200,0.001900,0.514800,13.371600,0.733600,0.002200,0.517700,13.395200,0.730100,0.002000,0.520300,13.396500,0.732700,0.001900,0.514600,13.418400,0.743500,0.001800,0.516200,13.669500,0.860100,0.002500,0.517600,16.140000,2.103300,
"SPHINCS+-Haraka-192f-simple",0.002100,0.438200,10.839200,0.505900,0.001500,0.438000,10.815100,0.503600,0.002000,0.439100,10.823500,0.500700,0.001600,0.436500,10.830000,0.508100,0.001900,0.438400,10.840300,0.504400,0.001700,0.436200,10.859700,0.515700,0.001600,0.438200,11.093700,0.639300,0.002100,0.442300,13.573400,1.879600,
"SPHINCS+-Haraka-192s-robust",0.004300,29.341400,298.571500,0.267900,0.004600,29.205200,298.568200,0.267400,0.004800,29.396500,298.536300,0.270500,0.003300,29.432900,298.275100,0.271000,0.003600,29.459300,298.487900,0.275600,0.003600,29.334600,298.137400,0.287300,0.003500,29.234800,298.560200,0.415600,0.004200,29.401600,300.886800,1.679300,
