Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002100,0.157200,0.321900,0.083500,0.001700,0.148100,0.216900,0.083800,0.001400,0.137300,0.215500,0.072800,0.001000,0.109700,0.155000,0.052800,0.000800,0.113000,0.204400,0.057500,0.000800,0.109000,0.222500,0.103900,0.000800,0.108700,0.709000,0.559400,0.001700,0.114400,5.320500,5.145600,
"Dilithium3",0.001400,0.149800,0.318500,0.088000,0.001300,0.146400,0.321800,0.093100,0.001100,0.149200,0.287800,0.091800,0.001400,0.154900,0.297000,0.090900,0.001200,0.145300,0.329700,0.093100,0.001000,0.145500,0.358500,0.140500,0.001100,0.150900,0.848700,0.588400,0.001200,0.148800,5.367800,5.115500,
"Dilithium5",0.001200,0.201500,0.307900,0.141200,0.001200,0.197900,0.343600,0.139300,0.001500,0.198700,0.357300,0.138900,0.002300,0.197600,0.317200,0.139000,0.000600,0.199400,0.345000,0.143100,0.001000,0.197100,0.396000,0.189400,0.001200,0.198100,0.875500,0.642700,0.001500,0.201800,5.323200,5.181800,
"Falcon-512",0.001300,8.984700,0.411700,0.054400,0.001000,8.824300,0.411100,0.054500,0.001500,7.856700,0.466300,0.054400,0.002500,10.064000,0.413000,0.055200,0.001200,9.163100,0.422400,0.061500,0.001500,8.608700,0.461900,0.104000,0.001500,9.949100,0.914600,0.557700,0.001700,7.922600,5.440900,5.079900,
"Falcon-1024",0.001500,22.130900,0.713300,0.106000,0.001500,19.270500,0.714600,0.104800,0.001200,21.029700,0.711100,0.105900,0.001100,20.785400,0.711000,0.110100,0.001500,24.586200,0.713800,0.110900,0.001600,20.104400,0.761700,0.159800,0.001500,24.563300,1.209000,0.611300,0.001700,19.390200,5.744500,5.124100,
"SPHINCS+-Haraka-128f-robust",0.001800,0.361100,7.675600,0.453900,0.001600,0.362100,7.675700,0.447700,0.001600,0.364000,7.671300,0.455500,0.001600,0.362400,7.669900,0.454200,0.001300,0.364600,7.669200,0.454900,0.001700,0.364500,7.700600,0.465800,0.001800,0.361500,7.938800,0.590900,0.001800,0.362400,10.410500,1.825200,
"SPHINCS+-Haraka-128f-simple",0.001700,0.326600,6.681400,0.335600,0.001800,0.327900,6.685800,0.331500,0.001700,0.327500,6.679100,0.335800,0.001700,0.326600,6.677000,0.335800,0.001800,0.325300,6.687900,0.334600,0.001600,0.328200,6.712000,0.347900,0.001700,0.330700,6.958500,0.466600,0.001800,0.332100,9.439800,1.714700,
"SPHINCS+-Haraka-128s-robust",0.003000,19.218900,151.658000,0.176100,0.002300,19.207700,151.630900,0.170500,0.002600,19.210500,151.633600,0.172200,0.002500,19.220600,151.688800,0.173200,0.002000,19.227100,151.629300,0.173700,0.002200,19.214100,151.824800,0.187600,0.002600,19.213600,151.988900,0.310600,0.002700,19.231200,154.476900,1.562500,
"SPHINCS+-Haraka-128s-simple",0.003000,17.786500,138.238800,0.123600,0.004100,17.794200,138.941700,0.127100,0.002800,17.765200,138.172500,0.122200,0.001700,17.760600,138.152400,0.121700,0.002400,17.760100,138.170500,0.125900,0.002400,17.758100,138.402800,0.139300,0.002700,17.752800,138.475700,0.261000,0.003000,17.763400,141.013200,1.517900,
"SPHINCS+-Haraka-192f-robust",0.002200,0.515600,13.386400,0.731500,0.002200,0.514100,13.392100,0.732300,0.001600,0.517100,13.373500,0.720000,0.001600,0.513800,13.363100,0.728600,0.001700,0.515600,13.366900,0.731100,0.002200,0.523000,13.402800,0.742400,0.001600,0.522200,13.633800,0.860800,0.002200,0.517900,16.110400,2.107800,
