Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.160300,0.385900,0.086100,0.002400,0.149400,0.277800,0.083400,0.001500,0.131400,0.258100,0.069100,0.001100,0.109400,0.199800,0.053600,0.000800,0.110300,0.197100,0.059600,0.001000,0.108000,0.240500,0.102800,0.000900,0.108200,0.677900,0.554400,0.001200,0.113000,5.265500,5.083700,
"Dilithium3",0.001100,0.158700,0.242000,0.089500,0.001000,0.149400,0.244700,0.088600,0.001100,0.146600,0.310800,0.090400,0.001000,0.146100,0.237100,0.089400,0.000900,0.147900,0.331900,0.093000,0.000900,0.149100,0.332500,0.138600,0.000900,0.149800,0.777100,0.591300,0.001300,0.149000,5.309500,5.114000,
"Dilithium5",0.001400,0.198200,0.327900,0.140800,0.001400,0.199500,0.274700,0.138700,0.001300,0.197700,0.269100,0.139900,0.001500,0.198800,0.437300,0.139200,0.001200,0.200200,0.352200,0.145300,0.000900,0.197300,0.412800,0.189200,0.001300,0.199200,0.831700,0.646200,0.001300,0.201400,5.418900,5.164300,
"Falcon-512",0.001200,8.836000,0.411600,0.055300,0.001500,8.019300,0.414400,0.054000,0.001000,8.336700,0.408600,0.053800,0.001000,6.508600,0.410600,0.054900,0.000900,9.262800,0.412500,0.059100,0.001300,8.808900,0.461100,0.105500,0.001300,9.171800,0.918600,0.559900,0.001900,9.162200,5.454000,5.087100,
"Falcon-1024",0.001800,24.228200,0.708100,0.106500,0.001400,22.797200,0.714500,0.104600,0.001600,21.016400,0.710900,0.107200,0.001300,21.825700,0.709200,0.105400,0.001700,22.316100,0.711000,0.110900,0.001200,20.970500,0.763400,0.156600,0.001500,22.259100,1.217500,0.610300,0.001900,23.140600,5.754400,5.135100,
"SPHINCS+-Haraka-128f-robust",0.001900,0.367300,7.678500,0.454900,0.001500,0.362000,7.674800,0.448700,0.001600,0.362400,7.675400,0.450100,0.001500,0.362100,7.673600,0.457100,0.001500,0.363500,7.692700,0.454200,0.001500,0.367700,7.775000,0.464300,0.001800,0.362300,7.949500,0.590000,0.001700,0.363300,10.421300,1.824300,
"SPHINCS+-Haraka-128f-simple",0.002200,0.324900,6.684700,0.335900,0.001700,0.327200,6.683600,0.334200,0.001500,0.327800,6.692900,0.331200,0.001400,0.327600,6.687300,0.331400,0.001400,0.325800,6.689200,0.334500,0.001500,0.327800,6.713100,0.345400,0.001700,0.328800,6.950800,0.471300,0.001800,0.329900,9.420200,1.709900,
"SPHINCS+-Haraka-128s-robust",0.002400,19.216000,151.654800,0.170400,0.002600,19.217300,151.612800,0.173000,0.002500,19.217200,151.716600,0.173700,0.002400,19.213600,151.710400,0.172000,0.002300,19.212100,151.661300,0.177400,0.002200,19.216900,151.722700,0.184700,0.002400,19.215100,151.968000,0.313700,0.002800,19.210700,154.379900,1.569900,
"SPHINCS+-Haraka-128s-simple",0.002300,17.750300,138.171000,0.122900,0.002500,17.746700,138.146100,0.122500,0.002300,17.756500,138.166000,0.122000,0.002100,17.764600,138.175900,0.122200,0.001800,17.757400,138.133700,0.124400,0.002400,17.759100,138.225300,0.139100,0.002400,17.772400,138.527900,0.261900,0.002600,17.761600,140.950200,1.506400,
"SPHINCS+-Haraka-192f-robust",0.002100,0.516500,13.365300,0.735500,0.001800,0.517300,13.370500,0.729500,0.001900,0.517000,13.365800,0.736200,0.001500,0.518200,13.391200,0.726800,0.002000,0.517400,13.377800,0.729500,0.001500,0.518200,13.382400,0.745400,0.001800,0.517900,13.638600,0.877600,0.001800,0.516900,16.107300,2.109000,
"SPHINCS+-Haraka-192f-simple",0.001600,0.435600,10.828100,0.501200,0.002300,0.437900,10.816300,0.508500,0.001800,0.438300,10.818800,0.505100,0.001600,0.436200,10.819300,0.501300,0.001500,0.437200,10.810400,0.507000,0.001700,0.435500,10.844600,0.512000,0.001700,0.437000,11.088700,0.643200,0.001700,0.439800,13.545300,1.880700,
