Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002500,0.160100,0.337800,0.087700,0.001800,0.152000,0.237000,0.084700,0.001100,0.127700,0.225900,0.064300,0.001200,0.107700,0.206000,0.052400,0.000800,0.110100,0.190100,0.057100,0.000800,0.107500,0.208700,0.103800,0.000800,0.109700,0.696600,0.557100,0.001800,0.118800,5.222200,5.105400,
"Dilithium3",0.001100,0.148000,0.248600,0.087700,0.001000,0.149600,0.233500,0.087500,0.001100,0.150100,0.338300,0.089300,0.000900,0.146700,0.275100,0.089100,0.001100,0.148600,0.244400,0.094700,0.000900,0.145500,0.339300,0.139400,0.000800,0.148700,0.822900,0.591100,0.002300,0.156900,5.335200,5.136100,
"Dilithium5",0.001400,0.199200,0.348700,0.140400,0.001400,0.196000,0.413300,0.140100,0.001300,0.197700,0.369800,0.138700,0.001200,0.198600,0.306600,0.141000,0.000900,0.199000,0.348200,0.143400,0.001200,0.200000,0.374200,0.189000,0.001100,0.199400,0.814500,0.643100,0.001200,0.200700,5.368000,5.166300,
"Falcon-512",0.001400,7.880300,0.411200,0.054800,0.001000,6.561700,0.410500,0.054200,0.001200,7.125200,0.410900,0.054300,0.001500,6.776200,0.410700,0.055000,0.001100,6.909900,0.417900,0.059200,0.001100,7.899600,0.459500,0.105000,0.001500,8.113500,0.915700,0.555500,0.001700,8.524700,5.445900,5.078300,
"Falcon-1024",0.001500,22.337200,0.706800,0.108600,0.001600,21.960800,0.705400,0.108000,0.001200,20.389100,0.706900,0.106200,0.001400,22.012000,0.712400,0.106700,0.001300,22.167200,0.715900,0.111300,0.001500,25.170200,0.765600,0.156500,0.001500,20.651300,1.213800,0.607900,0.002300,23.045300,5.742900,5.129700,
"SPHINCS+-Haraka-128f-robust",0.002200,0.363000,7.668500,0.455100,0.001600,0.360000,7.670500,0.450400,0.001500,0.362400,7.668600,0.449300,0.001500,0.364600,7.667700,0.450500,0.001300,0.360400,7.666100,0.453600,0.001400,0.363000,7.687900,0.465200,0.001600,0.362500,7.931800,0.589300,0.001900,0.365600,10.393100,1.823600,
"SPHINCS+-Haraka-128f-simple",0.001600,0.328100,6.673000,0.331400,0.001600,0.326900,6.684600,0.329600,0.001400,0.352000,6.700500,0.332400,0.001600,0.325300,6.687500,0.334000,0.001700,0.327600,6.693400,0.330100,0.001400,0.328100,6.710000,0.348100,0.001800,0.328400,6.953700,0.481100,0.001900,0.327500,9.410800,1.703000,
"SPHINCS+-Haraka-128s-robust",0.003500,19.210900,151.672000,0.169100,0.002700,19.208100,151.570700,0.169700,0.003500,19.211300,151.613100,0.171800,0.003000,19.210200,151.649300,0.173100,0.002400,19.210200,151.579700,0.172700,0.003000,19.207000,151.635600,0.191300,0.002900,19.218500,151.879000,0.310000,0.003300,19.220400,154.436200,1.573600,
"SPHINCS+-Haraka-128s-simple",0.003900,17.763200,138.069300,0.123700,0.002600,17.749600,138.078300,0.124100,0.002300,17.750100,138.066500,0.120400,0.002100,17.740400,138.092600,0.122500,0.002300,17.742400,138.097700,0.122700,0.002100,17.748900,138.118100,0.139200,0.002200,17.753400,138.335400,0.261400,0.003300,17.762900,140.848100,1.529700,
"SPHINCS+-Haraka-192f-robust",0.002400,0.517800,13.361000,0.725400,0.002300,0.517300,13.372000,0.724700,0.002600,0.517700,13.375200,0.726900,0.001800,0.515400,13.364400,0.725900,0.001600,0.517400,13.352600,0.733500,0.001900,0.514700,13.378400,0.744800,0.001400,0.519600,13.623400,0.863600,0.002100,0.528000,16.089400,2.110700,
"SPHINCS+-Haraka-192f-simple",0.001900,0.436900,10.810000,0.498200,0.001900,0.436000,10.806300,0.505600,0.001700,0.436400,10.812600,0.496600,0.001600,0.437100,10.801700,0.506100,0.001600,0.435900,10.805600,0.504300,0.001800,0.436200,10.835400,0.512600,0.001800,0.437000,11.075500,0.643500,0.002000,0.440500,13.545900,1.875600,
"SPHINCS+-Haraka-192s-robust",0.004600,29.238700,298.203600,0.267800,0.004400,29.308100,298.245300,0.269900,0.004200,29.156700,297.869400,0.268800,0.003300,29.174500,297.915400,0.265300,0.003300,29.177800,297.797900,0.269500,0.003800,29.235900,297.893200,0.283000,0.003100,29.292200,298.219300,0.406600,0.004200,29.223700,300.612300,1.683100,
"SPHINCS+-Haraka-192s-simple",0.004100,22.879800,231.750700,0.185400,0.003300,22.876700,231.733100,0.187500,0.003100,22.871500,231.869300,0.181800,0.002400,22.871000,231.808800,0.186400,0.003200,22.881400,231.808500,0.190000,0.003300,22.879000,231.875900,0.197500,0.002900,23.005400,232.269600,0.322600,0.003900,22.888800,234.456400,1.595100,
