Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.003900,0.162100,0.345200,0.085300,0.001300,0.150200,0.312000,0.087700,0.001000,0.118400,0.308400,0.059300,0.000800,0.106900,0.193800,0.054800,0.000600,0.108800,0.221800,0.058000,0.000800,0.108100,0.230200,0.103500,0.000800,0.108300,0.727900,0.557100,0.002000,0.118200,5.349600,5.165700,0.004100,0.135200,51.213300,51.008400,0.005400,0.135100,528.399500,527.932900,
"Dilithium3",0.001400,0.149500,0.288600,0.088600,0.001200,0.145600,0.282100,0.091800,0.001000,0.146500,0.247300,0.089900,0.000900,0.146500,0.365400,0.088700,0.001300,0.146800,0.255200,0.094300,0.001200,0.148100,0.293400,0.139800,0.001100,0.147900,0.831500,0.597000,0.001400,0.150400,5.364400,5.113800,0.004300,0.171900,51.120400,50.776900,0.005300,0.176600,527.012300,526.536000,
"Dilithium5",0.001000,0.204800,0.328400,0.141400,0.000800,0.201500,0.307600,0.139200,0.000900,0.200200,0.383200,0.141300,0.000900,0.202000,0.390800,0.140600,0.001100,0.199600,0.322800,0.144400,0.001000,0.198300,0.407000,0.190000,0.002100,0.200200,0.897600,0.642300,0.002100,0.203900,5.363200,5.163200,0.004000,0.224000,51.096300,50.907200,0.005500,0.226600,526.452900,526.522100,
"Falcon-512",0.002600,8.241900,0.412500,0.056600,0.001100,7.604400,0.409100,0.055200,0.001000,7.529400,0.408300,0.055100,0.001200,8.729300,0.411600,0.055000,0.001200,8.605200,0.418200,0.061700,0.001400,8.120000,0.462000,0.108700,0.001500,7.327000,0.917700,0.562500,0.002000,7.036400,5.442300,5.075600,0.005000,7.609700,51.240700,50.734800,0.006800,8.559000,526.547500,526.100700,
"Falcon-1024",0.002300,19.137200,0.701300,0.106200,0.001200,24.189400,0.697900,0.105100,0.001100,23.320700,0.697500,0.107900,0.001400,21.294600,0.701200,0.107000,0.001700,26.055000,0.716700,0.110900,0.001500,20.977200,0.755400,0.155800,0.001500,24.591500,1.207500,0.611000,0.001900,20.306500,5.729700,5.128100,0.005200,21.829200,51.351200,50.692900,0.006700,23.366500,527.361200,526.900000,
"SPHINCS+-Haraka-128f-robust",0.003300,0.367200,7.897300,0.453600,0.002200,0.364900,7.706400,0.451500,0.002200,0.364800,7.696200,0.454400,0.001900,0.365500,7.706700,0.457000,0.001400,0.362600,7.690100,0.455000,0.001800,0.371600,7.736500,0.468600,0.001800,0.364300,7.970500,0.585900,0.001900,0.365400,10.447800,1.843500,0.006600,0.387900,35.657000,14.747800,0.008300,0.382900,306.892100,163.805100,
"SPHINCS+-Haraka-128f-simple",0.002800,0.336100,6.734900,0.337100,0.001900,0.332500,6.702300,0.333000,0.001800,0.330200,6.700600,0.338700,0.001700,0.329800,6.713800,0.332700,0.001800,0.331000,6.696600,0.333000,0.001500,0.329800,6.749600,0.344700,0.001500,0.327000,6.973700,0.467700,0.002000,0.338100,9.441200,1.715400,0.006700,0.359000,34.747500,14.682400,0.008200,0.353000,306.185200,163.751300,
"SPHINCS+-Haraka-128s-robust",0.004400,19.219100,152.222000,0.172100,0.003800,19.259900,152.266100,0.174300,0.004200,19.255100,152.266800,0.173700,0.002600,19.248500,152.294400,0.168100,0.003300,19.241400,152.303900,0.173100,0.003300,19.233000,151.935300,0.189500,0.003100,19.154400,151.966100,0.314100,0.004000,19.244200,155.011200,1.597900,0.006700,19.259000,180.227100,14.471900,0.008100,19.281000,450.688800,163.273100,
"SPHINCS+-Haraka-128s-simple",0.004900,17.801200,138.460900,0.123700,0.003200,17.827600,138.512600,0.123000,0.003600,17.794900,138.402600,0.122300,0.003100,17.784300,138.322800,0.124100,0.003400,17.799300,138.416200,0.126000,0.002900,17.809600,138.452200,0.137400,0.003800,17.816200,138.691900,0.262900,0.004600,17.818400,141.258500,1.548000,0.007100,17.798700,166.369400,14.440000,0.008600,17.827000,437.027800,163.311600,
"SPHINCS+-Haraka-192f-robust",0.002300,0.519100,13.388900,0.738700,0.001600,0.518100,13.360000,0.724800,0.001800,0.514700,13.372200,0.737300,0.001500,0.517900,13.366100,0.729700,0.001700,0.518600,13.373300,0.728400,0.001300,0.517900,13.394200,0.739100,0.001600,0.517900,13.629900,0.868700,0.001800,0.518100,16.092000,2.102100,0.006300,0.541500,41.222900,14.947400,0.008600,0.545100,312.131000,163.467800,
"SPHINCS+-Haraka-192f-simple",0.002300,0.446300,10.846400,0.507500,0.001700,0.435100,10.839500,0.501800,0.001700,0.440400,10.832500,0.506000,0.001500,0.436800,10.835100,0.509400,0.001500,0.440100,10.843100,0.507200,0.001600,0.435200,10.867800,0.517500,0.002200,0.444500,11.132300,0.642800,0.001800,0.439600,13.566000,1.876800,0.006300,0.457100,38.799000,14.854800,0.008200,0.464100,309.542600,163.349300,
"SPHINCS+-Haraka-192s-robust",0.004700,29.332700,298.065500,0.268200,0.004200,29.350300,298.101100,0.270700,0.004700,29.414800,298.031000,0.269000,0.004300,29.309300,297.985500,0.269700,0.003800,29.332700,298.012700,0.269300,0.003800,29.399300,298.151900,0.283700,0.004800,29.390700,298.287700,0.415600,0.004400,29.355900,300.809100,1.702200,0.006900,29.275100,326.180700,14.646600,0.009900,29.308600,598.388500,163.904600,
"SPHINCS+-Haraka-192s-simple",0.005300,22.977500,232.697100,0.183400,0.005300,22.956800,232.550800,0.188500,0.005500,22.999500,234.116100,0.187400,0.004300,22.942500,232.269900,0.185900,0.003900,22.922300,232.239900,0.187100,0.004000,22.927600,232.392400,0.204700,0.003000,22.924600,232.276600,0.328700,0.004100,22.949800,234.996300,1.616200,0.007100,22.970800,260.205400,14.552600,0.008300,22.990600,532.742800,163.306300,
