Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.005900,0.160300,0.244600,0.081300,0.000600,0.108400,0.225700,0.054300,0.000500,0.108900,0.229800,0.051700,0.001000,0.110300,0.176500,0.054400,0.000800,0.111000,0.199400,0.057800,0.000900,0.108500,0.267700,0.102100,0.000900,0.108400,0.667700,0.558200,0.001200,0.112700,5.270900,5.087100,
"Dilithium3",0.001200,0.149300,0.319600,0.088800,0.000900,0.145100,0.251500,0.088500,0.000900,0.145000,0.275100,0.087200,0.001000,0.146000,0.244500,0.089400,0.000800,0.147800,0.298100,0.092700,0.000900,0.147000,0.320500,0.139700,0.001000,0.149400,0.820000,0.592000,0.001300,0.149200,5.292700,5.116000,
"Dilithium5",0.001500,0.204100,0.307600,0.142800,0.001000,0.197200,0.274400,0.141100,0.000600,0.200500,0.307500,0.138800,0.000800,0.197000,0.309800,0.141000,0.001100,0.195700,0.358900,0.144000,0.000700,0.198400,0.359800,0.189800,0.001100,0.200400,0.820800,0.642700,0.001000,0.201500,5.452800,5.167700,
"Falcon-512",0.001700,7.106500,0.416200,0.054200,0.001300,9.360000,0.415500,0.055300,0.001100,8.413500,0.409200,0.054600,0.001100,9.275600,0.414200,0.055100,0.001200,8.057200,0.421900,0.059100,0.001400,7.895500,0.464100,0.104400,0.001200,7.485500,0.914700,0.557200,0.001800,8.301800,5.452700,5.078700,
"Falcon-1024",0.001600,19.182100,0.714400,0.107100,0.001200,23.545900,0.711300,0.107300,0.001300,22.078800,0.714500,0.108100,0.001100,22.656500,0.713200,0.105900,0.001500,20.015900,0.715900,0.112000,0.001500,22.433300,0.762000,0.156300,0.001300,21.465400,1.226000,0.609000,0.002100,17.937900,5.759100,5.139400,
"SPHINCS+-Haraka-128f-robust",0.003000,0.363900,7.682800,0.449900,0.001500,0.363700,7.670500,0.453800,0.001400,0.362100,7.667500,0.450600,0.001500,0.362000,7.665600,0.454500,0.002300,0.358300,7.667200,0.456900,0.001100,0.364100,7.698300,0.463300,0.001800,0.363600,7.944700,0.590700,0.001800,0.366800,10.421500,1.841000,
"SPHINCS+-Haraka-128f-simple",0.001900,0.327700,6.690300,0.331000,0.001500,0.327700,6.678600,0.335100,0.001800,0.328000,6.687600,0.329900,0.001300,0.329400,6.679800,0.331400,0.001800,0.327300,6.707400,0.334700,0.001500,0.331600,6.725100,0.347900,0.001700,0.327200,6.962400,0.472400,0.001900,0.328500,9.433800,1.722800,
"SPHINCS+-Haraka-128s-robust",0.002900,19.242900,151.745000,0.169200,0.002100,19.216400,151.703800,0.170200,0.003200,19.230900,151.759700,0.173000,0.003100,19.234700,151.845500,0.174400,0.002200,19.224300,151.757900,0.172900,0.002200,19.231600,151.774700,0.187700,0.001900,19.214800,151.934400,0.309200,0.003200,19.246400,154.529800,1.580600,
"SPHINCS+-Haraka-128s-simple",0.002300,17.758800,138.173900,0.122900,0.002700,17.758900,138.198700,0.122900,0.002300,17.758900,138.144700,0.122300,0.002200,17.769500,138.176300,0.127800,0.002400,17.753000,138.102300,0.128200,0.002300,17.761200,138.240200,0.137300,0.002100,17.757900,138.461100,0.260600,0.003300,17.768700,140.995100,1.526500,
"SPHINCS+-Haraka-192f-robust",0.002100,0.518900,13.397700,0.722400,0.001700,0.521100,13.381000,0.720600,0.001900,0.515200,13.363400,0.731400,0.001200,0.516800,13.359500,0.730200,0.001600,0.516600,13.367600,0.732700,0.001600,0.515000,13.391500,0.742600,0.001400,0.518700,13.645200,0.872700,0.001800,0.516700,16.113700,2.105700,
"SPHINCS+-Haraka-192f-simple",0.001700,0.439700,10.843500,0.502200,0.001900,0.439200,10.821700,0.509400,0.002000,0.441000,10.828800,0.503300,0.001500,0.437200,10.821700,0.505300,0.001300,0.436300,10.818200,0.506600,0.001300,0.437900,10.841600,0.519600,0.001800,0.439500,11.099200,0.642100,0.001800,0.438100,13.553800,1.885000,
"SPHINCS+-Haraka-192s-robust",0.004100,29.247100,298.097500,0.270900,0.004900,29.302700,298.922900,0.264300,0.003800,29.211100,298.150400,0.270800,0.003300,29.209900,298.867100,0.266100,0.003200,29.344400,298.234600,0.270500,0.003600,29.261300,298.240800,0.285600,0.003000,29.174900,298.348700,0.410700,0.003700,29.225400,300.800900,1.677800,
"SPHINCS+-Haraka-192s-simple",0.004000,22.907700,232.049600,0.190800,0.003300,22.912500,231.925700,0.190800,0.004300,22.912300,232.058100,0.189800,0.002600,22.973600,231.993000,0.185000,0.003200,22.904600,232.138100,0.188500,0.003200,22.896500,232.489700,0.197600,0.003300,22.912800,232.477000,0.326000,0.003400,22.934500,234.679300,1.591800,
"SPHINCS+-Haraka-256f-robust",0.002000,1.142700,24.134400,0.702500,0.001600,1.142200,24.117300,0.697700,0.002000,1.144400,24.197500,0.700000,0.001500,1.143000,24.134500,0.704200,0.001800,1.143600,24.151800,0.702300,0.001700,1.136900,24.155700,0.720900,0.001600,1.142600,24.448400,0.833800,0.001700,1.142800,26.881200,2.081600,
"SPHINCS+-Haraka-256f-simple",0.001900,1.013100,20.655100,0.504000,0.001800,1.006500,20.645500,0.504700,0.001700,1.006900,20.685700,0.500900,0.001400,1.010000,20.643500,0.500100,0.001600,1.008800,20.654600,0.503600,0.001800,1.009800,20.760000,0.519400,0.001600,1.011000,20.936200,0.642100,0.002000,1.010200,23.415800,1.888400,
"SPHINCS+-Haraka-256s-robust",0.003600,17.164100,247.769900,0.366900,0.003900,17.039800,248.143900,0.370300,0.003000,17.062200,247.782100,0.373000,0.002900,17.019600,247.653000,0.372000,0.002400,17.029600,247.652700,0.374700,0.002600,17.018800,247.708400,0.383200,0.002800,17.024200,247.977100,0.508400,0.002900,17.020500,250.371500,1.778800,
"SPHINCS+-Haraka-256s-simple",0.003000,14.513500,202.323200,0.265800,0.003400,14.508700,202.310200,0.265200,0.002500,14.499700,202.249400,0.264800,0.002800,14.499800,202.257500,0.266500,0.002100,14.503900,202.182900,0.267700,0.002200,14.513800,202.357700,0.276900,0.002400,14.526000,202.424300,0.404800,0.004000,14.510400,204.937400,1.680800,
"SPHINCS+-SHA256-128f-robust",0.002300,1.530500,36.929600,2.871200,0.001900,1.534700,36.974200,2.820000,0.001600,1.523900,36.970400,2.817600,0.001600,1.520700,36.967600,2.827400,0.001500,1.519100,36.955500,2.821700,0.001700,1.521900,36.946000,2.853600,0.001700,1.520500,37.090100,2.873700,0.002500,1.525400,38.152300,3.460700,
