Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.152000,0.314200,0.084200,0.001600,0.148800,0.319700,0.083600,0.001300,0.122400,0.211500,0.060000,0.001100,0.108000,0.209900,0.052200,0.000600,0.108900,0.190300,0.057100,0.001000,0.108000,0.253800,0.106700,0.001100,0.107500,0.661700,0.554300,0.001100,0.114700,5.232000,5.083900,
"Dilithium3",0.001300,0.150800,0.337700,0.088500,0.001200,0.146700,0.400700,0.087600,0.000800,0.146100,0.283000,0.088900,0.001000,0.146900,0.277400,0.088800,0.000900,0.148900,0.265200,0.095700,0.001000,0.146800,0.335000,0.138500,0.000800,0.150000,0.781400,0.591700,0.001100,0.148600,5.371200,5.125800,
"Dilithium5",0.001600,0.198800,0.371200,0.141000,0.001200,0.196500,0.346900,0.140500,0.001400,0.198600,0.309200,0.140300,0.001400,0.197900,0.357900,0.138400,0.001200,0.196500,0.373400,0.144800,0.001100,0.198200,0.385500,0.191100,0.001000,0.198700,0.854100,0.644700,0.001300,0.201100,5.303400,5.176900,
"Falcon-512",0.001600,7.660900,0.409900,0.055600,0.001400,7.742800,0.414500,0.054300,0.001000,7.112100,0.410900,0.055100,0.001000,7.689000,0.407300,0.054900,0.001100,8.756000,0.412800,0.058800,0.001200,8.101400,0.460700,0.105000,0.001400,9.191200,0.917100,0.559400,0.001600,7.765900,5.440200,5.082200,
"Falcon-1024",0.001400,19.909400,0.708500,0.105400,0.001200,20.869400,0.712300,0.104900,0.001400,24.174200,0.708600,0.105700,0.001500,23.363700,0.714400,0.107000,0.001500,23.939700,0.718500,0.109800,0.001400,24.591500,0.766700,0.155000,0.001500,24.401500,1.216000,0.609000,0.001700,22.081600,5.746100,5.135100,
"SPHINCS+-Haraka-128f-robust",0.002100,0.363700,7.706700,0.444700,0.001700,0.365500,7.687000,0.449300,0.001500,0.365100,7.685500,0.451900,0.001700,0.367300,7.687300,0.452800,0.001800,0.361300,7.694900,0.453700,0.001500,0.364500,7.713700,0.468800,0.001500,0.362900,7.943900,0.590500,0.001700,0.363600,10.391900,1.825800,
"SPHINCS+-Haraka-128f-simple",0.001500,0.327600,6.675500,0.333700,0.001500,0.327300,6.678600,0.336200,0.001300,0.329600,6.677600,0.334900,0.001600,0.328800,6.685300,0.329600,0.001300,0.330700,6.688400,0.332000,0.001500,0.330900,6.715900,0.341800,0.001700,0.331500,6.945000,0.470500,0.001900,0.330000,9.423000,1.709000,
"SPHINCS+-Haraka-128s-robust",0.003200,19.226300,151.715100,0.175700,0.002300,19.206300,151.596400,0.170300,0.002300,19.203300,151.617900,0.171200,0.002500,19.217400,151.664000,0.173100,0.002000,19.215500,151.634200,0.172300,0.002100,19.209700,151.658300,0.187100,0.002400,19.215000,151.918700,0.310100,0.002500,19.212900,154.370200,1.546800,
"SPHINCS+-Haraka-128s-simple",0.002000,17.743000,138.085800,0.121800,0.002200,17.749500,138.110100,0.121500,0.002200,17.743500,138.136200,0.121900,0.001800,17.741500,138.077400,0.124400,0.001900,17.739400,138.081000,0.124500,0.001600,17.738500,138.089700,0.135700,0.002000,17.746100,138.322900,0.258600,0.002200,17.746800,140.838700,1.509900,
"SPHINCS+-Haraka-192f-robust",0.002300,0.517700,13.361400,0.736400,0.001800,0.517500,13.361300,0.731500,0.001700,0.514500,13.368200,0.725000,0.001600,0.522200,13.367000,0.726300,0.002100,0.515900,13.372400,0.728900,0.001600,0.515700,13.392300,0.740300,0.001800,0.520900,13.636600,0.865000,0.002300,0.515900,16.095000,2.109600,
"SPHINCS+-Haraka-192f-simple",0.001700,0.437900,10.815700,0.507300,0.002000,0.436300,10.806200,0.504900,0.001800,0.438600,10.798900,0.505600,0.001400,0.437800,10.811300,0.502100,0.001700,0.437100,10.815200,0.501900,0.001900,0.435200,10.832300,0.518300,0.001800,0.436400,11.088500,0.641800,0.001800,0.436900,13.540400,1.878100,
"SPHINCS+-Haraka-192s-robust",0.003000,29.301400,298.509300,0.267100,0.003000,29.259300,297.888900,0.265200,0.003600,29.194700,298.124600,0.270300,0.001900,29.235400,297.889200,0.265600,0.002400,29.180700,297.882200,0.267900,0.002400,29.321700,297.849000,0.282800,0.002800,29.299100,298.218900,0.401300,0.003400,29.259300,300.587600,1.676100,
"SPHINCS+-Haraka-192s-simple",0.003600,22.880300,237.061300,0.189900,0.003000,22.888000,231.821300,0.188200,0.002800,22.876700,231.790700,0.184100,0.002700,22.878900,231.788600,0.186700,0.002700,22.896500,231.832900,0.189800,0.002300,22.881100,231.865700,0.201400,0.002700,22.876200,232.216800,0.323200,0.003000,22.885000,234.549700,1.563100,
"SPHINCS+-Haraka-256f-robust",0.002300,1.138500,24.124600,0.696200,0.002100,1.134900,24.122500,0.705500,0.001600,1.140300,24.112600,0.697000,0.001600,1.141800,24.112100,0.704200,0.001500,1.143000,24.111700,0.695000,0.001800,1.141900,24.158800,0.711300,0.002000,1.141800,24.412400,0.843400,0.002400,1.140000,26.843300,2.091100,
"SPHINCS+-Haraka-256f-simple",0.002200,1.007800,20.637100,0.504200,0.002000,1.007100,20.650100,0.503700,0.001800,1.007700,20.645000,0.500700,0.001900,1.007800,20.640500,0.499800,0.001400,1.006400,20.640600,0.507000,0.002300,1.009700,20.682900,0.520500,0.002000,1.009100,20.930700,0.641900,0.002100,1.007000,23.366900,1.882900,
"SPHINCS+-Haraka-256s-robust",0.003300,17.021600,247.403100,0.373100,0.002800,17.014900,247.478500,0.366600,0.002700,17.012100,247.505400,0.368100,0.002700,17.003200,247.419800,0.370800,0.003000,17.022000,247.590900,0.369500,0.002700,17.006400,247.709300,0.380600,0.003100,17.014200,247.716500,0.507200,0.002800,17.016100,250.186800,1.753000,
"SPHINCS+-Haraka-256s-simple",0.003400,14.491200,202.133200,0.264500,0.002600,14.497400,202.177100,0.267200,0.003000,14.500600,202.117000,0.262900,0.002600,14.492300,202.127400,0.265900,0.002600,14.500000,202.123900,0.268100,0.002300,14.488300,202.224300,0.280700,0.002200,14.491200,202.448400,0.406300,0.003500,14.514900,204.844200,1.669700,
"SPHINCS+-SHA256-128f-robust",0.002400,1.524100,37.004500,2.869300,0.001700,1.521600,36.958800,2.865100,0.002200,1.521000,36.925400,2.884200,0.001900,1.519500,36.931100,2.877400,0.002200,1.523900,36.979800,2.892100,0.002000,1.520100,37.018100,2.864300,0.002000,1.520800,37.103200,2.934200,0.002500,1.523000,38.159800,3.537500,
"SPHINCS+-SHA256-128f-simple",0.002200,0.845500,19.882800,1.507500,0.002000,0.841400,19.877400,1.509800,0.001700,0.844700,19.883600,1.512100,0.002500,0.845700,19.916300,1.492400,0.002500,0.848400,19.928200,1.507800,0.001700,0.841500,19.916100,1.484400,0.002000,0.847600,20.062400,1.553200,0.002100,0.839900,21.063100,2.129800,
"SPHINCS+-SHA256-128s-robust",0.004700,93.072500,707.489300,0.976300,0.004900,92.959600,707.353400,0.972500,0.004500,92.989600,707.695400,0.966900,0.004300,92.923100,707.148600,0.989700,0.004100,92.994200,707.595200,0.992400,0.003700,92.990900,707.512500,0.960800,0.004100,93.006500,707.676700,1.037400,0.004300,93.079400,708.836300,1.645800,
"SPHINCS+-SHA256-128s-simple",0.004500,49.869700,378.623300,0.525700,0.004200,49.730200,377.585800,0.532800,0.003800,49.734700,377.661400,0.530000,0.003600,49.762300,377.646000,0.519600,0.003600,49.752300,377.781900,0.523000,0.003400,49.740600,377.622900,0.541000,0.004000,49.759800,378.003800,0.595600,0.004200,49.753000,378.931100,1.189800,
"SPHINCS+-SHA256-192f-robust",0.003200,2.172900,60.131300,4.344300,0.002200,2.169000,60.106400,4.382300,0.002100,2.167700,60.126500,4.379600,0.002000,2.170300,60.134300,4.384700,0.002300,2.164000,60.109000,4.385100,0.002000,2.164700,60.096800,4.380600,0.002100,2.166500,60.251000,4.427100,0.002500,2.164600,61.313700,5.024900,
"SPHINCS+-SHA256-192f-simple",0.002400,1.169500,32.305700,2.259100,0.002100,1.158700,32.137800,2.233900,0.002900,1.157400,32.118400,2.249400,0.001900,1.157500,32.128600,2.228300,0.001900,1.160100,32.122300,2.247100,0.001900,1.188300,32.120800,2.262400,0.002000,1.161600,32.224900,2.312800,0.002300,1.158400,33.325500,2.843700,
"SPHINCS+-SHA256-192s-robust",0.005500,135.127100,1330.912900,1.509900,0.005000,134.937600,1327.274400,1.535000,0.005300,134.524500,1328.174700,1.496600,0.004800,134.682000,1328.286800,1.506000,0.004800,134.547900,1327.730200,1.541100,0.004200,134.671800,1327.957700,1.526400,0.004400,134.526000,1328.003400,1.571900,0.005200,134.715800,1330.017400,2.188500,
"SPHINCS+-SHA256-192s-simple",0.005200,71.118700,726.029100,0.806100,0.005100,70.995600,725.954900,0.812500,0.005100,70.987300,725.918100,0.802200,0.004000,70.980000,725.492900,0.813900,0.004100,70.937000,725.535300,0.812300,0.003600,71.006900,725.364900,0.823800,0.003800,71.034000,725.477200,0.874400,0.004400,71.091400,727.915600,1.465500,
"SPHINCS+-SHA256-256f-robust",0.003200,11.508500,235.147800,4.805000,0.002900,11.508800,235.194900,4.771300,0.004200,11.507800,235.447300,4.818000,0.003700,11.507200,235.107200,4.815700,0.002900,11.510400,235.082500,4.824100,0.003000,11.504600,235.157000,4.816300,0.003800,11.502300,235.352800,4.834500,0.003600,11.515500,236.374200,5.467800,
"SPHINCS+-SHA256-256f-simple",0.002800,2.894000,62.169000,2.254700,0.002600,2.891000,62.131400,2.266100,0.002300,2.890500,62.129100,2.281100,0.002500,2.891100,62.141400,2.303300,0.002300,2.889200,62.138200,2.273300,0.002100,2.892200,62.155000,2.311800,0.002500,2.893700,62.301800,2.327900,0.002600,2.898600,63.337100,2.908600,
"SPHINCS+-SHA256-256s-robust",0.006000,184.150000,2166.269000,2.399400,0.006000,182.779700,2165.254000,2.441700,0.006000,182.843900,2165.564100,2.440300,0.005300,182.823000,2165.010600,2.467500,0.005100,182.933800,2166.500800,2.437500,0.004800,182.855700,2166.575100,2.450500,0.005000,182.891600,2165.834200,2.529100,0.005300,182.875300,2167.204000,3.092800,
"SPHINCS+-SHA256-256s-simple",0.004800,45.161800,587.361500,1.126100,0.004900,45.130200,587.355400,1.137600,0.005500,45.147200,587.469900,1.133500,0.004100,45.119900,587.348800,1.159100,0.004000,45.136700,587.364900,1.123300,0.003900,45.125900,587.382100,1.143900,0.004500,45.157800,587.614300,1.196100,0.004800,45.135000,588.642500,1.793900,
"SPHINCS+-SHAKE256-128f-robust",0.006000,3.966600,86.013400,10.965100,0.006000,4.013300,85.482400,11.146200,0.006300,4.127600,84.897900,11.334000,0.005900,4.035300,84.821900,11.181900,0.007200,3.916500,84.768900,11.120300,0.006000,3.861900,84.550900,11.154700,0.005700,3.453400,85.418300,12.071000,0.006100,3.562600,95.574900,16.684200,
"SPHINCS+-SHAKE256-128f-simple",0.005700,2.231200,47.441800,5.782800,0.006700,2.285200,47.141800,5.942800,0.005700,2.172600,47.268900,5.718400,0.005000,2.222400,47.118300,5.822100,0.005700,2.183400,47.353800,5.778800,0.006000,2.107700,47.168500,5.752100,0.005100,1.935700,48.041200,6.342500,0.005500,1.961000,57.542600,10.985500,
"SPHINCS+-SHAKE256-128s-robust",0.006900,206.358800,1562.673500,3.911000,0.006800,206.339100,1561.087600,3.856500,0.006300,205.932800,1561.314000,3.908400,0.006400,206.226600,1561.347400,3.936800,0.005700,206.002100,1560.533500,3.936800,0.025800,205.978200,1560.977900,4.029400,0.038800,205.885500,1561.105800,4.525500,0.053600,205.996800,1571.807900,9.090400,
"SPHINCS+-SHAKE256-128s-simple",0.013300,113.018000,865.496400,2.029600,0.006000,112.963300,865.757400,2.012600,0.007000,113.003000,865.420100,2.051600,0.005400,112.950900,865.397400,2.012600,0.005700,112.934600,865.063600,2.012400,0.016000,112.757100,865.232300,2.082900,0.020300,112.793000,865.583600,2.525200,0.021100,112.502000,872.315800,7.096900,
"SPHINCS+-SHAKE256-192f-robust",0.007100,6.100300,137.403000,16.128600,0.007100,6.176200,136.831500,16.129700,0.007100,6.182600,136.313100,16.201700,0.006300,6.167600,136.199400,16.112100,0.006400,6.037600,135.920900,16.158800,0.006900,5.967000,136.062900,16.159800,0.413700,4.853000,136.768300,17.504300,0.402300,4.879300,145.698400,22.271100,
"SPHINCS+-SHAKE256-192f-simple",0.055600,3.136900,74.186400,8.432600,0.006500,3.138000,73.908200,8.434900,0.006300,3.091700,73.855400,8.301900,0.006000,3.079000,73.531600,8.349700,0.006300,3.024600,73.589800,8.323100,0.006200,2.978200,73.443300,8.334800,0.139400,2.581800,74.345800,9.029500,0.137500,2.650200,84.351400,13.648900,
"SPHINCS+-SHAKE256-192s-robust",0.022100,296.486000,2659.932300,5.557700,0.007200,296.321100,2659.353800,5.622500,0.006900,296.239600,2655.806600,5.634800,0.006300,295.650500,2654.266000,5.566900,0.006100,295.055300,2788.858200,5.630700,0.006500,295.996100,2659.196200,5.620400,0.093200,295.844300,2684.016000,6.130200,0.096000,300.129200,2707.613900,10.851100,
"SPHINCS+-SHAKE256-192s-simple",0.017400,160.034200,1485.530900,2.847100,0.006500,159.735500,1481.987900,2.820400,0.005900,159.613600,1480.915900,2.861300,0.005100,159.459000,1481.266900,2.811900,0.005600,159.450300,1499.733000,2.844800,0.005300,161.145500,1491.494000,2.890300,0.045500,161.556700,1506.387500,3.444000,0.046300,162.307900,1560.750500,7.989400,
"SPHINCS+-SHAKE256-256f-robust",0.007100,13.429800,255.142700,16.464000,0.007200,13.498500,255.007100,16.374500,0.006800,13.561900,254.677500,16.557700,0.006800,13.528000,254.669600,16.524200,0.006800,13.435000,259.520300,16.593800,0.007100,13.462200,255.571800,16.458300,0.420400,12.455800,258.881400,17.993700,0.369500,12.621800,270.726000,22.466400,
"SPHINCS+-SHAKE256-256f-simple",0.063100,7.364200,144.238400,8.542600,0.006000,7.282400,146.621000,8.564800,0.006400,7.401200,143.592100,8.561200,0.005800,7.365800,143.509300,8.451400,0.005700,7.260900,147.653600,8.534000,0.005900,7.237700,143.289300,8.552100,0.138300,6.802500,143.501300,9.254900,0.128300,6.894100,153.537500,13.913900,
"SPHINCS+-SHAKE256-256s-robust",0.023600,195.727300,2271.175900,8.143100,0.007400,195.425700,2266.579000,8.112100,0.007300,195.044300,2262.803100,8.225400,0.006900,194.568900,2257.928600,8.187200,0.006900,194.349500,2312.063000,8.154500,0.006700,195.177900,2284.824000,8.128600,0.136000,195.664300,2287.766500,8.797800,0.137500,197.917600,2314.042600,13.549000,
"SPHINCS+-SHAKE256-256s-simple",0.021300,108.303700,1317.342300,4.230300,0.006500,108.307400,1316.093200,4.238600,0.006200,108.206000,1315.961900,4.290800,0.005800,108.269900,1317.071900,4.307300,0.005600,108.217700,1339.884000,4.228300,0.005900,108.064000,1321.969500,4.273800,0.068300,107.886600,1318.079700,4.848500,0.068600,107.937100,1328.240500,9.402700,
