Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002400,0.166300,0.349200,0.096200,0.001900,0.131500,0.297900,0.065600,0.001100,0.107200,0.180600,0.055200,0.001100,0.107200,0.230000,0.052300,0.000700,0.111300,0.203700,0.057000,0.000900,0.107000,0.266700,0.102300,0.000900,0.108700,0.735600,0.557900,0.001100,0.111400,5.248900,5.076000,
"Dilithium3",0.001200,0.156400,0.293300,0.087400,0.001000,0.147100,0.288400,0.088000,0.001100,0.146300,0.282200,0.088300,0.001000,0.145400,0.360000,0.090400,0.001200,0.145500,0.299300,0.093400,0.000900,0.144700,0.374000,0.137900,0.000600,0.147700,0.802600,0.592800,0.001300,0.151300,5.337900,5.112600,
"Dilithium5",0.001500,0.200200,0.301000,0.139800,0.001400,0.197800,0.374500,0.140000,0.001500,0.196100,0.385200,0.138800,0.001200,0.197200,0.265200,0.140500,0.001000,0.198300,0.372200,0.145400,0.001200,0.198200,0.437400,0.188900,0.001100,0.198900,0.774800,0.644400,0.001300,0.201500,5.358700,5.167200,
"Falcon-512",0.001400,9.210200,0.412000,0.054900,0.001200,8.713000,0.411400,0.056000,0.001200,10.443600,0.412800,0.055700,0.001100,8.993600,0.408300,0.056000,0.001000,8.650800,0.416000,0.061500,0.001300,7.258500,0.463800,0.105000,0.001500,6.930300,0.913800,0.555600,0.001900,8.146600,5.457000,5.071800,
"Falcon-1024",0.001200,20.819500,0.708000,0.106900,0.001500,26.407300,0.712800,0.105100,0.001400,23.065300,0.711200,0.104800,0.001500,19.011000,0.710700,0.107500,0.001200,22.331700,0.717200,0.110600,0.001600,24.277400,0.762000,0.155900,0.001400,22.534300,1.217300,0.606200,0.001800,22.005500,5.735600,5.125400,
"SPHINCS+-Haraka-128f-robust",0.001900,0.360600,7.670000,0.448100,0.001600,0.364700,7.663700,0.456900,0.001500,0.364800,7.665100,0.450600,0.001500,0.361700,7.666800,0.449900,0.001200,0.363600,7.667800,0.451100,0.001400,0.360900,7.693700,0.466900,0.001600,0.362300,7.941400,0.584300,0.001500,0.362400,10.407200,1.827900,
"SPHINCS+-Haraka-128f-simple",0.001800,0.330900,6.674200,0.331700,0.001600,0.326600,6.685700,0.328900,0.001900,0.328400,6.678000,0.335600,0.001300,0.327200,6.679300,0.338100,0.001500,0.329300,6.685600,0.333500,0.001400,0.326600,6.711100,0.345100,0.001600,0.325900,6.954800,0.470200,0.001600,0.328000,9.419300,1.707700,
"SPHINCS+-Haraka-128s-robust",0.002200,19.204100,151.589700,0.171400,0.002200,19.203900,151.583400,0.174100,0.002200,19.201800,151.576100,0.172700,0.003000,19.224400,151.718400,0.169800,0.002600,19.216500,151.609200,0.175500,0.001900,19.207200,151.607200,0.187700,0.002000,19.201400,151.841800,0.311300,0.002500,19.208100,154.331300,1.550400,
"SPHINCS+-Haraka-128s-simple",0.002400,17.743200,138.100900,0.121300,0.002100,17.739000,138.077100,0.123300,0.002200,17.767400,138.123900,0.123500,0.001700,17.741000,138.046600,0.122400,0.002000,17.741900,138.097500,0.124600,0.001800,17.738600,138.120900,0.135200,0.002100,17.748600,138.309500,0.259300,0.002300,17.743500,140.852700,1.508700,
"SPHINCS+-Haraka-192f-robust",0.002100,0.515800,13.361700,0.731000,0.002000,0.514900,13.362700,0.732400,0.001600,0.516900,13.364900,0.722100,0.001500,0.516400,13.354400,0.732600,0.001700,0.528400,13.393200,0.724400,0.001700,0.520000,13.389900,0.740400,0.001600,0.518300,13.628400,0.865300,0.002300,0.520700,16.120900,2.103500,
"SPHINCS+-Haraka-192f-simple",0.002300,0.438100,10.825400,0.507700,0.002100,0.439900,10.819000,0.505900,0.001700,0.438700,10.822800,0.502500,0.001900,0.438400,10.825300,0.501800,0.001700,0.438400,10.810700,0.504100,0.002100,0.436100,10.846000,0.516900,0.001700,0.436900,11.086500,0.635900,0.001800,0.441100,13.541700,1.874900,
"SPHINCS+-Haraka-192s-robust",0.002300,29.287300,298.100700,0.267300,0.002800,29.213800,298.344500,0.265900,0.004400,29.316100,298.202800,0.269300,0.002200,29.186700,297.847300,0.267100,0.002500,29.269100,297.813500,0.269300,0.002400,29.197200,297.980900,0.277500,0.003000,29.264200,298.122500,0.405400,0.004000,29.236700,300.608400,1.681700,
"SPHINCS+-Haraka-192s-simple",0.003900,22.911800,232.021600,0.186500,0.003100,22.876800,231.746100,0.184400,0.002500,22.879000,231.758200,0.188200,0.002700,22.880500,231.738400,0.188200,0.003100,22.895400,231.850300,0.189100,0.002300,22.880800,231.751900,0.196600,0.003600,22.870700,232.095100,0.326100,0.003600,22.887800,234.535100,1.594300,
"SPHINCS+-Haraka-256f-robust",0.002400,1.147100,24.098500,0.701300,0.001900,1.138000,24.104300,0.702900,0.002200,1.140800,24.121800,0.698200,0.001600,1.138700,24.105000,0.705000,0.001600,1.143000,24.104000,0.705100,0.001800,1.141500,24.153900,0.717800,0.001600,1.140700,24.377500,0.839900,0.002300,1.137700,26.839200,2.075200,
