Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002000,0.155900,0.271700,0.085900,0.001700,0.149500,0.382700,0.085400,0.001200,0.120100,0.210500,0.059500,0.000900,0.108300,0.190500,0.052800,0.000800,0.110400,0.190500,0.059000,0.000600,0.107600,0.277400,0.102300,0.001000,0.108300,0.711700,0.554800,0.001200,0.112200,5.223800,5.083800,
"Dilithium3",0.001200,0.147800,0.265200,0.087800,0.001000,0.145600,0.287200,0.087700,0.001200,0.144900,0.285100,0.088900,0.000800,0.145500,0.266700,0.092000,0.001000,0.145800,0.359400,0.094400,0.000800,0.148200,0.412600,0.137900,0.000900,0.148500,0.797300,0.593200,0.001400,0.152100,5.412500,5.120800,
"Dilithium5",0.001300,0.203100,0.415000,0.139800,0.001500,0.196500,0.314800,0.139200,0.001400,0.196400,0.374200,0.141200,0.002200,0.196800,0.371300,0.138200,0.001400,0.198100,0.350700,0.143500,0.001000,0.196800,0.360300,0.190100,0.001000,0.199900,0.891600,0.642500,0.001600,0.203400,5.349400,5.168500,
"Falcon-512",0.001700,7.468500,0.420100,0.054600,0.001200,8.440800,0.410200,0.054100,0.001100,8.996400,0.409600,0.055100,0.001200,7.364100,0.411500,0.056600,0.001300,8.074600,0.414200,0.060600,0.001300,7.185500,0.464700,0.103800,0.001400,7.395200,0.917100,0.557600,0.001400,7.289700,5.434100,5.076500,
"Falcon-1024",0.001900,22.935700,0.716900,0.106300,0.001500,21.476700,0.712000,0.107900,0.001100,21.468100,0.709200,0.110200,0.001600,26.163600,0.715200,0.108700,0.002800,28.300400,0.716300,0.113600,0.001700,21.448400,0.763600,0.157200,0.001800,27.800100,1.220300,0.608200,0.001600,22.183400,5.742100,5.130900,
"SPHINCS+-Haraka-128f-robust",0.002000,0.363800,7.693400,0.446800,0.001300,0.360300,7.673200,0.449000,0.001500,0.363500,7.672300,0.448800,0.001400,0.363500,7.668300,0.456100,0.001500,0.364200,7.691000,0.453300,0.002000,0.361500,7.715000,0.467400,0.001700,0.362200,7.942800,0.585400,0.001900,0.362000,10.401600,1.821700,
"SPHINCS+-Haraka-128f-simple",0.001700,0.327900,6.698100,0.332400,0.001600,0.329700,6.681800,0.334000,0.001500,0.327900,6.689100,0.331400,0.001700,0.327100,6.686500,0.332300,0.001400,0.327300,6.682700,0.335600,0.001700,0.326000,6.703400,0.350400,0.001500,0.326300,6.944900,0.469800,0.001900,0.333400,9.424600,1.739500,
"SPHINCS+-Haraka-128s-robust",0.003500,19.211700,151.658000,0.173400,0.002800,19.227800,151.626500,0.168600,0.002700,19.201000,151.641800,0.173000,0.002700,19.219300,151.632800,0.176200,0.002800,19.214600,151.704700,0.176400,0.002500,19.204500,151.697000,0.184000,0.002300,19.204400,151.893900,0.306500,0.003900,19.229800,154.406000,1.573900,
"SPHINCS+-Haraka-128s-simple",0.004000,17.779500,138.234800,0.125000,0.002500,17.746500,138.098000,0.122700,0.002500,17.744400,138.132600,0.122900,0.002000,17.737100,138.101700,0.120800,0.002400,17.737700,138.132300,0.123800,0.002100,17.743900,138.169100,0.137300,0.002200,17.744900,138.370600,0.259900,0.003400,17.764400,140.865000,1.518900,
"SPHINCS+-Haraka-192f-robust",0.002300,0.515900,13.382600,0.726200,0.002000,0.516600,13.360600,0.728600,0.002200,0.515300,13.359900,0.731900,0.001700,0.515200,13.369200,0.727200,0.002200,0.517700,13.356800,0.736400,0.001800,0.545400,13.441200,0.743200,0.001800,0.511900,13.655900,0.865900,0.002300,0.515400,16.085000,2.103800,
"SPHINCS+-Haraka-192f-simple",0.002400,0.437700,10.836900,0.507100,0.002300,0.436100,10.807100,0.505200,0.002100,0.439100,10.802700,0.505300,0.001800,0.435600,10.811000,0.502500,0.002000,0.438400,10.833500,0.510200,0.002000,0.436200,10.832800,0.519700,0.002000,0.434700,11.084600,0.644100,0.002300,0.436300,13.531600,1.886500,
"SPHINCS+-Haraka-192s-robust",0.004100,29.244900,298.008200,0.265900,0.004900,29.174400,297.936400,0.268800,0.005500,29.329800,298.557000,0.270400,0.003400,29.284600,297.954900,0.267100,0.003700,29.328000,298.361200,0.268100,0.003000,29.266000,298.074000,0.283800,0.003800,29.283600,298.203700,0.404900,0.003700,29.213400,300.726400,1.672600,
"SPHINCS+-Haraka-192s-simple",0.003400,22.899300,231.938900,0.183800,0.003400,22.897300,231.802400,0.186200,0.003000,22.884100,231.895500,0.187700,0.002700,22.877100,231.893500,0.185500,0.002700,22.885800,231.963200,0.186800,0.002800,22.886600,231.927200,0.201100,0.002700,22.892400,232.116000,0.322100,0.003900,22.885700,234.800000,1.591500,
"SPHINCS+-Haraka-256f-robust",0.002600,1.138600,24.136900,0.709400,0.002200,1.136800,24.113000,0.717100,0.001900,1.140900,24.100700,0.702400,0.001900,1.144200,24.146800,0.693100,0.001700,1.141700,24.108000,0.700800,0.001700,1.141100,24.142000,0.717400,0.001900,1.140200,24.401200,0.844900,0.002300,1.142000,26.850700,2.077400,
"SPHINCS+-Haraka-256f-simple",0.002100,1.021000,20.650000,0.505200,0.002100,1.007200,20.644300,0.506300,0.002000,1.010700,20.638600,0.500700,0.001900,1.008500,20.689300,0.501300,0.001800,1.013800,20.715000,0.505500,0.001600,1.011100,20.682000,0.516000,0.001600,1.007400,20.920000,0.638300,0.003000,1.014900,23.396300,1.913600,
"SPHINCS+-Haraka-256s-robust",0.002600,17.009300,247.440800,0.373800,0.003400,17.019600,247.451200,0.367900,0.003000,17.005400,247.655200,0.368600,0.002900,17.011700,247.598700,0.372000,0.002500,17.000800,247.460100,0.369600,0.002100,17.010200,247.444800,0.387300,0.003200,17.005200,248.425400,0.511400,0.004000,17.053400,250.281500,1.837300,
"SPHINCS+-Haraka-256s-simple",0.003000,14.504800,202.169500,0.266900,0.003100,14.496500,202.209900,0.267600,0.003700,14.495500,202.354400,0.265700,0.003000,14.512400,202.282400,0.267700,0.002600,14.484800,202.170300,0.268300,0.002700,14.491300,202.203800,0.281900,0.002900,14.516200,202.468100,0.399400,0.002800,14.499300,204.871500,1.660600,
"SPHINCS+-SHA256-128f-robust",0.002400,1.521900,37.001200,2.872000,0.002100,1.520300,36.941600,2.891500,0.002200,1.519900,36.969100,2.881900,0.002100,1.526500,36.956100,2.849500,0.001900,1.521400,36.955900,2.924500,0.002100,1.525200,36.990300,2.880100,0.002000,1.522800,37.049200,2.944900,0.002200,1.523400,38.167300,3.520000,
"SPHINCS+-SHA256-128f-simple",0.002400,0.843600,19.888300,1.508900,0.002000,0.841800,19.873200,1.512000,0.001900,0.842300,19.861300,1.514600,0.001900,0.843300,19.875300,1.512000,0.002200,0.846700,19.912100,1.489400,0.001700,0.841700,19.910900,1.492600,0.001500,0.844600,19.997700,1.557200,0.002200,0.840900,21.060800,2.123400,
"SPHINCS+-SHA256-128s-robust",0.005100,93.052600,707.511300,0.970400,0.005400,93.052600,707.594500,0.979900,0.004400,93.032600,707.357500,0.988100,0.004400,92.993500,707.384200,0.968300,0.004300,93.033400,707.399600,0.986100,0.004600,92.989000,707.493200,0.979400,0.004500,92.996400,707.504400,1.042300,0.004900,92.992300,708.567600,1.635800,
"SPHINCS+-SHA256-128s-simple",0.004800,49.725600,377.698800,0.533900,0.005200,49.766900,377.773800,0.525300,0.004900,49.807000,377.660600,0.531600,0.005500,49.748600,377.666800,0.528200,0.004100,49.751100,377.708300,0.530600,0.004500,49.710400,377.701500,0.542500,0.004100,49.750800,377.786100,0.592400,0.004900,49.749200,378.823200,1.185500,
"SPHINCS+-SHA256-192f-robust",0.002800,2.169500,60.116200,4.360000,0.002600,2.169700,60.091300,4.379100,0.002100,2.168900,60.098000,4.380200,0.003000,2.176400,60.110000,4.376100,0.002600,2.170900,60.103000,4.371600,0.002200,2.167900,60.094000,4.395700,0.002700,2.170400,60.297900,4.429600,0.003100,2.166500,61.323100,4.978300,
"SPHINCS+-SHA256-192f-simple",0.002400,1.166200,32.391900,2.254600,0.002200,1.161000,32.113300,2.240300,0.002100,1.156900,32.112300,2.221700,0.002000,1.156700,32.130700,2.243000,0.002300,1.160600,32.082100,2.274300,0.001800,1.157900,32.138600,2.251400,0.002000,1.159200,32.246700,2.298900,0.002500,1.160500,33.309100,2.881200,
