Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002300,0.156600,0.406000,0.085000,0.001700,0.151600,0.222000,0.084300,0.001100,0.115100,0.192600,0.056900,0.001100,0.110000,0.146900,0.053300,0.000700,0.110500,0.192000,0.059100,0.000800,0.109700,0.222800,0.104200,0.000800,0.108100,0.696400,0.558800,0.001300,0.112700,5.274600,5.086000,
"Dilithium3",0.001400,0.147200,0.358500,0.090000,0.001300,0.146600,0.372200,0.088900,0.001000,0.145900,0.273900,0.087600,0.001200,0.150100,0.311600,0.091200,0.000800,0.148800,0.317100,0.092600,0.001000,0.147200,0.425000,0.139800,0.000900,0.146400,0.893000,0.591200,0.001100,0.151800,5.380300,5.138500,
"Dilithium5",0.001400,0.200800,0.362700,0.139700,0.001500,0.197200,0.352700,0.139500,0.001600,0.197800,0.417300,0.139300,0.001700,0.199600,0.337100,0.138700,0.001300,0.197000,0.276500,0.145400,0.001100,0.196900,0.407500,0.189800,0.001100,0.199800,0.842200,0.651900,0.001300,0.204800,5.369700,5.188700,
"Falcon-512",0.001400,8.672700,0.413200,0.056300,0.001600,9.685800,0.413200,0.055000,0.001000,7.132800,0.411200,0.054100,0.001200,8.034900,0.411700,0.057300,0.001100,7.927400,0.414400,0.060100,0.001200,7.842500,0.470200,0.104000,0.001400,8.200600,0.915000,0.559100,0.002700,7.782700,5.464900,5.099000,
"Falcon-1024",0.002000,24.840200,0.720200,0.105000,0.001600,24.052100,0.714100,0.109000,0.001500,22.983800,0.717700,0.106600,0.001500,21.612400,0.719400,0.106700,0.001500,21.192900,0.717700,0.113500,0.001500,21.368800,0.764600,0.156200,0.001400,22.502400,1.232700,0.610600,0.001700,27.926100,5.770200,5.131200,
"SPHINCS+-Haraka-128f-robust",0.002000,0.367600,7.677400,0.449100,0.001800,0.363700,7.671800,0.455300,0.001800,0.389000,7.702000,0.450100,0.001400,0.364300,7.684200,0.455000,0.001500,0.368500,7.683500,0.463200,0.001500,0.361800,7.698900,0.465200,0.001600,0.362200,7.937200,0.588600,0.001700,0.364300,10.410000,1.829000,
"SPHINCS+-Haraka-128f-simple",0.001900,0.327400,6.674600,0.335000,0.001500,0.328000,6.694300,0.332600,0.001600,0.328200,6.694300,0.333600,0.001300,0.327800,6.696700,0.332100,0.001400,0.329700,6.685800,0.336300,0.001700,0.326800,6.723900,0.347900,0.001600,0.326900,6.970500,0.469800,0.002000,0.328600,9.429900,1.711600,
"SPHINCS+-Haraka-128s-robust",0.003100,19.240100,151.819400,0.167600,0.003400,19.229100,151.826600,0.170100,0.003500,19.266700,151.859500,0.171400,0.002500,19.232400,151.785600,0.174100,0.002300,19.217400,151.753400,0.171900,0.002600,19.224000,151.886700,0.185900,0.002400,19.223500,152.126100,0.308200,0.002700,19.262500,154.555000,1.554100,
"SPHINCS+-Haraka-128s-simple",0.003000,17.780100,138.243000,0.123800,0.002600,17.818400,138.289000,0.122300,0.002600,17.748300,138.201500,0.122600,0.002100,17.760500,138.265300,0.119100,0.001900,17.767100,138.263100,0.125000,0.002300,17.796800,138.328600,0.143300,0.002000,17.763800,138.585400,0.261500,0.003000,17.766900,141.012100,1.518300,
"SPHINCS+-Haraka-192f-robust",0.001900,0.520700,13.378700,0.726100,0.001900,0.517000,13.387900,0.730000,0.001800,0.515700,13.399200,0.728500,0.002100,0.515000,13.382400,0.732300,0.002000,0.519400,13.395400,0.727300,0.001700,0.514200,13.417400,0.738400,0.001600,0.514000,13.646600,0.858900,0.002000,0.518600,16.097700,2.104200,
