Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.152800,0.338600,0.085200,0.001600,0.148900,0.244300,0.084200,0.001500,0.148000,0.290700,0.078400,0.001000,0.108600,0.172100,0.052300,0.000700,0.110400,0.194100,0.058600,0.000900,0.109300,0.263000,0.102500,0.000800,0.109200,0.702600,0.553500,0.001100,0.113200,5.225000,5.074100,
"Dilithium3",0.001300,0.147800,0.256300,0.087700,0.001000,0.146600,0.332200,0.089900,0.000900,0.146800,0.217400,0.088900,0.001000,0.147100,0.346000,0.087800,0.001100,0.148000,0.250400,0.092100,0.001900,0.147500,0.382900,0.136900,0.000900,0.147100,0.831100,0.590400,0.001100,0.149200,5.372400,5.118000,
"Dilithium5",0.001300,0.202000,0.367600,0.138400,0.001100,0.198900,0.302000,0.139600,0.001600,0.197300,0.339200,0.139200,0.001700,0.199300,0.361100,0.139600,0.001000,0.200200,0.354800,0.145100,0.001000,0.197900,0.388900,0.191300,0.001100,0.199800,0.987700,0.646700,0.001700,0.212200,5.382600,5.208800,
"Falcon-512",0.001500,6.862300,0.408700,0.056000,0.001100,6.990000,0.409300,0.054300,0.001200,9.176200,0.408200,0.055200,0.001200,7.329300,0.410200,0.056800,0.001100,7.351700,0.415600,0.059600,0.001200,8.565900,0.462200,0.103700,0.001800,9.137100,0.918800,0.556700,0.001600,6.157900,5.445100,5.075800,
"Falcon-1024",0.001500,20.196500,0.710400,0.106900,0.001300,27.371300,0.710800,0.105300,0.001400,20.853600,0.712500,0.105000,0.001200,21.426200,0.709300,0.107300,0.001100,22.676300,0.717300,0.112200,0.001500,19.833500,0.763100,0.155200,0.001800,26.994600,1.214700,0.608700,0.001900,22.556700,5.733400,5.121200,
"SPHINCS+-Haraka-128f-robust",0.002100,0.365400,7.683000,0.451600,0.001500,0.362900,7.672700,0.455900,0.001600,0.365800,7.722600,0.453100,0.001500,0.362700,7.666600,0.449700,0.001500,0.359400,7.598600,0.454900,0.001600,0.358500,7.626300,0.462900,0.001700,0.360000,7.864700,0.591500,0.001800,0.358600,10.333300,1.842300,
"SPHINCS+-Haraka-128f-simple",0.001500,0.323300,6.645400,0.328900,0.001600,0.326700,6.684100,0.336200,0.001300,0.326200,6.686000,0.331200,0.001600,0.324900,6.681700,0.337600,0.002400,0.333700,6.740200,0.349900,0.001400,0.328400,6.752000,0.362500,0.001700,0.327600,6.968800,0.468700,0.002100,0.330600,9.424000,1.701900,
"SPHINCS+-Haraka-128s-robust",0.002400,19.219500,151.706800,0.167500,0.002800,19.215900,151.712100,0.175000,0.002500,19.205500,151.649000,0.171600,0.001600,19.211900,151.658300,0.173400,0.002400,19.216300,151.669100,0.173400,0.002500,19.185800,151.326600,0.186300,0.002000,19.147000,151.466200,0.305000,0.002700,19.233100,154.407300,1.559800,
"SPHINCS+-Haraka-128s-simple",0.002900,17.758700,138.093100,0.119600,0.002600,17.762800,138.174900,0.122700,0.002600,17.753700,138.175700,0.122300,0.002200,17.744900,138.185900,0.121900,0.002100,17.755000,138.199200,0.119900,0.001900,17.761500,138.186700,0.136100,0.001800,17.749800,138.350500,0.259200,0.002300,17.744100,140.928400,1.506500,
"SPHINCS+-Haraka-192f-robust",0.002100,0.518100,13.367500,0.728100,0.001800,0.514100,13.355200,0.735000,0.002000,0.517800,13.365000,0.728000,0.001700,0.514000,13.361900,0.732600,0.001600,0.517100,13.373600,0.729800,0.002000,0.516700,13.400700,0.734200,0.001900,0.518000,13.644200,0.862500,0.002400,0.518200,16.120500,2.106800,
"SPHINCS+-Haraka-192f-simple",0.001900,0.437300,10.817100,0.503900,0.002000,0.437400,10.814300,0.499900,0.001900,0.433500,10.737800,0.500800,0.001500,0.433300,10.730000,0.503700,0.001900,0.432100,10.737700,0.507000,0.001800,0.434800,10.759900,0.517200,0.002600,0.433800,11.012000,0.641500,0.001800,0.435000,13.477500,1.879700,
"SPHINCS+-Haraka-192s-robust",0.002900,29.239800,298.121700,0.268100,0.003700,29.154800,297.906600,0.268000,0.003600,29.283200,297.746900,0.269200,0.002200,29.236700,298.045500,0.269200,0.002700,29.227000,297.934900,0.267000,0.002800,29.244800,298.366700,0.281700,0.002400,29.169900,298.359300,0.402300,0.003400,29.166900,300.471900,1.670800,
"SPHINCS+-Haraka-192s-simple",0.002600,22.889700,231.948300,0.182800,0.003100,22.886500,231.957500,0.187100,0.002600,22.883000,231.854600,0.186700,0.002600,22.888000,231.844900,0.189500,0.002000,22.874900,231.886000,0.185300,0.003300,22.899300,231.806900,0.202300,0.002500,22.842200,231.927300,0.324800,0.003400,22.900200,234.558900,1.588000,
"SPHINCS+-Haraka-256f-robust",0.002200,1.144500,24.137200,0.691200,0.001900,1.135200,24.078200,0.699900,0.001800,1.135900,24.044400,0.699800,0.001900,1.136000,24.059600,0.704100,0.001800,1.138900,24.136900,0.699200,0.002500,1.141800,24.146400,0.720000,0.002000,1.138700,24.421200,0.839000,0.002300,1.140100,26.864900,2.082400,
"SPHINCS+-Haraka-256f-simple",0.001700,1.012000,20.736400,0.504600,0.002000,1.008200,20.659400,0.505800,0.001600,1.008300,20.651000,0.502900,0.001800,1.007300,20.660500,0.505200,0.001700,1.009700,20.672400,0.507100,0.001600,1.008100,20.709400,0.515600,0.001600,1.004700,20.940700,0.643400,0.002200,1.008000,23.416300,1.888500,
"SPHINCS+-Haraka-256s-robust",0.003100,17.010000,247.396400,0.367200,0.003200,17.006000,247.500600,0.369000,0.003100,17.010800,247.559600,0.366000,0.002600,17.004600,247.390300,0.370700,0.002600,16.976000,247.121300,0.366900,0.002300,17.004600,247.413100,0.379800,0.002700,17.012000,247.743000,0.504800,0.003500,17.008900,249.905300,1.777000,
"SPHINCS+-Haraka-256s-simple",0.003400,14.486500,201.912200,0.269200,0.002700,14.503600,202.111000,0.261900,0.002800,14.503400,202.150900,0.264400,0.002500,14.498300,202.124400,0.268400,0.002600,14.491800,202.127300,0.267000,0.002500,14.488800,202.136100,0.277200,0.002400,14.487100,202.369600,0.404100,0.003200,14.504400,204.899400,1.662000,
"SPHINCS+-SHA256-128f-robust",0.002400,1.527300,37.011600,2.880500,0.002100,1.523100,37.039900,2.869600,0.001900,1.520000,36.984600,2.884600,0.001800,1.523100,36.982100,2.861300,0.002000,1.520400,37.007800,2.833700,0.001900,1.521900,36.955500,2.864800,0.002100,1.520500,37.087600,2.930700,0.002200,1.522900,38.171900,3.507000,
"SPHINCS+-SHA256-128f-simple",0.002500,0.844900,19.882500,1.510400,0.001600,0.842900,19.901400,1.495800,0.002000,0.841600,19.869800,1.520000,0.001800,0.844100,19.891800,1.502300,0.002000,0.842400,19.887700,1.504400,0.001600,0.840600,19.897800,1.516300,0.001900,0.842600,19.976200,1.603500,0.002300,0.840900,21.053900,2.158200,
"SPHINCS+-SHA256-128s-robust",0.005700,93.070900,707.647200,0.963300,0.005000,93.119500,708.165600,0.979100,0.004700,93.132300,708.343600,0.967400,0.004400,92.980700,707.424400,0.981000,0.004500,92.988500,707.483800,0.980600,0.003900,92.985800,707.453700,0.984500,0.003700,92.991500,707.623900,1.034500,0.004200,93.005100,708.602200,1.662900,
"SPHINCS+-SHA256-128s-simple",0.004700,49.733200,377.681100,0.530600,0.004500,49.756300,377.738900,0.530600,0.004500,49.749300,377.666500,0.529900,0.003900,49.788100,377.690000,0.536500,0.003700,49.806800,377.613100,0.543600,0.004400,49.793500,377.676900,0.534800,0.003400,49.726600,377.840900,0.596100,0.004100,49.808400,378.969100,1.186900,
"SPHINCS+-SHA256-192f-robust",0.002800,2.166600,60.134600,4.420800,0.002500,2.173000,60.157100,4.379700,0.002100,2.169500,60.188100,4.368100,0.002000,2.180200,60.186900,4.416000,0.002100,2.171500,60.164200,4.355000,0.002400,2.169300,60.214700,4.470300,0.002200,2.167000,60.267500,4.515900,0.002300,2.165400,61.332900,4.997000,
"SPHINCS+-SHA256-192f-simple",0.002600,1.166100,32.424600,2.238400,0.002000,1.158800,32.163200,2.237000,0.002100,1.158300,32.111300,2.275800,0.002000,1.161900,32.136100,2.251100,0.002100,1.159200,32.150000,2.238600,0.002200,1.161600,32.193800,2.222900,0.002000,1.159800,32.282500,2.288700,0.002400,1.162300,33.378600,2.851300,
"SPHINCS+-SHA256-192s-robust",0.005500,134.947100,1328.990300,1.518900,0.005500,134.842200,1328.750900,1.522800,0.005300,134.884400,1329.230700,1.529200,0.004600,134.907300,1328.745600,1.520700,0.004500,134.806400,1329.013200,1.536600,0.004100,134.850100,1328.447900,1.531800,0.004600,134.932700,1328.752800,1.576500,0.004600,134.740000,1329.319000,2.174200,
"SPHINCS+-SHA256-192s-simple",0.005000,71.387800,728.224400,0.807600,0.004900,71.083600,726.735500,0.812900,0.005400,71.120600,726.582500,0.824700,0.004600,71.142300,726.654300,0.809100,0.004400,71.103200,726.706200,0.816200,0.004000,71.029200,725.701800,0.806200,0.003900,71.065300,725.221200,0.874800,0.004400,71.217900,727.804400,1.499200,
"SPHINCS+-SHA256-256f-robust",0.003600,11.514500,235.311800,4.814500,0.002700,11.506300,235.268000,4.821200,0.002600,11.507200,235.175500,4.832400,0.002800,11.508000,235.232300,4.864000,0.003900,11.504900,235.228100,4.845200,0.002700,11.504900,235.223000,4.879700,0.002600,11.502800,235.326500,4.854100,0.002900,11.501000,236.413800,5.439900,
"SPHINCS+-SHA256-256f-simple",0.002500,2.894200,62.184700,2.267900,0.002200,2.892300,62.211900,2.294800,0.002900,2.898200,62.260900,2.293200,0.002200,2.892500,62.168000,2.299100,0.002100,2.889100,62.185500,2.267000,0.002300,2.893300,62.219400,2.274100,0.002300,2.892100,62.302800,2.331400,0.002600,2.897200,63.348700,2.906700,
"SPHINCS+-SHA256-256s-robust",0.006200,182.991100,2166.981900,2.416500,0.006200,182.930100,2166.186000,2.409100,0.006900,183.107900,2168.128500,2.436200,0.005300,182.920600,2167.139100,2.435900,0.005600,182.936800,2166.742500,2.407900,0.004700,182.891500,2166.477500,2.443500,0.005100,182.902400,2166.221900,2.519400,0.006000,182.915700,2166.809400,3.128100,
"SPHINCS+-SHA256-256s-simple",0.005400,45.173200,587.640300,1.140300,0.005100,45.137500,587.453500,1.143600,0.005200,45.142000,587.534600,1.137800,0.004900,45.146900,587.670300,1.130300,0.005100,45.130200,587.562400,1.141500,0.004300,45.136300,587.697500,1.136600,0.005000,45.482100,587.822600,1.195500,0.004700,45.158000,588.629800,1.821700,
"SPHINCS+-SHAKE256-128f-robust",0.006400,4.068300,86.264500,11.239700,0.005900,4.114900,86.005300,11.098900,0.005900,4.215900,85.245100,11.364900,0.005800,4.171800,84.985700,11.366300,0.005500,4.042100,84.906500,11.394900,0.005500,3.970800,84.703500,11.354600,0.005900,3.490100,85.548100,12.339100,0.006100,3.588600,95.533300,17.010300,
"SPHINCS+-SHAKE256-128f-simple",0.005600,2.266500,47.474000,5.888800,0.005600,2.323400,47.266400,5.916600,0.005900,2.217100,47.405800,5.792200,0.004600,2.246100,47.159100,5.896300,0.004900,2.194800,47.140300,5.740100,0.004900,2.129700,47.233300,5.862700,0.005000,1.956700,47.950700,6.469200,0.005300,1.981500,57.566700,11.064500,
"SPHINCS+-SHAKE256-128s-robust",0.006700,206.550000,1562.404100,3.829100,0.007000,206.262800,1561.208400,3.930700,0.006700,206.400800,1561.693200,3.929700,0.005800,206.211900,1561.953500,3.870500,0.005900,206.065900,1560.663100,3.977600,0.036900,206.172400,1562.582500,4.098700,0.035700,205.914900,1564.046200,4.500300,0.060900,205.704800,1569.183500,9.099000,
"SPHINCS+-SHAKE256-128s-simple",0.006400,113.246100,866.268600,2.059100,0.006500,113.019300,866.365600,2.031600,0.006500,113.144500,866.041700,2.031000,0.005400,113.074700,865.956100,2.054600,0.005700,113.020200,865.516400,2.037400,0.016300,112.907300,865.640700,2.116200,0.023400,112.901200,866.328000,2.556300,0.024000,112.565800,872.590700,7.092000,
"SPHINCS+-SHAKE256-192f-robust",0.006700,6.250800,137.180500,16.468100,0.006700,6.397400,136.751100,16.634000,0.006600,6.396000,136.709900,16.427400,0.006400,6.428900,136.727700,16.453400,0.006900,6.233700,136.408200,16.486400,0.006800,6.128100,136.316600,16.357700,0.461500,4.841700,136.930600,17.797900,0.474100,4.879900,145.810300,22.385600,
"SPHINCS+-SHAKE256-192f-simple",0.062500,3.178300,74.171800,8.590700,0.006500,3.205800,73.970900,8.523000,0.006200,3.172300,73.837600,8.394800,0.006100,3.133100,73.585900,8.400100,0.006000,3.088400,73.496600,8.338500,0.006000,3.027400,73.502200,8.417400,0.159000,2.580800,74.192900,9.238700,0.152000,2.657800,84.393300,13.749500,
"SPHINCS+-SHAKE256-192s-robust",0.025100,300.853300,2699.903400,5.705100,0.006600,300.791300,2700.446700,5.580300,0.006100,300.370900,2701.641700,5.572600,0.006000,300.439900,2697.280200,5.661500,0.006300,300.531700,2698.270100,5.623800,0.006200,300.365900,2698.788700,5.658500,0.105500,300.177500,2696.585600,6.165300,0.106300,300.252300,2707.324600,10.850700,
"SPHINCS+-SHAKE256-192s-simple",0.017700,159.752300,1485.204600,2.828800,0.005900,159.636000,1482.095200,2.890600,0.005600,159.530700,1482.512900,2.837400,0.005200,159.572300,1482.012300,2.861900,0.004900,159.487300,1503.173400,2.899200,0.005500,160.684000,1494.294100,2.938200,0.052400,161.561600,1508.422500,3.475300,0.052600,162.360200,1539.948200,8.028900,
"SPHINCS+-SHAKE256-256f-robust",0.007900,13.603500,255.365800,16.682700,0.007000,13.732900,255.002800,16.780600,0.007000,13.698900,255.179400,16.580300,0.006900,13.724200,255.208200,16.542100,0.007000,13.584600,258.435100,16.899200,0.007200,13.645900,255.741500,16.757400,0.474300,12.466700,259.185200,18.130900,0.422800,12.627800,270.901100,22.670500,
"SPHINCS+-SHAKE256-256f-simple",0.069600,7.388100,143.839000,8.639700,0.005900,7.347300,145.035700,8.572200,0.006200,7.458700,143.599200,8.617800,0.005600,7.437600,143.512200,8.506400,0.005500,7.312500,145.690300,8.490900,0.005800,7.294600,143.266800,8.558900,0.158400,6.792300,143.302700,9.356600,0.140800,6.898700,153.534200,14.004600,
"SPHINCS+-SHAKE256-256s-robust",0.026800,195.976600,2272.889600,8.360200,0.007100,195.758600,2270.580600,8.313800,0.007000,195.197600,2264.332200,8.164000,0.006800,194.960800,2300.842600,8.089200,0.006100,194.607600,2297.189800,8.217000,0.006100,195.046700,2281.616400,8.254100,0.159400,195.663200,2288.035100,9.096700,0.156700,197.890300,2315.224500,13.682200,
"SPHINCS+-SHAKE256-256s-simple",0.024900,108.364400,1317.040000,4.256800,0.007100,108.419500,1316.841900,4.273900,0.006900,108.222200,1316.173200,4.277100,0.006100,108.308100,1316.610700,4.264500,0.005800,108.074500,1326.641800,4.237800,0.006200,108.161500,1318.244000,4.338600,0.079200,107.914300,1317.925800,4.886100,0.078100,108.068700,1327.823500,9.495900,
