Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.001600,0.116300,0.167200,0.055500,0.001000,0.109800,0.183300,0.052300,0.001000,0.108800,0.198100,0.052500,0.001000,0.108600,0.172400,0.053900,0.000800,0.110500,0.210500,0.057800,0.000800,0.109500,0.233000,0.107000,0.001000,0.112800,0.802400,0.556000,0.001800,0.117800,5.255200,5.119600,0.004500,0.134100,51.031500,50.889500,0.006100,0.136800,527.754700,527.307800,
"Dilithium3",0.001800,0.151200,0.254500,0.090100,0.001100,0.148500,0.298600,0.091200,0.001200,0.147500,0.353200,0.088300,0.001000,0.149400,0.315800,0.088900,0.001100,0.145300,0.315700,0.094200,0.000900,0.145600,0.285700,0.137300,0.000900,0.148400,0.846700,0.592700,0.001900,0.154100,5.306900,5.147900,0.004200,0.173400,51.034700,50.850100,0.005800,0.178000,527.474200,527.179900,
"Dilithium5",0.001200,0.203500,0.369000,0.144000,0.001100,0.200300,0.349600,0.142200,0.000900,0.203400,0.357200,0.139000,0.000700,0.200600,0.289200,0.140200,0.000900,0.198800,0.319600,0.145900,0.001200,0.197600,0.372800,0.191400,0.001100,0.207100,0.865500,0.644300,0.001200,0.205300,5.360200,5.176600,0.004200,0.223700,51.034500,50.801500,0.006300,0.229800,526.730400,526.583900,
"Falcon-512",0.002000,8.829800,0.413400,0.054500,0.001200,6.815100,0.413900,0.056100,0.001000,8.498100,0.412100,0.054500,0.001200,8.938700,0.410300,0.055100,0.001300,9.079400,0.415500,0.059700,0.001000,8.510900,0.463200,0.108500,0.001300,7.548500,0.915800,0.560100,0.001500,9.299100,5.441300,5.087000,0.005400,8.559400,51.161200,50.748600,0.007000,7.293500,527.389100,527.243300,
"Falcon-1024",0.001900,20.048100,0.706300,0.105300,0.001700,21.240200,0.699300,0.109600,0.001600,20.413400,0.699500,0.107300,0.001300,22.332000,0.701300,0.108000,0.001200,20.448900,0.706700,0.110400,0.001200,23.648000,0.753100,0.156700,0.001800,19.396700,1.212100,0.611100,0.002200,21.497100,5.742000,5.125700,0.005500,23.217400,51.415500,50.773000,0.007100,21.297200,527.339200,527.153000,
"SPHINCS+-Haraka-128f-robust",0.002300,0.364900,7.696200,0.452900,0.001700,0.362200,7.693700,0.448600,0.002100,0.369700,7.721700,0.451800,0.001600,0.364400,7.685900,0.453000,0.001100,0.362700,7.690200,0.450200,0.001500,0.363300,7.717100,0.466500,0.001800,0.364100,7.962800,0.587500,0.001600,0.363500,10.438000,1.835600,0.005800,0.385000,35.576500,14.691400,0.007900,0.389700,306.600100,163.577800,
"SPHINCS+-Haraka-128f-simple",0.002400,0.331400,6.696600,0.339000,0.001500,0.327600,6.692200,0.335100,0.001800,0.328200,6.691500,0.334000,0.001700,0.325800,6.684900,0.331600,0.001500,0.330400,6.693200,0.331500,0.001500,0.326000,6.719800,0.347800,0.001700,0.328000,6.966600,0.470700,0.001800,0.333100,9.455200,1.708700,0.006100,0.353500,34.571500,14.590700,0.008000,0.353500,305.719300,163.391800,
"SPHINCS+-Haraka-128s-robust",0.004500,19.025500,150.790900,0.169700,0.004200,19.162700,151.805200,0.173600,0.003800,19.237400,152.276800,0.175800,0.003000,19.244500,152.361300,0.177900,0.002900,19.255800,152.313400,0.173900,0.002800,19.232400,152.311800,0.185900,0.003000,19.235700,152.539100,0.313500,0.003900,19.250400,155.194500,1.594000,0.006700,19.290000,180.295800,14.539000,0.008200,19.325500,450.875300,163.266800,
"SPHINCS+-Haraka-128s-simple",0.004500,17.771900,138.194900,0.122500,0.003500,17.767800,138.268200,0.121900,0.003000,17.767400,138.306400,0.123200,0.002500,17.758600,138.296300,0.125300,0.002900,17.770900,138.198400,0.125000,0.002500,17.761300,138.265400,0.138400,0.002600,17.772700,138.478600,0.265400,0.003700,17.503900,138.830500,1.563100,0.006100,17.666300,165.265900,14.377500,0.007600,17.806400,436.747500,163.277400,
"SPHINCS+-Haraka-192f-robust",0.002900,0.519500,13.410600,0.736100,0.002000,0.518200,13.391200,0.733700,0.001800,0.523400,13.383200,0.726200,0.001400,0.515700,13.383800,0.735400,0.001700,0.516400,13.400000,0.739300,0.001800,0.515500,13.408400,0.747200,0.001600,0.522100,13.657100,0.865400,0.002200,0.516900,16.146000,2.104400,0.006000,0.538500,41.257000,14.988000,0.008300,0.540300,312.238600,163.541700,
"SPHINCS+-Haraka-192f-simple",0.002700,0.445200,10.855600,0.501900,0.001500,0.439100,10.836000,0.505700,0.001700,0.436800,10.836500,0.502200,0.001700,0.438800,10.843200,0.510000,0.001600,0.435700,10.841400,0.504500,0.001800,0.436900,10.855800,0.521900,0.002100,0.437000,11.110600,0.642000,0.002500,0.438200,13.601600,1.891900,0.006100,0.466800,38.722700,14.795300,0.007800,0.468800,309.855700,163.571600,
"SPHINCS+-Haraka-192s-robust",0.005800,29.203300,298.083400,0.267800,0.004900,29.196900,297.836400,0.268000,0.004700,29.198800,297.876000,0.267400,0.004000,29.203700,298.085900,0.268500,0.004000,29.199900,298.138300,0.268300,0.003700,29.105200,297.255800,0.283600,0.003900,29.198400,298.431400,0.406100,0.004500,29.135200,299.911500,1.701000,0.006500,29.332200,326.134000,14.591500,0.008300,29.315700,596.950600,163.630000,
"SPHINCS+-Haraka-192s-simple",0.004900,22.907300,231.855200,0.187800,0.004300,22.903900,231.966700,0.188400,0.003800,22.908300,231.956100,0.188200,0.003500,22.891600,231.938300,0.188100,0.003500,22.914500,232.052900,0.187800,0.003500,22.923600,231.912900,0.203000,0.003200,22.903100,232.123600,0.327900,0.004400,22.918300,234.620400,1.621500,0.006300,22.936900,259.858800,14.545200,0.007900,22.983000,530.943800,163.540800,
"SPHINCS+-Haraka-256f-robust",0.002800,1.148000,24.178300,0.710800,0.002000,1.139700,24.138500,0.706700,0.001900,1.150300,24.137600,0.699400,0.001700,1.145700,24.138200,0.694200,0.001800,1.143700,24.126600,0.702300,0.001600,1.142400,24.151600,0.707600,0.001900,1.142100,24.427900,0.833700,0.003100,1.147400,26.925200,2.101400,0.006500,1.165800,52.130800,15.047700,0.009000,1.165600,322.866200,163.598700,
