Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.155500,0.286800,0.083300,0.001700,0.149500,0.310300,0.083100,0.001600,0.124100,0.257600,0.061100,0.001100,0.109100,0.189900,0.052300,0.000500,0.109400,0.217200,0.057700,0.000800,0.107600,0.288100,0.102400,0.000800,0.108400,0.751000,0.559200,0.001200,0.111800,5.212100,5.079400,
"Dilithium3",0.001400,0.156700,0.363400,0.089300,0.001100,0.144800,0.253800,0.089700,0.001200,0.147400,0.299500,0.088000,0.001000,0.147300,0.404700,0.088000,0.001500,0.147600,0.378100,0.092300,0.001000,0.145900,0.402300,0.138200,0.001000,0.147100,0.826000,0.590800,0.001000,0.151000,5.376500,5.128800,
"Dilithium5",0.001400,0.198600,0.323700,0.140000,0.001400,0.199500,0.311400,0.137900,0.001400,0.197500,0.374000,0.138400,0.001300,0.196900,0.279300,0.140700,0.000900,0.199900,0.411000,0.148200,0.001100,0.198500,0.360900,0.191200,0.001000,0.201700,0.831000,0.642300,0.001200,0.201900,5.404800,5.174700,
"Falcon-512",0.001400,9.319100,0.411600,0.054600,0.001300,9.216000,0.409300,0.055500,0.001300,7.702700,0.413300,0.054300,0.001000,7.605400,0.410700,0.054900,0.001200,8.039500,0.415500,0.060400,0.001300,9.299900,0.468600,0.104700,0.001400,9.570500,0.915300,0.561300,0.002900,8.993400,5.444500,5.088600,
"Falcon-1024",0.001800,21.894600,0.709100,0.105400,0.001600,24.731200,0.710000,0.105300,0.001300,20.949900,0.706000,0.106700,0.001000,21.163900,0.709200,0.107200,0.001100,21.248600,0.721000,0.111900,0.001400,22.474100,0.764200,0.155800,0.001600,20.972900,1.223600,0.610200,0.002100,24.808400,5.742600,5.131400,
"SPHINCS+-Haraka-128f-robust",0.003400,0.364100,7.669500,0.448700,0.002200,0.364900,7.734100,0.451100,0.001700,0.362400,7.663700,0.452100,0.001800,0.362100,7.667300,0.452000,0.001200,0.362000,7.668500,0.451400,0.001500,0.361300,7.693200,0.466300,0.001600,0.361000,7.931600,0.593900,0.002000,0.364400,10.395700,1.831700,
"SPHINCS+-Haraka-128f-simple",0.002000,0.328000,6.680600,0.331500,0.001700,0.326300,6.680800,0.333000,0.001400,0.328500,6.698900,0.332200,0.002000,0.328700,6.708200,0.332800,0.001800,0.326800,6.693400,0.333500,0.001400,0.328500,6.723200,0.345100,0.001400,0.327700,6.956600,0.467100,0.001900,0.327600,9.430500,1.707700,
"SPHINCS+-Haraka-128s-robust",0.002700,19.226800,151.669000,0.173100,0.002800,19.209300,151.667400,0.170900,0.002200,19.208900,151.628000,0.173300,0.002600,19.213600,151.628300,0.172500,0.001900,19.203000,151.574900,0.172600,0.002300,19.208100,151.722200,0.187900,0.002000,19.217600,151.911600,0.307000,0.003500,19.225700,154.426100,1.578000,
"SPHINCS+-Haraka-128s-simple",0.002700,17.758600,138.179700,0.125400,0.002500,17.774100,138.213900,0.123300,0.002800,17.761100,138.215300,0.123000,0.001800,17.737700,138.191600,0.123500,0.002300,17.756000,138.240100,0.125700,0.002200,17.765900,138.283100,0.138900,0.002300,17.765700,138.512900,0.258200,0.002900,17.795300,140.976300,1.517200,
"SPHINCS+-Haraka-192f-robust",0.002000,0.517400,13.393800,0.729700,0.002100,0.518600,13.436600,0.733200,0.002000,0.515200,13.400100,0.731600,0.001600,0.517300,13.374700,0.731800,0.002000,0.517200,13.383100,0.728600,0.001300,0.517700,13.415900,0.741200,0.001600,0.520100,13.635700,0.858400,0.002000,0.515800,16.087700,2.105500,
"SPHINCS+-Haraka-192f-simple",0.002100,0.438800,10.810300,0.504000,0.001900,0.436100,10.795300,0.507800,0.001900,0.437900,10.808100,0.503000,0.001500,0.437100,10.800900,0.504500,0.001600,0.437400,10.805000,0.507600,0.002100,0.438400,10.843000,0.516300,0.002000,0.439000,11.101700,0.647800,0.002500,0.441900,13.577600,1.894700,
"SPHINCS+-Haraka-192s-robust",0.003700,29.362100,298.494500,0.265100,0.003400,29.199400,297.903600,0.266600,0.003800,29.285000,297.892200,0.267000,0.002600,29.399700,298.127500,0.265000,0.003600,29.426800,298.254900,0.269000,0.002900,29.314200,297.879100,0.283300,0.003300,29.237600,298.269200,0.404800,0.004000,29.274300,300.847400,1.675400,
"SPHINCS+-Haraka-192s-simple",0.003300,22.891900,231.904700,0.185400,0.003800,22.921400,231.930800,0.186300,0.003200,22.888900,231.858700,0.187100,0.003600,22.884700,231.920200,0.187900,0.003300,22.884300,231.745500,0.189300,0.003000,22.891300,231.879600,0.200200,0.003300,22.897700,232.223700,0.322200,0.004500,22.906100,234.641000,1.601700,
"SPHINCS+-Haraka-256f-robust",0.002400,1.141200,24.105000,0.700700,0.002100,1.143400,24.105000,0.698200,0.002000,1.142100,24.105800,0.704200,0.002300,1.139900,24.130300,0.702500,0.001700,1.139600,24.156600,0.696900,0.001600,1.141500,24.183400,0.718500,0.001700,1.139300,24.419200,0.838100,0.002100,1.139900,26.902300,2.073600,
"SPHINCS+-Haraka-256f-simple",0.002200,1.009500,20.659000,0.503600,0.002000,1.004500,20.668700,0.507000,0.002000,1.008200,20.648600,0.503400,0.001800,1.007700,20.679400,0.504700,0.001900,1.006000,20.652000,0.504600,0.002200,1.008500,20.720200,0.523400,0.001900,1.008700,20.959600,0.647000,0.001700,1.006100,23.401700,1.885500,
"SPHINCS+-Haraka-256s-robust",0.004000,17.023200,247.547100,0.372600,0.003800,17.012500,247.515000,0.371500,0.003700,17.008100,247.383400,0.364600,0.003500,17.020800,247.648200,0.372200,0.003300,17.010700,247.433300,0.375200,0.003300,17.026300,247.399600,0.386000,0.003200,17.021400,247.683400,0.511100,0.003500,17.016100,250.237300,1.790400,
