Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.157400,0.261900,0.085200,0.001500,0.150100,0.229400,0.083700,0.001700,0.145400,0.287600,0.077200,0.001000,0.110900,0.187200,0.052400,0.000700,0.110200,0.191500,0.057400,0.000900,0.107800,0.206600,0.104900,0.001100,0.110400,0.727800,0.555900,0.001100,0.110800,5.196100,5.077300,
"Dilithium3",0.001000,0.150000,0.243300,0.088200,0.001200,0.145500,0.234500,0.088300,0.000900,0.148100,0.299500,0.087600,0.001000,0.147700,0.241300,0.089700,0.001100,0.145000,0.313800,0.093900,0.000900,0.145100,0.381000,0.140600,0.000700,0.146800,0.731400,0.590900,0.001400,0.148800,5.342200,5.121100,
"Dilithium5",0.001800,0.200900,0.329900,0.142000,0.001300,0.196100,0.327700,0.142000,0.001200,0.200000,0.284300,0.138600,0.001500,0.198000,0.429000,0.140700,0.001000,0.199800,0.324700,0.145000,0.001300,0.199400,0.478200,0.190800,0.001000,0.200700,0.871500,0.646600,0.001300,0.201900,5.377400,5.167100,
"Falcon-512",0.001400,8.091400,0.409100,0.057100,0.001000,7.552800,0.409100,0.055200,0.001300,7.123600,0.415300,0.054200,0.001100,6.639600,0.409000,0.055900,0.001300,7.467800,0.416700,0.059300,0.001200,7.086300,0.461100,0.104800,0.001400,8.283500,0.915700,0.556200,0.001800,9.561300,5.441000,5.079300,
"Falcon-1024",0.001700,24.116600,0.712300,0.107900,0.001300,23.977100,0.709100,0.106000,0.001300,21.055100,0.712000,0.106300,0.001200,19.288300,0.713700,0.106400,0.001200,21.477900,0.719700,0.113700,0.001100,19.955800,0.760500,0.158400,0.001800,20.764900,1.223800,0.614100,0.002000,20.178600,5.748300,5.135300,
"SPHINCS+-Haraka-128f-robust",0.002100,0.367000,7.670900,0.452800,0.001300,0.362900,7.680700,0.449900,0.004800,0.365600,7.716100,0.451200,0.002800,0.370500,7.708500,0.453400,0.002000,0.368700,7.701300,0.453100,0.002200,0.379400,8.113800,0.487800,0.001500,0.363300,7.940700,0.587900,0.001900,0.363400,10.437300,1.840200,
"SPHINCS+-Haraka-128f-simple",0.001700,0.331800,6.681200,0.335000,0.001900,0.325400,6.680500,0.334100,0.001900,0.326500,6.692400,0.334900,0.001400,0.331500,6.694700,0.332300,0.001500,0.325600,6.690700,0.332300,0.001400,0.328000,6.708900,0.348400,0.001300,0.328200,6.951300,0.470300,0.001900,0.331800,9.403200,1.709800,
"SPHINCS+-Haraka-128s-robust",0.002500,19.215300,151.605400,0.173700,0.002300,19.205900,151.561300,0.172400,0.002100,19.212200,151.627900,0.168600,0.002300,19.207200,151.617400,0.174500,0.001800,19.205600,151.591100,0.169700,0.002100,19.206700,151.634000,0.183900,0.002200,19.213100,151.917800,0.309200,0.002500,19.234900,154.329500,1.557300,
"SPHINCS+-Haraka-128s-simple",0.002600,17.752400,138.078200,0.121000,0.002600,17.747900,138.084200,0.121700,0.002100,17.735200,138.081700,0.123700,0.002100,17.754300,138.098200,0.122700,0.001600,17.736300,138.070000,0.121500,0.001800,17.744300,138.096800,0.135800,0.001800,17.746800,138.341100,0.262600,0.002400,17.744300,140.820100,1.496900,
"SPHINCS+-Haraka-192f-robust",0.002100,0.519400,13.359000,0.736000,0.002100,0.514900,13.366000,0.727000,0.001900,0.519400,13.379700,0.723900,0.001500,0.515700,13.359300,0.732200,0.001700,0.516100,13.371900,0.723400,0.002000,0.519100,13.391100,0.743400,0.001600,0.513800,13.631600,0.870900,0.002200,0.518700,16.086800,2.113300,
"SPHINCS+-Haraka-192f-simple",0.002100,0.440400,10.810400,0.506900,0.002100,0.437600,10.820400,0.502900,0.002000,0.438200,10.815800,0.501200,0.001400,0.436200,10.809100,0.503800,0.001700,0.437200,10.805100,0.508000,0.001600,0.435100,10.837500,0.519800,0.001900,0.434300,11.094100,0.639700,0.002000,0.436900,13.543400,1.876900,
"SPHINCS+-Haraka-192s-robust",0.003800,29.344200,298.603100,0.264900,0.003400,29.458700,299.324700,0.269700,0.003100,29.265900,298.494300,0.268900,0.002600,29.368800,297.893400,0.267700,0.002500,29.197800,297.806500,0.266200,0.002800,29.296100,298.109500,0.284400,0.002900,29.340300,298.441400,0.404000,0.003400,29.190400,300.598800,1.667300,
"SPHINCS+-Haraka-192s-simple",0.003100,22.887300,231.833400,0.186200,0.004400,22.902100,231.929800,0.187200,0.003000,22.881700,231.816700,0.183000,0.002600,22.876100,231.838400,0.187000,0.002700,22.878000,231.717000,0.189600,0.003300,22.903200,232.123700,0.200100,0.002500,22.879500,232.113500,0.325200,0.003300,22.888600,234.529100,1.582200,
"SPHINCS+-Haraka-256f-robust",0.002100,1.137600,24.112600,0.703500,0.002000,1.143500,24.108400,0.698000,0.002000,1.142000,24.121800,0.697500,0.001700,1.140300,24.119200,0.702000,0.002000,1.138000,24.140400,0.700500,0.001800,1.136900,24.165600,0.717400,0.001700,1.138400,24.410900,0.833800,0.002000,1.137400,26.834600,2.089100,
"SPHINCS+-Haraka-256f-simple",0.002000,1.012000,20.641400,0.504200,0.002800,1.010900,20.635300,0.507000,0.001700,1.008400,20.634200,0.501100,0.001800,1.004500,20.642800,0.506600,0.001500,1.008700,20.649500,0.503200,0.001700,1.007100,20.681800,0.516400,0.001700,1.006600,20.920600,0.643700,0.001900,1.006300,23.388600,1.888900,
"SPHINCS+-Haraka-256s-robust",0.002900,17.013900,247.459600,0.370200,0.002900,17.013100,247.392000,0.369600,0.002500,16.999800,247.365900,0.367600,0.003400,17.020300,247.986800,0.368400,0.003200,17.020900,247.480200,0.368600,0.002200,17.007400,247.488400,0.379900,0.002600,17.018200,247.855400,0.512300,0.003700,17.011300,250.171300,1.774100,
"SPHINCS+-Haraka-256s-simple",0.003700,14.507100,202.205900,0.268600,0.003100,14.504000,202.177800,0.264700,0.002700,14.493500,202.081900,0.267700,0.002700,14.503300,202.096200,0.266100,0.003200,14.491100,202.145100,0.267700,0.002100,14.493000,202.165900,0.282100,0.002400,14.492300,202.468400,0.405900,0.003100,14.506600,204.888400,1.660100,
"SPHINCS+-SHA256-128f-robust",0.002600,1.525800,36.961800,2.921400,0.002000,1.522700,37.015700,2.859100,0.002200,1.522600,36.980300,2.869200,0.002000,1.520700,36.966300,2.894800,0.001800,1.524000,36.984700,2.928200,0.002900,1.530500,37.028900,2.846900,0.001900,1.521500,37.101200,2.925000,0.002300,1.522200,38.173600,3.456900,
"SPHINCS+-SHA256-128f-simple",0.002200,0.845600,19.879100,1.504300,0.001900,0.840800,19.893000,1.495200,0.002100,0.842200,19.873600,1.515200,0.002000,0.845300,19.888300,1.508300,0.001800,0.845400,19.891100,1.500300,0.001800,0.844300,19.918200,1.498100,0.001700,0.841000,20.018300,1.547300,0.002300,0.840300,21.095100,2.111000,
"SPHINCS+-SHA256-128s-robust",0.004700,93.038400,707.446000,0.971400,0.004600,92.978500,707.300400,0.962700,0.004700,92.975000,707.246200,0.959100,0.003800,93.008500,707.302600,0.980600,0.004700,92.993800,707.421000,0.989900,0.003800,92.956100,707.324700,0.986800,0.004400,92.978400,707.400500,1.048300,0.005000,93.025400,708.778400,1.670200,
"SPHINCS+-SHA256-128s-simple",0.004600,49.800700,377.614700,0.539500,0.004500,49.793600,377.684900,0.530000,0.004200,49.747500,377.628600,0.534300,0.004800,49.750300,377.666600,0.525900,0.004600,49.730300,377.616100,0.524100,0.003400,49.709200,377.656100,0.537500,0.002800,49.750000,377.703700,0.593500,0.003900,49.736000,378.783600,1.177200,
"SPHINCS+-SHA256-192f-robust",0.002700,2.167200,60.076800,4.370700,0.002400,2.166400,60.101400,4.374100,0.002400,2.166700,60.126500,4.368900,0.002000,2.165400,60.099300,4.363400,0.002600,2.213100,60.143500,4.371300,0.002000,2.168100,60.205200,4.393300,0.002000,2.167400,60.261600,4.518400,0.002600,2.164700,61.352100,5.000800,
"SPHINCS+-SHA256-192f-simple",0.002500,1.168400,32.307100,2.243300,0.002300,1.163700,32.329100,2.233600,0.002100,1.166100,32.289400,2.249500,0.002500,1.173100,32.292400,2.262600,0.002100,1.161200,32.317500,2.251000,0.001900,1.164700,32.326900,2.238500,0.001800,1.161500,32.397400,2.328300,0.002200,1.169400,33.489600,2.864100,
"SPHINCS+-SHA256-192s-robust",0.005200,134.718700,1327.749900,1.521600,0.005400,134.566000,1327.835000,1.499500,0.005100,134.740800,1327.341600,1.517200,0.004300,134.532000,1327.467700,1.522000,0.004700,134.651000,1328.197800,1.510100,0.004400,134.651500,1328.020200,1.533900,0.004500,134.785600,1328.366200,1.601600,0.004700,134.518500,1328.980500,2.179300,
"SPHINCS+-SHA256-192s-simple",0.004700,71.024600,725.857300,0.812600,0.005200,70.999500,726.006600,0.820200,0.004900,71.046700,725.558300,0.805100,0.004300,70.942000,725.505200,0.803800,0.004300,70.912500,725.414200,0.809500,0.004200,71.000900,725.718400,0.818400,0.004100,71.006600,725.562400,0.866500,0.004500,71.059600,726.750800,1.482100,
"SPHINCS+-SHA256-256f-robust",0.003200,11.511600,235.094300,4.851600,0.003300,11.507700,235.095100,4.819800,0.003300,11.507600,235.111300,4.860200,0.003500,11.513200,235.165500,4.797500,0.003500,11.522600,235.168900,4.838100,0.003200,11.506500,235.194300,4.814200,0.003400,11.509800,235.311700,4.861600,0.004300,11.515300,236.451800,5.478400,
"SPHINCS+-SHA256-256f-simple",0.002600,2.897000,62.122100,2.296500,0.002600,2.890300,62.141500,2.270900,0.002400,2.892400,62.145800,2.270100,0.002500,2.890800,62.130400,2.277600,0.002400,2.893300,62.156000,2.290100,0.002500,2.896400,62.191000,2.296700,0.002700,2.893300,62.302200,2.338300,0.002500,2.892600,63.343000,2.888300,
"SPHINCS+-SHA256-256s-robust",0.005800,182.977100,2166.685300,2.435700,0.005900,182.954200,2165.737600,2.421700,0.005800,182.872800,2165.064300,2.430100,0.005500,182.957700,2166.294600,2.437700,0.005600,182.940600,2166.171400,2.444200,0.004700,182.900900,2165.726400,2.467800,0.004800,182.958500,2165.688900,2.502300,0.005500,182.945700,2168.106900,3.115400,
"SPHINCS+-SHA256-256s-simple",0.006700,45.135200,587.666900,1.134500,0.005800,45.147100,587.490800,1.139300,0.004900,45.135600,587.428900,1.119700,0.004600,45.132800,587.405400,1.145600,0.004800,45.139400,587.415400,1.140400,0.004400,45.145000,587.506800,1.138400,0.004500,45.148200,587.627500,1.187300,0.004800,45.152300,588.644200,1.798300,
"SPHINCS+-SHAKE256-128f-robust",0.005700,4.006600,86.047000,11.077700,0.006300,4.106200,85.544800,11.183900,0.005700,4.140400,84.988400,11.286800,0.005800,4.077400,84.842200,11.275600,0.005800,3.972100,84.726100,11.308400,0.006500,3.909500,84.740700,11.259500,0.005600,3.465600,85.784800,12.061500,0.005700,3.568200,95.472000,16.703100,
"SPHINCS+-SHAKE256-128f-simple",0.005800,2.242700,47.417300,5.864100,0.005500,2.286400,47.290800,5.838900,0.005500,2.195000,47.303200,5.725100,0.005100,2.220300,47.147800,5.844100,0.004900,2.151700,47.126400,5.745500,0.005000,2.101800,47.144500,5.737500,0.004500,1.932300,47.914100,6.435900,0.005000,1.972600,57.477100,10.986100,
"SPHINCS+-SHAKE256-128s-robust",0.006900,206.465100,1572.716100,3.841500,0.006700,206.071900,1561.776000,3.916300,0.006200,206.118000,1561.318100,3.928400,0.005800,206.243500,1560.800300,3.906900,0.005600,206.212000,1560.919200,3.901000,0.033100,206.166900,1560.711400,3.972100,0.040200,205.838300,1560.341500,4.383200,0.047200,205.808300,1567.567300,8.969900,
"SPHINCS+-SHAKE256-128s-simple",0.006300,113.197900,866.363000,2.046100,0.006100,113.066500,866.323500,2.019400,0.006100,113.050800,865.707300,2.069500,0.005200,113.111900,865.498900,2.034800,0.005300,113.074600,865.782900,2.044900,0.014100,112.899400,865.845800,2.136400,0.023700,112.750800,866.044800,2.621000,0.027600,112.573900,872.360400,7.192300,
"SPHINCS+-SHAKE256-192f-robust",0.006700,6.184300,136.965700,16.497400,0.006900,6.307000,136.668900,16.418300,0.007000,6.312700,136.416100,16.368300,0.006800,6.284300,136.264100,16.293700,0.007000,6.093700,136.285900,16.107100,0.006900,6.024700,136.187800,16.168000,0.429500,4.848000,137.171300,17.568600,0.437000,4.883600,145.876400,22.264500,
"SPHINCS+-SHAKE256-192f-simple",0.061900,3.142500,74.174700,8.471500,0.007200,3.171500,74.179700,8.431700,0.006400,3.148900,73.963100,8.448700,0.006000,3.107600,73.619900,8.414600,0.006000,3.069300,73.671800,8.384500,0.005700,3.007100,73.479900,8.373200,0.147900,2.572800,74.250100,9.114800,0.149600,2.656900,84.347100,13.682900,
"SPHINCS+-SHAKE256-192s-robust",0.023300,297.111500,2672.018800,5.512800,0.007500,296.336700,2683.150300,5.432300,0.006300,295.737800,2701.374500,5.429900,0.006700,295.141700,2697.101900,5.414300,0.006500,295.834900,2652.539800,5.599200,0.006200,295.750300,2669.639700,5.541300,0.103200,297.316700,2677.965400,6.376400,0.097600,299.979900,2705.331900,10.848200,
