Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.153300,0.259200,0.083600,0.001500,0.150700,0.222800,0.084600,0.001100,0.129600,0.293800,0.065500,0.001000,0.108100,0.179700,0.052400,0.000600,0.109800,0.204100,0.058500,0.000700,0.107400,0.285300,0.102300,0.000900,0.109800,0.674400,0.558200,0.001200,0.117800,5.207500,5.090700,
"Dilithium3",0.001400,0.148400,0.361600,0.088900,0.001300,0.147600,0.338800,0.089100,0.000800,0.147900,0.260600,0.087700,0.001000,0.148500,0.293200,0.089300,0.001000,0.144800,0.233300,0.093300,0.001000,0.145900,0.294600,0.137700,0.000900,0.148200,0.828000,0.592300,0.001300,0.151800,5.286400,5.124000,
"Dilithium5",0.001600,0.199700,0.331200,0.139400,0.001500,0.199000,0.318700,0.141200,0.001300,0.201000,0.314400,0.138300,0.001400,0.199200,0.395500,0.138900,0.000700,0.198000,0.352600,0.144600,0.001100,0.196600,0.539800,0.191300,0.001000,0.199300,0.813000,0.642500,0.001300,0.201400,5.334000,5.179900,
"Falcon-512",0.001400,7.097100,0.412200,0.054400,0.001200,7.714800,0.413400,0.056100,0.001400,8.276600,0.414700,0.054500,0.001300,9.153000,0.410800,0.056000,0.001100,7.644000,0.419200,0.060700,0.001400,10.701700,0.461900,0.106100,0.001200,8.692200,0.916900,0.555200,0.001800,10.242500,5.439200,5.087700,
"Falcon-1024",0.001700,21.013000,0.713500,0.105600,0.001700,25.851700,0.712700,0.106200,0.001100,23.296500,0.712900,0.106300,0.001400,20.963800,0.714600,0.105800,0.001300,21.883500,0.717100,0.110200,0.001600,25.091800,0.764300,0.154700,0.001900,21.385400,1.214000,0.612000,0.002000,23.902800,5.742500,5.131300,
"SPHINCS+-Haraka-128f-robust",0.002200,0.367900,7.682700,0.454900,0.001400,0.364000,7.673500,0.451800,0.001500,0.363900,7.679200,0.451300,0.001800,0.364100,7.681300,0.453000,0.001500,0.365400,7.684800,0.453700,0.001600,0.361300,7.712600,0.460600,0.001900,0.362600,7.967800,0.588500,0.001800,0.362800,10.417300,1.839500,
"SPHINCS+-Haraka-128f-simple",0.001800,0.331300,6.688000,0.332600,0.001600,0.329300,6.690400,0.332200,0.001500,0.327900,6.691500,0.331700,0.001700,0.325100,6.690200,0.334700,0.002000,0.335400,6.765500,0.333700,0.002200,0.328200,6.737700,0.345800,0.001700,0.328200,6.959100,0.469800,0.002000,0.330600,9.460400,1.705100,
"SPHINCS+-Haraka-128s-robust",0.003000,19.239700,151.764200,0.173000,0.003900,19.253300,151.728600,0.181800,0.002700,19.218400,151.695700,0.169900,0.002300,19.230800,151.713400,0.170700,0.002400,19.252700,151.816500,0.174700,0.002500,19.217900,151.804900,0.186000,0.002200,19.222600,152.001800,0.306000,0.003300,19.245100,154.574600,1.567500,
"SPHINCS+-Haraka-128s-simple",0.002900,17.752600,138.205900,0.123800,0.002300,17.782200,138.230700,0.124100,0.002800,17.786900,138.329900,0.123700,0.003100,17.784800,138.334700,0.126000,0.002800,17.764800,138.318200,0.124400,0.002800,17.777800,138.348200,0.137900,0.002800,17.772200,138.496600,0.267300,0.003300,17.772200,141.013700,1.517700,
"SPHINCS+-Haraka-192f-robust",0.002000,0.520800,13.383300,0.724900,0.002000,0.514500,13.385500,0.726300,0.001600,0.516400,13.368700,0.725200,0.001500,0.520700,13.396300,0.729500,0.001500,0.516300,13.383600,0.731100,0.002000,0.516700,13.409900,0.747300,0.002000,0.518200,13.684400,0.861200,0.001800,0.515800,16.137000,2.107000,
"SPHINCS+-Haraka-192f-simple",0.001800,0.440700,10.827200,0.506500,0.001800,0.461600,10.821000,0.508200,0.002000,0.438000,10.831800,0.505700,0.001500,0.434900,10.840800,0.507000,0.001600,0.436900,10.813200,0.507900,0.001800,0.436300,10.880000,0.514600,0.001900,0.439200,11.106800,0.641100,0.001900,0.442900,13.579900,1.876400,
"SPHINCS+-Haraka-192s-robust",0.004700,29.370400,298.434000,0.267000,0.004400,29.214900,298.318600,0.270100,0.004400,29.378700,298.608700,0.267100,0.003800,29.395300,297.962300,0.274800,0.003800,29.267900,298.156700,0.269500,0.003400,29.347600,298.114500,0.281400,0.003800,29.271600,298.472000,0.408700,0.004000,29.323300,301.116200,1.692300,
"SPHINCS+-Haraka-192s-simple",0.004200,22.903100,232.016600,0.189400,0.004300,22.903800,231.989400,0.186500,0.004100,22.901100,231.901500,0.186500,0.003700,22.936600,232.128500,0.188900,0.003200,22.900600,231.964700,0.190100,0.003400,22.905800,232.072900,0.199800,0.003600,22.930700,232.218000,0.329300,0.004100,22.922500,234.723300,1.590500,
"SPHINCS+-Haraka-256f-robust",0.002500,1.138700,24.144500,0.712900,0.002000,1.140800,24.154500,0.716900,0.002000,1.134700,24.138300,0.705000,0.002000,1.136700,24.133800,0.705500,0.001900,1.137800,24.181200,0.708200,0.001800,1.136200,24.162900,0.716100,0.001700,1.139500,24.388900,0.839400,0.002200,1.142000,26.851000,2.072900,
"SPHINCS+-Haraka-256f-simple",0.002000,1.010700,20.675500,0.506500,0.001900,1.009400,20.694900,0.501800,0.002100,1.009100,20.660400,0.508900,0.001800,1.013100,20.670100,0.504600,0.002000,1.007600,20.680400,0.504300,0.001800,1.011600,20.725600,0.518300,0.001900,1.008800,20.952300,0.640900,0.002500,1.010700,23.421200,1.887000,
"SPHINCS+-Haraka-256s-robust",0.005100,17.081500,248.823400,0.369200,0.004400,17.071700,247.644700,0.368900,0.003800,17.016800,247.642000,0.372000,0.004100,17.030200,247.847000,0.375200,0.003400,17.028000,247.699100,0.370100,0.003700,17.037200,247.793100,0.389600,0.003300,17.027400,248.047400,0.507600,0.003800,17.049300,250.509300,1.774000,
"SPHINCS+-Haraka-256s-simple",0.003800,14.533100,202.381600,0.267700,0.003900,14.538400,202.251900,0.266700,0.003500,14.518500,202.431800,0.263800,0.003200,14.522800,202.475200,0.266900,0.003500,14.518300,202.332300,0.266100,0.002800,14.504800,202.257300,0.280500,0.003100,14.515700,202.772700,0.409700,0.004300,14.529000,205.103300,1.669300,
"SPHINCS+-SHA256-128f-robust",0.002900,1.532600,37.141200,2.903100,0.001700,1.520400,37.045000,2.914500,0.002200,1.523200,37.075300,2.923300,0.002300,1.527100,37.115600,2.893100,0.001800,1.523600,37.075400,2.872400,0.002000,1.522700,37.098000,2.873100,0.002100,1.526600,37.146800,2.946000,0.002400,1.527800,38.191100,3.557100,
"SPHINCS+-SHA256-128f-simple",0.002300,0.844100,19.943600,1.485900,0.001600,0.843200,19.869700,1.516600,0.001900,0.843500,19.870600,1.510900,0.001800,0.844900,19.912100,1.507100,0.001900,0.842400,19.881700,1.503800,0.001600,0.840700,19.904400,1.509400,0.002700,0.843700,20.037400,1.591300,0.002200,0.849100,21.122000,2.104200,
"SPHINCS+-SHA256-128s-robust",0.004700,93.093000,707.908300,0.975900,0.005000,93.038700,707.922800,0.960000,0.005200,93.052500,708.189700,0.966300,0.004400,93.053300,708.033300,0.955600,0.004700,93.068400,707.966400,0.982300,0.004200,93.076900,707.934200,0.965200,0.004500,93.103300,708.955300,1.047900,0.005000,93.137800,709.322200,1.655200,
"SPHINCS+-SHA256-128s-simple",0.005200,49.839500,378.096500,0.535600,0.003900,49.770400,378.073000,0.524700,0.003900,49.809900,378.306800,0.529200,0.004400,49.806700,377.925500,0.544700,0.003900,49.812700,378.232500,0.538300,0.003900,49.777300,377.877400,0.547300,0.004100,49.833900,378.177900,0.586800,0.004500,49.841700,379.200200,1.199100,
"SPHINCS+-SHA256-192f-robust",0.003800,2.178300,60.260100,4.398800,0.002500,2.168500,60.152100,4.364100,0.002400,2.169500,60.181000,4.378500,0.002000,2.195200,60.253300,4.375300,0.002300,2.165400,60.170200,4.362800,0.002000,2.168600,60.133200,4.413200,0.002200,2.173200,60.310000,4.505600,0.003000,2.170900,61.331600,5.001600,
