Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002300,0.154700,0.366200,0.085700,0.002000,0.151100,0.367300,0.085200,0.001400,0.116800,0.211900,0.055800,0.001000,0.108000,0.185000,0.053100,0.000800,0.109400,0.239600,0.058000,0.000700,0.108500,0.220900,0.103100,0.000900,0.108700,0.791500,0.556500,0.001200,0.112600,5.191500,5.082200,
"Dilithium3",0.001100,0.149900,0.373800,0.087800,0.001300,0.147700,0.248100,0.088700,0.001200,0.146600,0.346400,0.088000,0.000800,0.146000,0.274300,0.088700,0.000900,0.146600,0.351000,0.092400,0.001100,0.146800,0.334400,0.138400,0.002300,0.146700,0.809500,0.591600,0.001400,0.152700,5.286600,5.119800,
"Dilithium5",0.001500,0.199600,0.364600,0.139300,0.001200,0.197000,0.295000,0.139600,0.001400,0.197600,0.311800,0.142800,0.001400,0.196800,0.299700,0.139000,0.001300,0.197300,0.374000,0.145400,0.001000,0.200700,0.379700,0.189500,0.000900,0.199000,0.828400,0.644800,0.001200,0.204900,5.367900,5.160200,
"Falcon-512",0.001900,8.939800,0.412800,0.054200,0.001300,11.041000,0.413600,0.055200,0.001000,8.930400,0.410800,0.054000,0.001100,7.296100,0.412200,0.054800,0.001000,7.294300,0.418900,0.059200,0.001000,9.378800,0.462700,0.104400,0.001200,7.131600,0.917400,0.559000,0.001700,6.818700,5.437800,5.075200,
"Falcon-1024",0.001500,19.793900,0.714000,0.104900,0.001400,24.116100,0.710800,0.106500,0.001400,26.806800,0.712700,0.104700,0.001400,20.843900,0.717200,0.106500,0.001100,21.330600,0.716500,0.111000,0.001700,22.854100,0.760600,0.155300,0.001400,22.713600,1.219200,0.608300,0.001300,21.939200,5.737900,5.128200,
"SPHINCS+-Haraka-128f-robust",0.001800,0.361600,7.664700,0.453600,0.001400,0.364200,7.670700,0.450300,0.001500,0.363000,7.672500,0.452400,0.001300,0.364500,7.682700,0.447600,0.001500,0.363500,7.677700,0.454800,0.001400,0.362100,7.698100,0.464400,0.001500,0.362200,7.940800,0.585200,0.001600,0.362400,10.395700,1.826000,
"SPHINCS+-Haraka-128f-simple",0.001800,0.327800,6.672200,0.333500,0.001600,0.328300,6.675500,0.335000,0.001700,0.328900,6.683000,0.335300,0.001300,0.325700,6.682100,0.334900,0.001400,0.329100,6.683300,0.337500,0.001200,0.326300,6.707500,0.346200,0.001500,0.328200,6.945600,0.469800,0.002400,0.332000,9.427800,1.719200,
"SPHINCS+-Haraka-128s-robust",0.003300,19.215700,151.618600,0.170300,0.003200,19.236900,151.619300,0.169400,0.002600,19.205800,151.632900,0.169400,0.002300,19.212500,151.626000,0.171500,0.002800,19.206700,151.578200,0.172800,0.002400,19.206500,151.629300,0.189800,0.002200,19.216400,151.891300,0.306000,0.002900,19.208100,154.330300,1.557900,
"SPHINCS+-Haraka-128s-simple",0.002600,17.746200,138.047900,0.124100,0.002600,17.756800,138.087900,0.120500,0.002600,17.749300,138.053900,0.123000,0.001800,17.737400,138.058800,0.121000,0.002100,17.741300,138.071300,0.125200,0.001700,17.743000,138.063800,0.136200,0.001700,17.748100,138.345500,0.262200,0.002800,17.743400,140.782200,1.529100,
"SPHINCS+-Haraka-192f-robust",0.002400,0.521300,13.369600,0.726300,0.001600,0.515100,13.357600,0.733800,0.001600,0.515200,13.367000,0.727700,0.001500,0.518000,13.357900,0.731600,0.002000,0.514100,13.362400,0.736400,0.001700,0.516900,13.387700,0.740200,0.001600,0.516700,13.629700,0.868900,0.002100,0.515200,16.088000,2.113200,
"SPHINCS+-Haraka-192f-simple",0.002200,0.438600,10.808700,0.503700,0.002100,0.435800,10.808400,0.498100,0.001600,0.439600,10.803900,0.502600,0.001600,0.437600,10.802500,0.504000,0.001600,0.436900,10.808900,0.506300,0.001700,0.436700,10.825300,0.521300,0.001600,0.437500,11.070200,0.647700,0.002200,0.437000,13.528800,1.883600,
"SPHINCS+-Haraka-192s-robust",0.003500,29.324400,299.039000,0.267100,0.003600,29.208000,298.089000,0.269500,0.003700,29.188900,297.967000,0.268500,0.002600,29.147100,297.879700,0.267100,0.003200,29.251000,297.787400,0.272100,0.002900,29.347800,297.953100,0.283900,0.003400,29.257600,298.137100,0.404600,0.003600,29.284400,300.486500,1.679400,
"SPHINCS+-Haraka-192s-simple",0.003400,22.872000,231.812800,0.185000,0.003100,22.876700,231.816000,0.185400,0.003500,22.878000,231.789800,0.184400,0.003300,22.927100,231.737700,0.187000,0.002500,22.876200,231.787500,0.185700,0.002700,22.882000,231.834000,0.196900,0.002600,22.892800,231.964000,0.324700,0.003800,22.887100,234.474100,1.583900,
