Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.001800,0.154500,0.270100,0.083700,0.001600,0.151100,0.333300,0.084700,0.001600,0.133300,0.251600,0.065800,0.001000,0.109100,0.238800,0.053000,0.000800,0.111000,0.226700,0.057400,0.000900,0.107800,0.264600,0.104100,0.000900,0.112000,0.685300,0.557000,0.001100,0.112900,5.240700,5.080500,
"Dilithium3",0.001000,0.148200,0.254300,0.088500,0.000900,0.147200,0.338000,0.088400,0.001000,0.146200,0.248400,0.087800,0.001200,0.145700,0.332600,0.089700,0.001000,0.147300,0.261600,0.092400,0.000900,0.147700,0.296300,0.138400,0.001000,0.147000,0.868100,0.592600,0.001200,0.151000,5.308200,5.117400,
"Dilithium5",0.001200,0.201000,0.281400,0.139900,0.001400,0.197200,0.296500,0.139100,0.001200,0.198000,0.359600,0.140300,0.001400,0.196400,0.376200,0.138700,0.001500,0.196800,0.402300,0.143600,0.000900,0.201300,0.387200,0.189500,0.001100,0.200700,0.825400,0.644500,0.001100,0.204000,5.367000,5.208600,
"Falcon-512",0.001400,7.913800,0.407200,0.054800,0.001500,9.480700,0.410700,0.055700,0.001200,7.841200,0.408700,0.055200,0.001100,8.514300,0.409200,0.055700,0.001100,7.219000,0.414700,0.060100,0.001000,9.848900,0.461200,0.104900,0.001400,8.768500,0.920700,0.560000,0.001500,7.851000,5.439700,5.081000,
"Falcon-1024",0.001200,22.010200,0.716900,0.106500,0.001600,22.874400,0.712700,0.105700,0.001400,24.735100,0.709500,0.106700,0.001600,20.729800,0.716000,0.106200,0.001400,21.669400,0.715300,0.112900,0.001200,23.845400,0.761300,0.156900,0.001600,25.606000,1.218400,0.609200,0.001500,23.484300,5.770400,5.132300,
"SPHINCS+-Haraka-128f-robust",0.001900,0.365000,7.671700,0.450100,0.001600,0.363300,7.677300,0.452900,0.001600,0.363400,7.679900,0.453000,0.001500,0.367200,7.691000,0.449400,0.001400,0.364000,7.690300,0.451200,0.001500,0.364300,7.715500,0.461000,0.001600,0.363400,7.943800,0.586500,0.001500,0.361500,10.397800,1.829400,
"SPHINCS+-Haraka-128f-simple",0.001900,0.330900,6.680100,0.332200,0.001700,0.325600,6.681200,0.334000,0.001500,0.326100,6.681300,0.331200,0.001700,0.326300,6.686300,0.332500,0.001800,0.328600,6.678000,0.339900,0.001500,0.326100,6.709200,0.348300,0.001400,0.326000,6.954500,0.470100,0.002400,0.328500,9.410400,1.706700,
"SPHINCS+-Haraka-128s-robust",0.003200,19.218100,151.672400,0.167300,0.003100,19.238000,151.713400,0.169800,0.002700,19.224600,151.682900,0.171200,0.002600,19.217700,151.622500,0.176600,0.001900,19.209600,151.619000,0.171900,0.002300,19.215100,151.721700,0.186000,0.002900,19.225700,152.052000,0.313300,0.002900,19.229800,154.353800,1.562900,
"SPHINCS+-Haraka-128s-simple",0.003100,17.756700,138.139700,0.120700,0.002400,17.743200,138.092400,0.123000,0.002300,17.751000,138.161400,0.123500,0.002500,17.759800,138.142700,0.123400,0.002200,17.772600,138.099900,0.124000,0.002500,17.776000,138.161200,0.139000,0.002000,17.760700,138.455500,0.261300,0.002900,17.774400,140.891500,1.518800,
"SPHINCS+-Haraka-192f-robust",0.002200,0.517300,13.363300,0.725400,0.001900,0.515100,13.356200,0.732700,0.002100,0.516600,13.379300,0.723000,0.001700,0.515900,13.361000,0.734300,0.001900,0.515600,13.388000,0.724300,0.001700,0.520600,13.402900,0.743200,0.001900,0.518900,13.630100,0.868400,0.001800,0.518200,16.083600,2.102400,
"SPHINCS+-Haraka-192f-simple",0.002000,0.438700,10.804600,0.507200,0.001900,0.436400,10.808100,0.502700,0.001900,0.436900,10.817300,0.502600,0.001700,0.436900,10.810500,0.501800,0.001700,0.436200,10.805700,0.510100,0.002200,0.436900,10.857300,0.519000,0.001600,0.437400,11.079100,0.646300,0.002000,0.439000,13.541100,1.882000,
"SPHINCS+-Haraka-192s-robust",0.003500,29.273500,297.988300,0.269200,0.004100,29.192100,298.043800,0.267600,0.004000,29.212200,297.963800,0.269200,0.003000,29.342900,298.199700,0.268000,0.003500,29.296600,298.154500,0.267000,0.003000,29.373500,297.980400,0.282100,0.003600,29.290000,298.293300,0.409200,0.004200,29.237100,300.649300,1.681900,
"SPHINCS+-Haraka-192s-simple",0.003800,22.883500,231.922900,0.185200,0.003200,22.887600,231.773500,0.184500,0.003200,22.883800,231.881900,0.184000,0.003000,22.882600,231.951700,0.185400,0.003000,22.877700,231.827900,0.188300,0.002400,22.883400,231.847900,0.197800,0.003000,22.887900,232.092800,0.327200,0.003300,22.881700,234.476500,1.572400,
"SPHINCS+-Haraka-256f-robust",0.002300,1.143700,24.117800,0.700600,0.001600,1.143300,24.101500,0.705000,0.001500,1.139500,24.108800,0.701300,0.001700,1.134100,24.118100,0.709100,0.002000,1.137300,24.130000,0.705500,0.001600,1.136100,24.160900,0.726400,0.001700,1.139500,24.399100,0.846400,0.002200,1.139900,26.844900,2.083100,
"SPHINCS+-Haraka-256f-simple",0.002400,1.011900,20.660000,0.498700,0.001900,1.006200,20.645200,0.503600,0.001800,1.006200,20.640100,0.500900,0.001600,1.008900,20.649100,0.500200,0.001700,1.008300,20.652500,0.502200,0.001700,1.007800,20.680000,0.517900,0.001600,1.006900,20.927700,0.640900,0.001900,1.008900,23.374800,1.882400,
"SPHINCS+-Haraka-256s-robust",0.004300,17.023000,247.548300,0.372900,0.003100,17.018200,247.491400,0.369200,0.004000,17.017500,247.604300,0.368800,0.002900,17.012800,247.429100,0.368000,0.002900,17.017500,247.405300,0.371200,0.002900,17.050400,247.657700,0.381700,0.003200,17.019500,247.793500,0.507800,0.003700,17.019000,250.171500,1.771300,
