Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002400,0.156100,0.278200,0.087500,0.001700,0.153600,0.294800,0.085700,0.001500,0.133800,0.232000,0.067300,0.001000,0.108900,0.187600,0.052300,0.000900,0.108500,0.184800,0.059400,0.000900,0.111100,0.228400,0.103800,0.001000,0.108500,0.693700,0.556600,0.001400,0.112100,5.253300,5.088500,
"Dilithium3",0.001400,0.149500,0.330600,0.087900,0.001000,0.146100,0.258000,0.087800,0.000700,0.147000,0.250900,0.089600,0.001200,0.146800,0.324700,0.089600,0.000900,0.146300,0.273200,0.092900,0.001100,0.149300,0.354900,0.138900,0.000800,0.148500,0.737600,0.594100,0.001400,0.153000,5.353400,5.130100,
"Dilithium5",0.001400,0.199700,0.294100,0.141800,0.001400,0.198900,0.361700,0.139600,0.001400,0.199600,0.372500,0.138500,0.001400,0.198100,0.303900,0.139600,0.000900,0.199000,0.468600,0.145200,0.001100,0.198600,0.462200,0.192000,0.000900,0.200400,0.849600,0.644800,0.001200,0.203200,5.408200,5.182500,
"Falcon-512",0.001300,9.463900,0.413200,0.054500,0.001000,7.915700,0.410800,0.054500,0.001100,7.801700,0.409900,0.056500,0.001000,9.347500,0.411500,0.055200,0.001200,9.543600,0.412000,0.061400,0.001600,10.232900,0.462300,0.104500,0.001800,7.222500,0.913200,0.559200,0.001800,6.930400,5.458400,5.096200,
"Falcon-1024",0.001200,21.230200,0.712100,0.105800,0.001400,24.438600,0.711300,0.105700,0.001400,21.317300,0.710100,0.106300,0.001400,20.761800,0.716000,0.106500,0.001200,20.656400,0.717600,0.110100,0.001600,21.053200,0.761600,0.158000,0.001400,21.122800,1.213700,0.610300,0.002000,21.337200,5.752100,5.130600,
"SPHINCS+-Haraka-128f-robust",0.002400,0.367400,7.675100,0.458000,0.001500,0.364500,7.679900,0.456700,0.001600,0.361900,7.691800,0.452100,0.001900,0.362800,7.670300,0.453800,0.001500,0.363500,7.685100,0.454900,0.001400,0.362500,7.712900,0.469500,0.001700,0.362300,7.954500,0.586200,0.001800,0.363600,10.432200,1.823500,
"SPHINCS+-Haraka-128f-simple",0.001900,0.327600,6.689400,0.333300,0.002000,0.329400,6.712100,0.333300,0.001600,0.328400,6.693400,0.335900,0.001900,0.330000,6.728700,0.334600,0.001700,0.329700,6.694200,0.334000,0.001500,0.328000,6.721300,0.350300,0.001700,0.329000,6.956700,0.470800,0.001700,0.332800,9.439400,1.706800,
"SPHINCS+-Haraka-128s-robust",0.003500,19.240200,151.890900,0.169000,0.002700,19.229600,151.681700,0.168100,0.003300,19.221300,151.757300,0.171900,0.002700,19.240500,151.728300,0.173100,0.002700,19.225600,151.704200,0.176200,0.002700,19.227800,151.766300,0.189100,0.002800,19.224400,152.107200,0.311100,0.003100,19.236800,154.548600,1.575600,
"SPHINCS+-Haraka-128s-simple",0.003400,17.756700,138.250100,0.121700,0.002600,17.758100,138.184200,0.123000,0.002100,17.766600,138.199500,0.123700,0.002100,17.770100,138.283000,0.123600,0.002500,17.787700,138.282100,0.125400,0.002800,17.838800,138.323600,0.135900,0.002700,17.754300,138.419500,0.261500,0.002800,17.761100,140.943100,1.505500,
"SPHINCS+-Haraka-192f-robust",0.002100,0.518900,13.383200,0.725000,0.002500,0.516300,13.400700,0.736900,0.002100,0.516900,13.408200,0.727800,0.001800,0.514300,13.415800,0.735100,0.002000,0.517000,13.427400,0.741400,0.001900,0.520500,13.400800,0.747400,0.001700,0.518000,13.652000,0.867300,0.001900,0.517000,16.128300,2.116500,
