Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.002200,0.153900,0.281300,0.087100,0.001700,0.147500,0.263500,0.083500,0.001300,0.128400,0.262300,0.064600,0.001000,0.108300,0.150100,0.053800,0.000500,0.109900,0.217600,0.057300,0.000700,0.108700,0.264600,0.103400,0.000800,0.109700,0.720300,0.558300,0.001000,0.113600,5.226000,5.086800,
"Dilithium3",0.001500,0.152900,0.226300,0.090600,0.001100,0.147400,0.295600,0.089100,0.001200,0.146800,0.284300,0.090000,0.001000,0.145100,0.255100,0.089800,0.001100,0.145400,0.255600,0.095400,0.000800,0.145200,0.363500,0.140700,0.001100,0.145900,0.718300,0.593000,0.001400,0.151600,5.417500,5.133700,
"Dilithium5",0.001700,0.197900,0.356000,0.140200,0.001400,0.198800,0.294500,0.139800,0.001400,0.198400,0.281500,0.140500,0.001600,0.197600,0.292500,0.138700,0.000800,0.197700,0.369300,0.146000,0.001100,0.197900,0.342800,0.190700,0.001100,0.199600,0.889200,0.646700,0.001300,0.200500,5.370800,5.165300,
"Falcon-512",0.001100,8.370600,0.412200,0.054200,0.001300,8.990800,0.412300,0.056800,0.001300,9.104500,0.409800,0.055300,0.001100,10.589500,0.410300,0.057500,0.001000,7.849900,0.411900,0.060400,0.001500,9.962600,0.462300,0.104800,0.001800,8.401800,0.923100,0.555700,0.002000,7.530900,5.460100,5.120800,
"Falcon-1024",0.001500,22.801400,0.712500,0.107700,0.001400,21.347100,0.710700,0.106100,0.001100,20.038000,0.710300,0.105200,0.001400,22.238300,0.720600,0.116800,0.001200,21.262800,0.718100,0.110500,0.001300,20.203600,0.763000,0.156400,0.001800,21.744200,1.215400,0.607500,0.002200,20.428500,5.782700,5.131000,
"SPHINCS+-Haraka-128f-robust",0.002300,0.365200,7.681100,0.452800,0.001600,0.365700,7.680100,0.453100,0.001300,0.363000,7.688900,0.446200,0.001700,0.364000,7.671600,0.458700,0.001600,0.364100,7.683600,0.451100,0.001400,0.363200,7.708800,0.466400,0.001700,0.360800,7.939400,0.596100,0.001700,0.365800,10.418600,1.825400,
"SPHINCS+-Haraka-128f-simple",0.001800,0.327900,6.683600,0.333600,0.001500,0.325400,6.692100,0.330900,0.002000,0.329500,6.703100,0.336400,0.001600,0.326600,6.745000,0.331900,0.001700,0.325800,6.634500,0.331700,0.001300,0.323700,6.656300,0.346200,0.002200,0.324600,6.903300,0.469300,0.001900,0.329700,9.373500,1.710800,
"SPHINCS+-Haraka-128s-robust",0.002700,19.076100,150.767000,0.172400,0.002800,19.221700,151.760600,0.171900,0.002600,19.207700,151.720400,0.173000,0.002500,19.216800,151.718600,0.171000,0.002700,19.258600,151.803100,0.176900,0.002500,19.217200,151.785200,0.184500,0.002300,19.202800,151.445600,0.310400,0.002500,19.217000,154.451800,1.562400,
"SPHINCS+-Haraka-128s-simple",0.002600,17.752600,138.125100,0.121700,0.002200,17.760400,138.119700,0.121600,0.002100,17.722100,137.553400,0.122900,0.001900,17.688000,137.751500,0.121400,0.001800,17.741000,138.092000,0.121200,0.002100,17.747000,138.169100,0.134500,0.001900,17.763100,138.444600,0.260600,0.002600,17.759700,140.877800,1.507600,
"SPHINCS+-Haraka-192f-robust",0.002300,0.517500,13.373100,0.730900,0.001900,0.515500,13.369300,0.732700,0.001800,0.515900,13.377300,0.730500,0.001400,0.516800,13.359300,0.726200,0.002000,0.513600,13.374600,0.729000,0.001700,0.516800,13.393900,0.745800,0.001600,0.518600,13.649000,0.861700,0.001900,0.516700,16.124700,2.107800,
