Algorithm,Operation,Opcode Histogram,
BASELINE MEASUREMENT (NO CODE),N/A,"{'nop': 1}",
Dilithium 2,Key generation,"{'vmovdqa': 592848, 'mov': 145108, 'nop': 51513, 'vpxor': 50119, 'add': 36767, 'vmovd': 31821, 'movl': 31500, 'vpor': 17729, 'vpsrlq': 17152, 'vpandn': 16248, 'vpsllq': 15552, 'shl': 15129, 'lea': 13091, 'vpblendd': 11472, 'movzbl': 10574, 'vpmuldq': 8064, 'vmovaps': 7968, 'sub': 5915, 'cmpl': 5482, 'vpermq': 4496, 'or': 4432, 'vmovshdup': 3600, 'ja': 3486, 'vpsubd': 3328, 'push': 3253, 'incl': 3120, 'callq': 2868, 'retq': 2868, 'shr': 2787, 'pop': 2779, 'endbr64': 2577, 'jne': 2557, 'cmp': 2458, 'vpaddd': 2176, 'addq': 2093, 'subl': 2087, 'vpshufb': 1920, 'jbe': 1895, 'vpsllvq': 1584, 'vpsrlvq': 1584, 'vmovdqu': 1533, 'orq': 1468, 'je': 1384, 'vpaddq': 1296, 'sar': 1052, 'test': 1039, 'inc': 1024, 'and': 892, 'vmovq': 779, 'addl': 772, 'vpinsrq': 768, 'popcnt': 768, 'vperm2i128': 768, 'vpand': 704, 'xor': 693, 'vpbroadcastq': 587, 'movb': 528, 'movsbl': 512, 'vpinsrb': 512, 'vmovmskps': 512, 'vpmovzxbd': 512, 'vpermd': 512, 'vpunpcklqdq': 448, 'leaveq': 394, 'vpsrldq': 392, 'vpunpckhqdq': 384, 'vmovsldup': 384, 'jae': 323, 'movabs': 322, 'jmpq': 318, 'vpbroadcastd': 312, 'vpshufd': 264, 'dec': 264, 'vpunpcklwd': 256, 'vpmovsxbd': 256, 'vpmulhrsw': 256, 'vpmullw': 256, 'vpsubq': 256, 'shrl': 192, 'movq': 183, 'movzwl': 153, 'jb': 144, 'pushq': 137, 'testb': 134, 'imul': 129, 'vpunpckldq': 128, 'vpsubb': 128, 'vblendvps': 128, 'vpsrld': 128, 'cmpq': 93, 'vpmovmskb': 65, 'vmovups': 64, 'vpmovzxbw': 64, 'vpsllw': 64, 'vextracti128': 64, 'movdqa': 60, 'pcmpeqb': 52, 'nopw': 43, 'pxor': 42, 'jmp': 42, 'vzeroupper': 39, 'vinserti128': 32, 'movaps': 26, 'psubb': 26, 'pmovmskb': 26, 'div': 25, 'js': 24, 'sete': 21, 'bnd': 20, 'pslldq': 19, 'movups': 19, 'neg': 19, 'data16': 18, 'xchg': 17, 'cmove': 16, 'bsf': 16, 'punpcklqdq': 14, 'xsavec': 13, 'not': 13, 'cmpw': 13, 'xrstor': 13, 'vpbroadcastb': 13, 'movslq': 11, 'notrack': 11, 'jg': 11, 'cmova': 11, 'cmovne': 11, 'setne': 10, 'psrldq': 9, 'por': 9, 'movlpd': 8, 'movhpd': 8, 'cmovbe': 8, 'cmpxchg': 6, 'jl': 5, 'jle': 5, 'syscall': 5, 'ror': 4, 'vpcmpeqb': 2, 'movhps': 2, 'testl': 2, 'andl': 2, 'orl': 1, 'tzcnt': 1, 'movdqu': 1, 'jns': 1, 'nopl': 1}",
Dilithium 2,Signing,"{'vmovdqa': 1277311, 'mov': 296886, 'vpxor': 105787, 'nop': 100485, 'vpmuldq': 94560, 'add': 71329, 'vmovd': 61551, 'movl': 61328, 'vpblendd': 56896, 'vmovshdup': 39707, 'vpsrlq': 39293, 'shl': 39274, 'vpsubd': 38688, 'vpor': 38569, 'vpandn': 33888, 'vpsllq': 29160, 'lea': 26705, 'vpaddd': 20448, 'movzbl': 19917, 'vpermq': 19176, 'vmovaps': 17956, 'cmpl': 13388, 'incl': 10821, 'sub': 10014, 'jbe': 8422, 'vpsllvq': 5904, 'vpsrlvq': 5904, 'vpaddq': 5808, 'shr': 5442, 'push': 5409, 'callq': 5347, 'retq': 5347, 'cmp': 5139, 'ja': 5063, 'endbr64': 4670, 'or': 4501, 'and': 4368, 'pop': 4363, 'jne': 4329, 'vpsubq': 3776, 'addq': 3616, 'subl': 3611, 'vperm2i128': 3584, 'vpshufb': 3472, 'vpbroadcastd': 3360, 'vmovdqu': 3221, 'orq': 2766, 'inc': 2191, 'vpcmpgtd': 2176, 'vpunpcklqdq': 2064, 'vpmulld': 1888, 'movb': 1792, 'vpand': 1792, 'vpunpckhqdq': 1792, 'vmovsldup': 1792, 'vpabsd': 1536, 'je': 1520, 'xor': 1281, 'vblendvps': 1280, 'vpsrad': 1248, 'vpbroadcastq': 1121, 'dec': 1028, 'leaveq': 1023, 'vpshufd': 984, 'vpsrldq': 984, 'jae': 915, 'vpinsrb': 896, 'movabs': 888, 'jb': 860, 'vpermd': 832, 'vmovmskps': 800, 'popcnt': 800, 'test': 695, 'jmpq': 672, 'vpsrld': 660, 'vpsrlvd': 640, 'vpmulhuw': 640, 'vpmulhrsw': 640, 'movzwl': 559, 'vmovq': 553, 'addl': 516, 'vpinsrq': 512, 'vpmovzxbd': 512, 'vpunpcklwd': 448, 'movswl': 320, 'vpackusdw': 320, 'vpunpckldq': 304, 'imul': 293, 'vpcmpeqd': 288, 'vpsignd': 288, 'vpinsrd': 240, 'movq': 175, 'vpinsrw': 160, 'vpackuswb': 160, 'vpmaddubsw': 160, 'vpmaddwd': 160, 'vinserti128': 136, 'vzeroupper': 115, 'jmp': 63, 'data16': 63, 'nopw': 58, 'xchg': 54, 'cmpq': 46, 'neg': 44, 'jle': 44, 'sete': 44, 'pushq': 40, 'vptest': 39, 'js': 37, 'div': 27, 'vpbroadcastb': 27, 'movups': 21, 'testb': 20, 'movw': 20, 'cmova': 17, 'setne': 17, 'cmovbe': 15, 'bnd': 8, 'cmovne': 7, 'cmpxchg': 6, 'sar': 5, 'syscall': 5, 'andl': 5, 'pxor': 4, 'ror': 4, 'jg': 3, 'movhps': 3, 'punpcklqdq': 3, 'vpcmpeqb': 2, 'cltq': 2, 'testl': 2, 'cmove': 2, 'movaps': 2, 'orl': 1, 'movslq': 1, 'notrack': 1, 'vpmovmskb': 1, 'tzcnt': 1, 'andq': 1, 'movdqu': 1, 'xsavec': 1, 'not': 1, 'jl': 1, 'cmpw': 1, 'xrstor': 1}",
Dilithium 2,Verifying,"{'vmovdqa': 518837, 'mov': 77596, 'vpxor': 47440, 'nop': 43782, 'vmovd': 26913, 'movl': 26742, 'vpblendd': 19568, 'add': 18143, 'vpor': 16608, 'vpsrlq': 15416, 'vpandn': 15192, 'vpsllq': 12960, 'vpmuldq': 12672, 'vmovaps': 9652, 'movzbl': 7472, 'shl': 7452, 'vpermq': 7312, 'lea': 7280, 'vmovshdup': 5792, 'vpsubd': 5376, 'cmpl': 4649, 'vpaddd': 3328, 'incl': 3087, 'vpsllvq': 2736, 'vpsrlvq': 2736, 'ja': 2626, 'callq': 2379, 'retq': 2379, 'push': 2375, 'sub': 2235, 'cmp': 2136, 'endbr64': 2109, 'jbe': 2053, 'pop': 2028, 'jne': 1915, 'subl': 1744, 'addq': 1744, 'vpaddq': 1680, 'vpshufb': 1632, 'or': 1537, 'vmovdqu': 1520, 'and': 1493, 'orq': 1229, 'shr': 1035, 'vperm2i128': 928, 'movb': 768, 'vpand': 768, 'je': 716, 'vblendvps': 640, 'inc': 618, 'vpermd': 576, 'vpunpcklqdq': 544, 'vmovq': 531, 'xor': 526, 'addl': 512, 'vmovmskps': 512, 'vpinsrq': 512, 'vpmovzxbd': 512, 'popcnt': 512, 'vpsubq': 512, 'dec': 505, 'vpbroadcastq': 499, 'vpbroadcastd': 488, 'vpunpckhqdq': 464, 'vmovsldup': 464, 'vpshufd': 456, 'vpsrldq': 456, 'jae': 422, 'vpinsrb': 384, 'leaveq': 346, 'test': 287, 'movabs': 268, 'vpslld': 256, 'vpmulld': 256, 'vpcmpgtd': 256, 'jb': 218, 'jmpq': 200, 'vpunpcklwd': 192, 'movzwl': 152, 'vpsrld': 132, 'vpsrlvd': 128, 'vpsrad': 128, 'vpmulhuw': 128, 'vpmulhrsw': 128, 'vpunpckldq': 112, 'movq': 65, 'movswl': 64, 'vpackusdw': 64, 'vzeroupper': 51, 'vpinsrd': 48, 'cltq': 48, 'vinserti128': 40, 'vpinsrw': 32, 'vpackuswb': 32, 'vpmaddubsw': 32, 'vpmaddwd': 32, 'nopw': 27, 'data16': 27, 'neg': 22, 'pushq': 20, 'cmpq': 18, 'js': 16, 'xchg': 16, 'div': 14, 'jmp': 14, 'vpbroadcastb': 13, 'cmovbe': 8, 'cmova': 8, 'setne': 8, 'andl': 8, 'movw': 4, 'testb': 3, 'cmovne': 2, 'bnd': 1, 'sete': 1}",
Dilithium 3,Key generation,"{'vmovdqa': 1125028, 'mov': 238870, 'nop': 99030, 'vpxor': 93129, 'vmovd': 61088, 'movl': 60250, 'add': 57616, 'vpor': 33050, 'vpsrlq': 32428, 'vpandn': 30288, 'vpsllq': 29808, 'lea': 21943, 'shl': 19569, 'vmovaps': 17271, 'vpblendd': 16704, 'movzbl': 14074, 'vpmuldq': 11712, 'cmpl': 10890, 'sub': 8930, 'vpermq': 6832, 'incl': 6574, 'ja': 6507, 'push': 5633, 'or': 5598, 'callq': 5239, 'retq': 5239, 'vmovshdup': 5180, 'vpsubd': 4992, 'pop': 4884, 'endbr64': 4744, 'cmp': 4309, 'jne': 4207, 'jbe': 4133, 'addq': 4009, 'subl': 3999, 'vpshufb': 3890, 'shr': 3129, 'vmovdqu': 3105, 'orq': 2811, 'vpaddd': 2624, 'vpaddq': 2304, 'vpsllvq': 2304, 'vpsrlvq': 2304, 'je': 1974, 'vmovq': 1698, 'addl': 1686, 'vpinsrq': 1682, 'popcnt': 1682, 'sar': 1568, 'vpand': 1385, 'vperm2i128': 1312, 'test': 1237, 'and': 1218, 'inc': 1184, 'movsbl': 1152, 'vpbroadcastq': 1120, 'vpinsrb': 1088, 'movb': 1060, 'xor': 1034, 'vmovmskps': 1024, 'vpmovzxbd': 1024, 'vpermd': 1024, 'vpunpcklqdq': 792, 'vpsrldq': 709, 'leaveq': 669, 'vpmovsxbd': 658, 'vpunpckhqdq': 656, 'vmovsldup': 656, 'movabs': 613, 'vpunpcklwd': 544, 'shrl': 497, 'jae': 468, 'jmpq': 434, 'vpbroadcastd': 428, 'vpshufd': 384, 'dec': 384, 'vpsubq': 384, 'vpsubb': 338, 'vpunpckldq': 272, 'movq': 251, 'movzwl': 243, 'jb': 226, 'vblendvps': 192, 'vpsrld': 192, 'vpmovmskb': 170, 'vmovups': 169, 'vpmovzxbw': 169, 'vpsllw': 169, 'vextracti128': 164, 'pushq': 160, 'testb': 150, 'cmpq': 103, 'vinserti128': 68, 'movdqa': 60, 'vzeroupper': 59, 'nopw': 53, 'jmp': 53, 'pcmpeqb': 52, 'pxor': 42, 'js': 34, 'div': 30, 'neg': 29, 'movups': 28, 'movaps': 26, 'psubb': 26, 'pmovmskb': 26, 'punpcklqdq': 23, 'vpbroadcastb': 23, 'data16': 23, 'sete': 21, 'bnd': 20, 'pslldq': 19, 'setne': 19, 'notrack': 17, 'xchg': 17, 'cmove': 16, 'bsf': 16, 'cmova': 16, 'cmovne': 16, 'jg': 15, 'cltq': 14, 'xsavec': 13, 'not': 13, 'cmpw': 13, 'xrstor': 13, 'cmovbe': 13, 'movslq': 11, 'psrldq': 9, 'por': 9, 'movlpd': 8, 'movhpd': 8, 'imul': 7, 'cmpxchg': 6, 'andl': 6, 'jl': 5, 'jle': 5, 'syscall': 5, 'ror': 4, 'andq': 4, 'vpcmpeqb': 2, 'movhps': 2, 'testl': 2, 'orl': 1, 'tzcnt': 1, 'movdqu': 1, 'jns': 1, 'nopl': 1}",
Dilithium 3,Signing,"{'vmovdqa': 1334412, 'mov': 331724, 'nop': 109062, 'vpxor': 106801, 'add': 74548, 'vpmuldq': 68640, 'vmovd': 67109, 'movl': 66624, 'vpsrlq': 40047, 'vpblendd': 39872, 'vpor': 38801, 'shl': 35142, 'vpandn': 34536, 'lea': 34158, 'vpsllq': 32400, 'vmovshdup': 29121, 'vpsubd': 27840, 'movzbl': 22197, 'vpaddd': 14976, 'cmpl': 14556, 'vpermq': 13416, 'vmovaps': 11414, 'sub': 11202, 'incl': 11002, 'jbe': 8350, 'ja': 6111, 'shr': 5974, 'push': 5916, 'callq': 5867, 'retq': 5867, 'endbr64': 5257, 'cmp': 5182, 'pop': 4956, 'or': 4430, 'vpaddq': 4368, 'jne': 4364, 'addq': 4249, 'subl': 4239, 'and': 4088, 'vpsllvq': 3888, 'vpsrlvq': 3888, 'vpshufb': 3792, 'vmovdqu': 3269, 'vperm2i128': 3200, 'orq': 3067, 'vpsubq': 2624, 'vpbroadcastd': 2460, 'vpand': 2112, 'vpunpcklqdq': 1732, 'movb': 1728, 'je': 1669, 'inc': 1668, 'vpunpckhqdq': 1600, 'vmovsldup': 1600, 'vpcmpgtd': 1600, 'vmovmskps': 1312, 'popcnt': 1312, 'vpmulld': 1312, 'vpbroadcastq': 1237, 'vpabsd': 1216, 'vmovq': 1051, 'addl': 1028, 'vpinsrq': 1024, 'vpmovzxbd': 1024, 'vpermd': 1024, 'movabs': 963, 'xor': 954, 'leaveq': 946, 'vpsrad': 928, 'vpinsrb': 864, 'test': 762, 'jae': 703, 'dec': 686, 'vpshufd': 648, 'vpsrldq': 648, 'jb': 643, 'jmpq': 591, 'vpunpcklwd': 432, 'movzwl': 427, 'vpsrld': 396, 'vblendvps': 384, 'vpmulhuw': 384, 'vpmulhrsw': 384, 'vpsrlvd': 320, 'imul': 295, 'vpcmpeqd': 288, 'vpsignd': 288, 'vpunpckldq': 264, 'movq': 206, 'movswl': 192, 'vpackusdw': 192, 'vpackuswb': 144, 'vpinsrw': 96, 'vpmaddubsw': 96, 'vzeroupper': 82, 'vinserti128': 66, 'pushq': 54, 'cmpq': 46, 'xchg': 46, 'nopw': 42, 'movups': 42, 'testb': 42, 'data16': 41, 'jmp': 37, 'js': 37, 'jle': 34, 'sete': 34, 'neg': 33, 'vptest': 29, 'setne': 26, 'vpbroadcastb': 25, 'punpcklqdq': 25, 'cmovne': 18, 'cltq': 18, 'cmova': 17, 'div': 16, 'cmovbe': 15, 'sar': 13, 'movw': 12, 'jg': 11, 'andl': 11, 'bnd': 8, 'andq': 8, 'cmpxchg': 6, 'syscall': 5, 'pxor': 4, 'ror': 4, 'movhps': 4, 'vpcmpeqb': 2, 'testl': 2, 'cmove': 2, 'paddq': 2, 'movaps': 2, 'orl': 1, 'movslq': 1, 'notrack': 1, 'vpmovmskb': 1, 'tzcnt': 1, 'movdqu': 1, 'xsavec': 1, 'not': 1, 'jl': 1, 'cmpw': 1, 'xrstor': 1}",
Dilithium 3,Verifying,"{'vmovdqa': 1011224, 'mov': 138299, 'vpxor': 86800, 'nop': 85962, 'vmovd': 53373, 'movl': 52921, 'vpor': 30528, 'add': 30344, 'vpsrlq': 29610, 'vpandn': 28032, 'vpsllq': 25920, 'vpblendd': 25440, 'vpmuldq': 18240, 'lea': 13364, 'shl': 11749, 'movzbl': 11610, 'vmovaps': 10187, 'vpermq': 9704, 'cmpl': 8449, 'vmovshdup': 8262, 'vpsubd': 7712, 'incl': 5355, 'ja': 5170, 'vpaddd': 4608, 'callq': 4560, 'retq': 4560, 'push': 4531, 'endbr64': 4115, 'cmp': 4019, 'sub': 4008, 'pop': 3926, 'jne': 3500, 'addq': 3499, 'subl': 3488, 'vpsllvq': 3456, 'vpsrlvq': 3456, 'jbe': 3223, 'vpshufb': 3128, 'vmovdqu': 2712, 'vpaddq': 2688, 'or': 2552, 'orq': 2444, 'and': 2340, 'vpand': 1760, 'shr': 1639, 'vperm2i128': 1536, 'movb': 1376, 'je': 1311, 'vmovq': 1048, 'addl': 1024, 'vmovmskps': 1024, 'vpinsrq': 1024, 'vpmovzxbd': 1024, 'vpermd': 1024, 'popcnt': 1024, 'vpbroadcastq': 989, 'inc': 930, 'vpunpcklqdq': 866, 'xor': 812, 'vpunpckhqdq': 768, 'vmovsldup': 768, 'vpsubq': 768, 'vpbroadcastd': 692, 'vpinsrb': 688, 'dec': 618, 'leaveq': 604, 'jae': 577, 'vpshufd': 576, 'vpsrldq': 576, 'movabs': 537, 'test': 488, 'vpslld': 384, 'vpmulld': 384, 'vblendvps': 384, 'vpunpcklwd': 344, 'jb': 330, 'jmpq': 319, 'movzwl': 260, 'vpsrld': 198, 'vpunpckldq': 196, 'vpsrad': 192, 'vpmulhuw': 192, 'vpmulhrsw': 192, 'vpcmpgtd': 192, 'vpsrlvd': 160, 'movq': 154, 'movswl': 96, 'vpackusdw': 96, 'vpackuswb': 72, 'cltq': 71, 'vzeroupper': 71, 'vinserti128': 49, 'vpinsrw': 48, 'vpmaddubsw': 48, 'pushq': 40, 'testb': 36, 'nopw': 35, 'data16': 32, 'cmpq': 26, 'punpcklqdq': 26, 'movups': 25, 'js': 24, 'setne': 24, 'neg': 24, 'vpbroadcastb': 23, 'xchg': 16, 'jmp': 16, 'andl': 14, 'cmovbe': 12, 'cmova': 12, 'div': 12, 'cmovne': 12, 'sar': 11, 'jg': 11, 'andq': 9, 'notrack': 6, 'movw': 6, 'bnd': 1, 'paddq': 1, 'sete': 1}",
Dilithium 5,Key generation,"{'vmovdqa': 1906439, 'mov': 354496, 'nop': 165861, 'vpxor': 154379, 'vmovd': 102917, 'movl': 101922, 'add': 84009, 'vpsrlq': 54804, 'vpor': 54705, 'vpsllq': 50544, 'vpandn': 50328, 'lea': 33301, 'shl': 31091, 'vpblendd': 22608, 'movzbl': 22427, 'vmovaps': 20424, 'vpmuldq': 16896, 'cmpl': 15766, 'sub': 13746, 'ja': 10670, 'vpermq': 9424, 'or': 9348, 'push': 9137, 'incl': 8822, 'callq': 8762, 'retq': 8762, 'endbr64': 7965, 'pop': 7955, 'vmovshdup': 7556, 'vpsubd': 7168, 'cmp': 7091, 'addq': 6800, 'subl': 6783, 'jne': 6560, 'vpshufb': 6048, 'shr': 5536, 'orq': 4765, 'vmovdqu': 4675, 'jbe': 4571, 'vpaddd': 4096, 'vpaddq': 4080, 'vpsllvq': 3024, 'vpsrlvq': 3024, 'je': 2831, 'vmovq': 2325, 'addl': 2308, 'vpinsrq': 2304, 'popcnt': 2304, 'vperm2i128': 2272, 'vpand': 2176, 'inc': 2112, 'sar': 2087, 'vpbroadcastq': 1893, 'movb': 1824, 'and': 1818, 'vmovmskps': 1792, 'vpmovzxbd': 1792, 'vpermd': 1792, 'test': 1496, 'xor': 1473, 'vpinsrb': 1408, 'vpunpcklqdq': 1312, 'vpunpckhqdq': 1136, 'vmovsldup': 1136, 'leaveq': 1102, 'movabs': 1036, 'movsbl': 1024, 'vpsrldq': 760, 'jae': 707, 'vpunpcklwd': 704, 'jmpq': 664, 'vpbroadcastd': 640, 'vpmovsxbd': 512, 'vpmulhrsw': 512, 'vpmullw': 512, 'vpsubq': 512, 'vpshufd': 504, 'dec': 504, 'shrl': 384, 'movzwl': 369, 'jb': 356, 'vpunpckldq': 352, 'movq': 349, 'vpsubb': 256, 'vblendvps': 256, 'vpsrld': 256, 'imul': 248, 'pushq': 199, 'testb': 178, 'vpmovmskb': 129, 'vmovups': 128, 'vpmovzxbw': 128, 'vpsllw': 128, 'vextracti128': 128, 'cmpq': 117, 'vinserti128': 88, 'vzeroupper': 83, 'nopw': 65, 'movdqa': 60, 'pcmpeqb': 52, 'js': 48, 'neg': 43, 'pxor': 42, 'jmp': 42, 'movups': 42, 'div': 37, 'punpcklqdq': 37, 'vpbroadcastb': 37, 'setne': 33, 'cltq': 30, 'data16': 28, 'movaps': 26, 'psubb': 26, 'pmovmskb': 26, 'cmova': 23, 'cmovne': 23, 'jg': 22, 'sete': 21, 'bnd': 20, 'cmovbe': 20, 'notrack': 19, 'pslldq': 19, 'xchg': 17, 'cmove': 16, 'bsf': 16, 'xsavec': 13, 'not': 13, 'cmpw': 13, 'xrstor': 13, 'andl': 13, 'movslq': 11, 'andq': 11, 'psrldq': 9, 'por': 9, 'movlpd': 8, 'movhpd': 8, 'cmpxchg': 6, 'jl': 5, 'jle': 5, 'syscall': 5, 'ror': 4, 'vpcmpeqb': 2, 'movhps': 2, 'testl': 2, 'orl': 1, 'tzcnt': 1, 'movdqu': 1, 'jns': 1, 'nopl': 1}",
Dilithium 5,Signing,"{'vmovdqa': 3198241, 'mov': 611676, 'nop': 259710, 'vpxor': 248362, 'vpmuldq': 163008, 'vmovd': 161120, 'movl': 159669, 'add': 138356, 'vpsrlq': 98382, 'vpor': 89665, 'vpblendd': 81104, 'vpandn': 80568, 'vpsllq': 77760, 'shl': 71455, 'vmovshdup': 69674, 'vpsubd': 63008, 'lea': 58216, 'movzbl': 40419, 'vpaddd': 33760, 'cmpl': 28886, 'vpermq': 27136, 'vmovaps': 27024, 'incl': 21746, 'sub': 20731, 'vpaddq': 17808, 'jbe': 14979, 'ja': 13705, 'push': 13359, 'callq': 13293, 'retq': 13293, 'cmp': 12272, 'endbr64': 11907, 'pop': 11239, 'shr': 10310, 'jne': 9892, 'addq': 9857, 'subl': 9831, 'or': 9011, 'vpshufb': 8992, 'and': 8532, 'orq': 7354, 'vpsllvq': 7344, 'vpsrlvq': 7344, 'vmovdqu': 7257, 'vperm2i128': 6816, 'vpsubq': 6016, 'vpand': 5632, 'vpbroadcastd': 5548, 'inc': 4559, 'movb': 4352, 'vpunpcklqdq': 3760, 'je': 3522, 'vpunpckhqdq': 3408, 'vmovsldup': 3408, 'vpcmpgtd': 3392, 'vpmulld': 3008, 'vpbroadcastq': 2971, 'xor': 2278, 'vpinsrb': 2176, 'vmovmskps': 2176, 'popcnt': 2176, 'vpabsd': 2112, 'leaveq': 2087, 'movabs': 2014, 'vmovq': 1843, 'addl': 1796, 'vpinsrq': 1792, 'vpmovzxbd': 1792, 'vpermd': 1792, 'vpsrad': 1728, 'jb': 1525, 'test': 1372, 'jae': 1338, 'vpsrld': 1320, 'dec': 1283, 'vpsrlvd': 1280, 'vblendvps': 1280, 'vpmulhuw': 1280, 'vpmulhrsw': 1280, 'vpshufd': 1224, 'vpsrldq': 1224, 'jmpq': 1222, 'movzwl': 1204, 'vpunpcklwd': 1088, 'vpunpckldq': 704, 'movswl': 640, 'vpackusdw': 640, 'vpackuswb': 480, 'imul': 433, 'movq': 416, 'vpcmpeqd': 384, 'vpsignd': 384, 'vpinsrw': 320, 'vpmaddubsw': 320, 'vinserti128': 176, 'vzeroupper': 164, 'pushq': 105, 'testb': 90, 'nopw': 82, 'cmpq': 76, 'jmp': 75, 'data16': 73, 'neg': 71, 'movups': 68, 'js': 67, 'jle': 59, 'sete': 59, 'vpbroadcastb': 56, 'xchg': 54, 'vptest': 54, 'setne': 53, 'punpcklqdq': 49, 'cltq': 44, 'movw': 40, 'div': 39, 'cmova': 32, 'cmovbe': 30, 'sar': 26, 'cmovne': 25, 'jg': 24, 'andq': 19, 'andl': 14, 'bnd': 8, 'cmpxchg': 6, 'syscall': 5, 'movhps': 5, 'pxor': 4, 'ror': 4, 'not': 3, 'vpcmpeqb': 2, 'testl': 2, 'cmove': 2, 'movaps': 2, 'paddq': 1, 'orl': 1, 'movslq': 1, 'notrack': 1, 'vpmovmskb': 1, 'tzcnt': 1, 'movdqu': 1, 'xsavec': 1, 'jl': 1, 'cmpw': 1, 'xrstor': 1}",
Dilithium 5,Verifying,"{'vmovdqa': 1749524, 'mov': 223114, 'nop': 149539, 'vpxor': 145556, 'vmovd': 92989, 'movl': 92189, 'vpor': 51312, 'vpsrlq': 51000, 'vpandn': 47208, 'add': 46782, 'vpsllq': 45360, 'vpblendd': 33616, 'vpmuldq': 25344, 'lea': 21998, 'movzbl': 16594, 'shl': 16486, 'vmovaps': 16085, 'cmpl': 13945, 'vpermq': 13040, 'vmovshdup': 11528, 'vpsubd': 10720, 'ja': 8910, 'incl': 8590, 'callq': 7837, 'retq': 7837, 'push': 7751, 'endbr64': 7115, 'pop': 6766, 'sub': 6664, 'cmp': 6576, 'vpaddd': 6144, 'addq': 6122, 'subl': 6104, 'jne': 5764, 'vpshufb': 5408, 'jbe': 4752, 'vpaddq': 4560, 'vmovdqu': 4522, 'vpsllvq': 4464, 'vpsrlvq': 4464, 'orq': 4276, 'or': 3776, 'and': 3326, 'vpand': 2784, 'vperm2i128': 2560, 'shr': 2335, 'movb': 2272, 'je': 2091, 'vmovq': 1823, 'addl': 1792, 'vmovmskps': 1792, 'vpinsrq': 1792, 'vpmovzxbd': 1792, 'vpermd': 1792, 'popcnt': 1792, 'vpbroadcastq': 1718, 'vpunpcklqdq': 1438, 'inc': 1290, 'vpunpckhqdq': 1280, 'vmovsldup': 1280, 'xor': 1214, 'vpinsrb': 1136, 'vpsubq': 1024, 'leaveq': 984, 'vpbroadcastd': 950, 'movabs': 935, 'jae': 791, 'dec': 775, 'test': 746, 'vpshufd': 744, 'vpsrldq': 744, 'vpunpcklwd': 568, 'vpslld': 512, 'vpmulld': 512, 'vblendvps': 512, 'jmpq': 502, 'jb': 452, 'movzwl': 404, 'vpunpckldq': 316, 'vpsrld': 264, 'vpsrad': 256, 'vpmulhuw': 256, 'vpmulhrsw': 256, 'vpcmpgtd': 256, 'movq': 242, 'vpsrlvd': 224, 'movswl': 128, 'vpackusdw': 128, 'vzeroupper': 99, 'vpackuswb': 96, 'vinserti128': 79, 'cltq': 78, 'pushq': 70, 'testb': 64, 'vpinsrw': 64, 'vpmaddubsw': 64, 'nopw': 48, 'punpcklqdq': 40, 'movups': 39, 'data16': 39, 'cmpq': 38, 'vpbroadcastb': 37, 'js': 36, 'setne': 36, 'neg': 36, 'jmp': 19, 'cmovbe': 18, 'cmova': 18, 'sar': 18, 'jg': 18, 'div': 18, 'cmovne': 18, 'xchg': 16, 'andq': 16, 'andl': 9, 'notrack': 8, 'movw': 8, 'bnd': 1, 'not': 1, 'paddq': 1, 'sete': 1}",
