Algorithm,Operation,Opcode Histogram,
Dilithium 2,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 2,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 2,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 3,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 3,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 3,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 5,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 5,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Dilithium 5,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Falcon 512,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Falcon 512,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Falcon 512,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Falcon 1024,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Falcon 1024,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
Falcon 1024,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-128s-robust,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-128s-robust,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-128s-robust,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-192s-robust,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-192s-robust,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-192s-robust,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-256s-robust,Key generation,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-256s-robust,Signing,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
SPHINCS+ SHA256-256s-robust,Verifying,"{'mov': 200, 'cmpl': 101, 'jg': 101, 'imul': 100, 'add': 100, 'addl': 100, 'jmp': 100, 'movl': 3, 'nop': 1}",
