Category,Subcategory,x,Communication Cost,Public Key,Signature
CRYSTALS-Dilithium,Dilithium2,3228,100,1184,2044
CRYSTALS-Dilithium,Dilithium3,4173,138,1472,2701
CRYSTALS-Dilithium,Dilithium4,5126,174,1760,3366
FALCON,Falcon-512,1587,114,897,690
FALCON,Falcon-1024,3123,263,1793,1330
Rainbow,Ia-classic,149056,145,148992,64
Rainbow,IIIc-classic,710796,217.4,710640,156
Rainbow,Vc-classic,1705740,275.4,1705536,204
Rainbow,la-cyclic,58208,145,58144,64
Rainbow,lllc-cyclic,206900,217.4,206744,156
Rainbow,Vc-cyclic,492140,275.4,491936,204
Rainbow,la-cyclic-compressed,58208,145,58144,64
Rainbow,llc-compressed,206900,217.4,206744,156
Rainbow,Vc-compressed,492140,275.4,491936,204
GeMSS,GeMSS128,352220.25,128,352188,32.25
GeMSS,GeMSS192,1238015,192,1237963.5,51.375
GeMSS,GeMSS256,3040772,256,3040699.5,72
Picnic,picnic-L1_FS,34069,128,33,34036
Picnic,picnic-L3_FS,76825,192,49,76776
Picnic,picnic-L5_FS,132925,256,65,132860
Picnic,picnic-L1_UR,53998,128,33,53965
Picnic,picnic-L3_UR,121898,192,49,121849
Picnic,picnic-L5_UR,209575,256,65,209510
SPHINCS+,SPHINCS+-Haraka-128f-simple,17008,128,32,16976
SPHINCS+,SPHINCS+-Haraka-192f-simple,35712,192,48,35664
SPHINCS+,SPHINCS+-Haraka-256f-simple,49280,256,64,49216
SPHINCS+,SPHINCS+-SHA256-128f-simple,17008,128,32,16976
SPHINCS+,SPHINCS+-SHA256-192f-simple,35712,192,48,35664
SPHINCS+,SPHINCS+-SHA256-256f-simple,49280,256,64,49216
SPHINCS+,SPHINCS+-SHAKE256-128f-simple,17008,128,32,16976
SPHINCS+,SPHINCS+-SHAKE256-192f-simple,35712,192,48,35664
SPHINCS+,SPHINCS+-SHAKE256-256f-simple,49280,256,64,49216
SPHINCS+,SPHINCS+-Haraka-128s-simple,8112,128,32,8080
SPHINCS+,SPHINCS+-Haraka-192s-simple,17112,192,48,17064
SPHINCS+,SPHINCS+-Haraka-256s-simple,29856,256,64,29792
SPHINCS+,SPHINCS+-SHA256-128s-simple,8112,128,32,8080
SPHINCS+,SPHINCS+-SHA256-192s-simple,17112,192,48,17064
SPHINCS+,SPHINCS+-SHA256-256s-simple,29856,256,64,29792
SPHINCS+,SPHINCS+-SHAKE256-128s-simple,8112,128,32,8080
SPHINCS+,SPHINCS+-SHAKE256-192s-simple,17112,192,48,17064
SPHINCS+,SPHINCS+-SHAKE256-256s-simple,29856,256,64,29792
