Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.000742,0.109830,0.201394,0.053755,0.000769,0.108867,0.198453,0.053029,0.000726,0.109843,0.195662,0.053057,0.000739,0.108941,0.195818,0.052935,0.000861,0.108166,0.208102,0.058467,0.000801,0.108240,0.249115,0.103329,0.000841,0.109809,0.705437,0.556559,0.001023,0.112419,5.231282,5.081228,0.003499,0.131907,50.871729,50.709567,0.005177,0.136625,527.398231,527.266639,
"Dilithium3",0.000913,0.145896,0.288976,0.088556,0.000850,0.146199,0.288633,0.088379,0.000882,0.146285,0.293234,0.088768,0.000993,0.146442,0.294056,0.089612,0.000994,0.146438,0.299727,0.094381,0.000901,0.147379,0.335823,0.138910,0.000921,0.146999,0.805271,0.592139,0.001135,0.150030,5.308162,5.108652,0.003933,0.168117,50.885006,50.663974,0.005347,0.172867,526.577637,526.329496,
"Dilithium5",0.000809,0.199622,0.332707,0.139916,0.000833,0.199527,0.341080,0.139944,0.000812,0.199484,0.334444,0.139897,0.000772,0.199535,0.337272,0.140049,0.001144,0.197970,0.353844,0.145746,0.001071,0.198119,0.393093,0.190716,0.001038,0.199084,0.845697,0.643914,0.001324,0.202229,5.367931,5.163162,0.003753,0.220749,51.012771,50.767454,0.005859,0.223361,527.025525,525.949892,
"Falcon-512",0.001298,8.215346,0.409120,0.054488,0.001307,8.127901,0.410177,0.054644,0.001242,8.198372,0.409897,0.054582,0.001270,8.290920,0.410588,0.055386,0.001240,8.209696,0.414520,0.059526,0.001197,8.212905,0.462227,0.104937,0.001192,8.141878,0.915859,0.558041,0.001570,8.158965,5.436942,5.076075,0.004986,8.382202,51.029123,50.639779,0.006748,8.302243,527.085889,525.980658,
"Falcon-1024",0.001491,22.728137,0.698618,0.105837,0.001434,22.112232,0.699645,0.105782,0.001369,22.497725,0.699037,0.105961,0.001379,22.325532,0.699872,0.106901,0.001371,22.559723,0.704172,0.111000,0.001463,22.520686,0.750533,0.156329,0.001402,22.302459,1.203882,0.609382,0.001708,22.658276,5.727854,5.125550,0.005745,22.767560,51.305807,50.676538,0.007285,22.206819,526.631331,525.943437,
"SPHINCS+-Haraka-128f-robust",0.001703,0.362131,7.663809,0.450659,0.001699,0.361770,7.663136,0.450621,0.001593,0.362057,7.664199,0.450739,0.001486,0.362212,7.667681,0.450914,0.001564,0.362886,7.672476,0.452042,0.001412,0.362087,7.696462,0.464851,0.001418,0.363189,7.942138,0.588462,0.001582,0.362986,10.399806,1.827109,0.005774,0.384246,35.412803,14.639804,0.007739,0.386321,305.471301,162.915358,
"SPHINCS+-Haraka-128f-simple",0.001636,0.329664,6.676437,0.332697,0.001462,0.329494,6.674781,0.332586,0.001380,0.328710,6.663681,0.332867,0.001366,0.328863,6.677714,0.333361,0.001410,0.328259,6.667266,0.334602,0.001377,0.330170,6.709269,0.346722,0.001394,0.330058,6.951171,0.469456,0.001540,0.330275,9.395239,1.708236,0.005831,0.352559,34.509118,14.584578,0.007515,0.351913,304.857989,162.952290,
"SPHINCS+-Haraka-128s-robust",0.002628,19.195207,151.640638,0.171633,0.002689,19.191187,151.619085,0.172063,0.002334,19.188448,151.600354,0.171813,0.002078,19.197047,151.663990,0.172453,0.002005,19.192607,151.621890,0.173348,0.002049,19.192563,151.648579,0.186593,0.002084,19.197903,151.933850,0.310586,0.002239,19.199745,154.400100,1.563351,0.005789,19.214505,179.446571,14.451768,0.007514,19.226401,449.890714,162.583470,
"SPHINCS+-Haraka-128s-simple",0.002447,17.743534,138.043514,0.123084,0.002260,17.726979,137.922187,0.123051,0.002128,17.709230,137.788626,0.122975,0.002362,17.721521,137.831977,0.123602,0.002085,17.715927,137.842392,0.124702,0.001936,17.683538,137.607139,0.137042,0.002080,17.735088,138.229527,0.261368,0.002675,17.728486,140.631676,1.519582,0.005974,17.751791,165.749075,14.366561,0.007627,17.726404,435.917833,162.573767,
"SPHINCS+-Haraka-192f-robust",0.001719,0.515922,13.360829,0.730570,0.001560,0.515752,13.361379,0.730310,0.001498,0.516531,13.368697,0.730951,0.001398,0.516544,13.368651,0.731396,0.001418,0.516034,13.370323,0.732334,0.001475,0.516692,13.395938,0.745143,0.001548,0.516233,13.639289,0.867903,0.001664,0.516335,16.101924,2.106807,0.005693,0.537069,41.176986,14.940832,0.007602,0.540753,311.621901,163.179126,
"SPHINCS+-Haraka-192f-simple",0.001435,0.437012,10.804138,0.504181,0.001466,0.436328,10.805141,0.504004,0.001425,0.436249,10.802325,0.504118,0.001342,0.436663,10.804587,0.504562,0.001323,0.436262,10.805841,0.505678,0.001497,0.436161,10.820918,0.518495,0.001470,0.435288,11.044897,0.640755,0.001615,0.435877,13.523917,1.878366,0.005649,0.457065,38.612786,14.719882,0.007354,0.459197,309.021159,162.939185,
