Category,Subcategory,x,y
CRYSTALS-Dilithium,Dilithium2,3228,94
CRYSTALS-Dilithium,,3228,91
CRYSTALS-Dilithium,Dilithium3,4173,125
CRYSTALS-Dilithium,,4173,128
CRYSTALS-Dilithium,Dilithium4,5126,160
CRYSTALS-Dilithium,,5126,158
FALCON,Falcon-512,1587,103
FALCON,Falcon-1024,3123,230
Rainbow,Ia-classic,149056,86.3
Rainbow,la-cyclic,58208,
Rainbow,la-cyclic-compressed,58208,
Rainbow,IIIc-classic,710796,169.9
Rainbow,lllc-cyclic,206900,
Rainbow,llc-compressed,206900,
Rainbow,Vc-classic,1705740,219.2
Rainbow,Vc-cyclic,492140,
Rainbow,Vc-compressed,492140,
GeMSS,"GeMSS128
",352220.3,
GeMSS,BlueGeMSS128,363642.8,
GeMSS,RedGeMSS128,375247.5,74.84
GeMSS,GeMSS192,1238015,
GeMSS,BlueGeMSS192,1264169,
GeMSS,RedGeMSS192,1290597,112.26
GeMSS,GeMSS256,3040772,
GeMSS,BlueGeMSS256,3088036.5,
GeMSS,RedGeMSS256,3135666,149.68
Picnic,picnic-L1_FS,34069,64
Picnic,picnic-L1_UR,53998,
Picnic,picnic-L3_FS,76825,96
Picnic,picnic-L3_UR,121898,
Picnic,picnic-L5_FS,132925,128
Picnic,picnic-L5_UR,209575,
SPHINCS+,SPHINCS+-Haraka-128f-robust,17008,64
SPHINCS+,SPHINCS+-Haraka-128f-simple,17008,64
SPHINCS+,SPHINCS+-Haraka-128s-robust,8112,64
SPHINCS+,SPHINCS+-Haraka-128s-simple,8112,64
SPHINCS+,SPHINCS+-Haraka-192f-robust,35712,96
SPHINCS+,SPHINCS+-Haraka-192f-simple,35712,96
SPHINCS+,SPHINCS+-Haraka-192s-robust,17112,96
SPHINCS+,SPHINCS+-Haraka-192s-simple,17112,96
SPHINCS+,SPHINCS+-Haraka-256f-robust,49280,128
SPHINCS+,SPHINCS+-Haraka-256f-simple,49280,128
SPHINCS+,SPHINCS+-Haraka-256s-robust,29856,128
SPHINCS+,SPHINCS+-Haraka-256s-simple,29856,128
SPHINCS+,SPHINCS+-SHA256-128f-robust,17008,64
SPHINCS+,SPHINCS+-SHA256-128f-simple,17008,64
SPHINCS+,SPHINCS+-SHA256-128s-robust,8112,64
SPHINCS+,SPHINCS+-SHA256-128s-simple,8112,64
SPHINCS+,SPHINCS+-SHA256-192f-robust,35712,96
SPHINCS+,SPHINCS+-SHA256-192f-simple,35712,96
SPHINCS+,SPHINCS+-SHA256-192s-robust,17112,96
SPHINCS+,SPHINCS+-SHA256-192s-simple,17112,96
SPHINCS+,SPHINCS+-SHA256-256f-robust,49280,128
SPHINCS+,SPHINCS+-SHA256-256f-simple,49280,128
SPHINCS+,SPHINCS+-SHA256-256s-robust,29856,128
SPHINCS+,SPHINCS+-SHA256-256s-simple,29856,128
SPHINCS+,SPHINCS+-SHAKE256-128f-robust,17008,64
SPHINCS+,SPHINCS+-SHAKE256-128f-simple,17008,64
SPHINCS+,SPHINCS+-SHAKE256-128s-robust,8112,64
SPHINCS+,SPHINCS+-SHAKE256-128s-simple,8112,64
SPHINCS+,SPHINCS+-SHAKE256-192f-robust,35712,96
SPHINCS+,SPHINCS+-SHAKE256-192f-simple,35712,96
SPHINCS+,SPHINCS+-SHAKE256-192s-robust,17112,96
SPHINCS+,SPHINCS+-SHAKE256-192s-simple,17112,96
SPHINCS+,SPHINCS+-SHAKE256-256f-robust,49280,128
SPHINCS+,SPHINCS+-SHAKE256-256f-simple,49280,128
SPHINCS+,SPHINCS+-SHAKE256-256s-robust,29856,128
SPHINCS+,SPHINCS+-SHAKE256-256s-simple,29856,128
