Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.005000,0.203000,0.345000,0.093000,0.002000,0.160000,0.428000,0.092000,0.003000,0.161000,0.228000,0.091000,0.002000,0.158000,0.336000,0.092000,0.001000,0.161000,0.318000,0.100000,0.002000,0.164000,0.273000,0.176000,0.002000,0.113000,0.692000,0.563000,0.002000,0.114000,5.213000,5.100000,0.007000,0.155000,51.320000,50.701000,0.008000,0.149000,528.156000,527.029000,
"Dilithium3",0.003000,0.176000,0.298000,0.090000,0.001000,0.148000,0.294000,0.088000,0.001000,0.146000,0.290000,0.088000,0.002000,0.152000,0.721000,0.089000,0.001000,0.151000,0.201000,0.092000,0.001000,0.145000,0.215000,0.138000,0.002000,0.148000,0.802000,0.586000,0.001000,0.152000,5.328000,5.135000,0.007000,0.187000,51.046000,50.764000,0.009000,0.189000,526.937000,526.519000,
"Dilithium5",0.007000,0.238000,0.300000,0.155000,0.001000,0.204000,0.414000,0.140000,0.002000,0.197000,0.474000,0.139000,0.001000,0.196000,0.264000,0.139000,0.001000,0.197000,0.418000,0.144000,0.001000,0.198000,0.342000,0.209000,0.001000,0.201000,0.860000,0.639000,0.005000,0.218000,5.502000,5.210000,0.006000,0.234000,51.518000,50.752000,0.010000,0.251000,527.300000,526.568000,
"Falcon-512",0.006000,6.987000,0.415000,0.055000,0.002000,7.497000,0.412000,0.054000,0.001000,10.639000,0.406000,0.054000,0.001000,5.643000,0.418000,0.055000,0.001000,13.769000,0.426000,0.060000,0.002000,5.746000,0.465000,0.104000,0.002000,8.782000,0.949000,0.560000,0.002000,9.290000,5.460000,5.093000,0.007000,5.654000,51.230000,50.787000,0.009000,7.560000,527.687000,529.655000,
"Falcon-1024",0.007000,20.085000,0.738000,0.106000,0.003000,19.172000,0.704000,0.106000,0.001000,18.114000,0.713000,0.105000,0.002000,28.952000,0.722000,0.106000,0.002000,18.399000,0.729000,0.110000,0.002000,22.015000,0.756000,0.155000,0.002000,25.185000,1.206000,0.614000,0.003000,22.125000,5.760000,5.136000,0.007000,18.089000,51.897000,51.183000,0.009000,18.816000,527.756000,527.891000,
"SPHINCS+-Haraka-128f-robust",0.005000,0.385000,7.729000,0.448000,0.002000,0.358000,7.662000,0.437000,0.003000,0.366000,7.700000,0.447000,0.001000,0.361000,7.699000,0.444000,0.002000,0.371000,7.632000,0.474000,0.002000,0.357000,7.775000,0.457000,0.003000,0.392000,8.201000,0.673000,0.004000,0.379000,10.522000,1.838000,0.009000,0.386000,35.838000,14.649000,0.010000,0.386000,306.873000,163.410000,
"SPHINCS+-Haraka-128f-simple",0.007000,0.362000,6.711000,0.333000,0.001000,0.323000,6.600000,0.339000,0.003000,0.343000,6.643000,0.324000,0.002000,0.331000,6.682000,0.336000,0.001000,0.335000,6.692000,0.336000,0.001000,0.329000,6.705000,0.361000,0.001000,0.324000,6.996000,0.472000,0.004000,0.339000,9.451000,1.726000,0.009000,0.352000,34.833000,14.490000,0.010000,0.355000,306.154000,163.342000,
"SPHINCS+-Haraka-128s-robust",0.005000,19.124000,151.889000,0.174000,0.004000,19.155000,151.742000,0.176000,0.007000,19.284000,151.651000,0.171000,0.003000,19.170000,151.633000,0.173000,0.001000,19.300000,151.782000,0.176000,0.003000,19.231000,151.733000,0.198000,0.003000,19.271000,151.695000,0.318000,0.004000,19.154000,154.418000,2.395000,0.009000,19.290000,179.826000,14.458000,0.010000,19.264000,450.338000,162.681000,
"SPHINCS+-Haraka-128s-simple",0.007000,17.801000,139.182000,0.130000,0.003000,17.720000,138.245000,0.122000,0.005000,17.751000,138.149000,0.127000,0.003000,17.823000,138.083000,0.127000,0.003000,17.697000,138.173000,0.131000,0.003000,17.784000,138.206000,0.142000,0.004000,17.749000,138.452000,0.257000,0.004000,17.766000,141.053000,1.555000,0.008000,17.831000,166.423000,14.533000,0.010000,17.836000,437.004000,163.194000,
"SPHINCS+-Haraka-192f-robust",0.006000,0.535000,13.403000,0.718000,0.001000,0.523000,13.414000,0.743000,0.002000,0.519000,13.395000,0.741000,0.001000,0.512000,13.464000,0.724000,0.002000,0.528000,13.410000,0.732000,0.002000,0.516000,13.427000,0.779000,0.002000,0.517000,13.625000,0.894000,0.003000,0.519000,16.176000,2.117000,0.009000,0.547000,42.329000,15.332000,0.010000,0.540000,312.261000,163.888000,
