Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,
"Dilithium2",0.030000,0.245000,0.278000,0.086000,0.007000,0.151000,0.599000,0.085000,0.002000,0.151000,0.273000,0.084000,0.001000,0.148000,0.287000,0.084000,0.001000,0.152000,0.296000,0.091000,0.002000,0.154000,0.321000,0.129000,0.001000,0.116000,0.713000,0.562000,0.003000,0.117000,5.383000,5.221000,
"Dilithium3",0.002000,0.184000,0.239000,0.088000,0.002000,0.145000,0.450000,0.088000,0.001000,0.145000,0.305000,0.102000,0.001000,0.146000,0.164000,0.087000,0.001000,0.144000,0.187000,0.093000,0.001000,0.149000,0.387000,0.137000,0.001000,0.147000,0.795000,0.594000,0.003000,0.157000,5.343000,5.130000,
"Dilithium5",0.014000,0.230000,0.245000,0.140000,0.002000,0.198000,0.424000,0.138000,0.001000,0.196000,0.349000,0.157000,0.002000,0.198000,0.221000,0.137000,0.001000,0.196000,0.232000,0.143000,0.001000,0.197000,0.271000,0.193000,0.001000,0.200000,0.868000,0.639000,0.002000,0.214000,5.439000,5.196000,
"Falcon-512",0.006000,5.723000,0.415000,0.067000,0.002000,10.611000,0.419000,0.055000,0.002000,9.318000,0.400000,0.055000,0.001000,7.460000,0.410000,0.055000,0.001000,12.993000,0.415000,0.059000,0.001000,5.694000,0.463000,0.118000,0.002000,5.908000,0.910000,0.556000,0.002000,12.460000,5.448000,5.137000,
"Falcon-1024",0.002000,22.050000,0.722000,0.106000,0.002000,26.315000,0.724000,0.105000,0.001000,22.286000,0.715000,0.105000,0.002000,33.285000,0.711000,0.105000,0.001000,18.616000,0.723000,0.110000,0.001000,20.399000,0.768000,0.155000,0.002000,20.892000,1.239000,0.604000,0.002000,18.835000,5.738000,5.146000,
"SPHINCS+-Haraka-128f-robust",0.006000,0.393000,7.675000,0.452000,0.001000,0.359000,7.674000,0.458000,0.002000,0.359000,7.677000,0.458000,0.001000,0.359000,7.693000,0.433000,0.001000,0.360000,7.692000,0.453000,0.001000,0.359000,7.722000,0.457000,0.002000,0.376000,8.009000,0.579000,0.002000,0.368000,10.462000,1.824000,
"SPHINCS+-Haraka-128f-simple",0.002000,0.411000,6.693000,0.343000,0.002000,0.325000,6.698000,0.325000,0.002000,0.325000,6.679000,0.347000,0.002000,0.330000,6.685000,0.330000,0.001000,0.323000,6.679000,0.328000,0.002000,0.333000,6.731000,0.342000,0.002000,0.323000,6.961000,0.485000,0.003000,0.340000,9.417000,1.690000,
"SPHINCS+-Haraka-128s-robust",0.002000,19.384000,152.388000,0.175000,0.004000,19.254000,152.485000,0.189000,0.005000,19.322000,151.720000,0.190000,0.003000,19.374000,151.931000,0.169000,0.002000,19.219000,151.766000,0.178000,0.002000,19.228000,151.685000,0.186000,0.001000,19.239000,152.307000,0.327000,0.004000,19.239000,154.664000,1.631000,
"SPHINCS+-Haraka-128s-simple",0.004000,17.818000,138.611000,0.130000,0.003000,17.813000,138.365000,0.122000,0.002000,17.768000,138.309000,0.125000,0.002000,17.758000,138.144000,0.125000,0.002000,17.881000,138.490000,0.124000,0.003000,17.793000,138.504000,0.132000,0.003000,17.790000,138.812000,0.255000,0.003000,17.758000,141.332000,1.548000,
"SPHINCS+-Haraka-192f-robust",0.004000,0.553000,13.495000,0.736000,0.002000,0.513000,13.455000,0.738000,0.002000,0.517000,13.522000,0.716000,0.001000,0.523000,13.550000,0.744000,0.002000,0.514000,13.566000,0.745000,0.002000,0.522000,13.497000,0.742000,0.001000,0.512000,13.836000,0.881000,0.002000,0.517000,16.190000,2.140000,
"SPHINCS+-Haraka-192f-simple",0.002000,0.468000,10.826000,0.503000,0.002000,0.445000,10.999000,0.504000,0.002000,0.439000,10.915000,0.525000,0.001000,0.454000,10.913000,0.510000,0.002000,0.435000,10.963000,0.508000,0.002000,0.434000,10.903000,0.521000,0.001000,0.433000,11.121000,0.648000,0.002000,0.434000,13.614000,1.890000,
"SPHINCS+-Haraka-192s-robust",0.002000,29.255000,298.657000,0.266000,0.003000,29.173000,298.674000,0.287000,0.004000,29.228000,298.972000,0.269000,0.003000,29.186000,298.461000,0.270000,0.004000,29.173000,298.616000,0.270000,0.003000,29.227000,299.772000,0.287000,0.003000,29.563000,357.893000,0.417000,0.005000,29.704000,301.545000,1.705000,
"SPHINCS+-Haraka-192s-simple",0.005000,22.971000,232.365000,0.190000,0.003000,22.947000,232.142000,0.188000,0.005000,22.896000,232.272000,0.195000,0.004000,22.930000,232.332000,0.184000,0.002000,22.915000,232.169000,0.193000,0.002000,22.923000,231.881000,0.192000,0.004000,22.917000,232.274000,0.321000,0.004000,22.948000,234.767000,1.571000,
"SPHINCS+-Haraka-256f-robust",0.003000,1.173000,24.150000,0.696000,0.002000,1.153000,24.145000,0.694000,0.002000,1.173000,24.198000,0.699000,0.002000,1.152000,24.158000,0.695000,0.002000,1.139000,24.141000,0.690000,0.001000,1.143000,24.155000,0.717000,0.002000,1.151000,24.402000,0.834000,0.003000,1.141000,27.068000,2.097000,
"SPHINCS+-Haraka-256f-simple",0.003000,1.055000,20.727000,0.499000,0.002000,1.008000,20.693000,0.512000,0.002000,1.002000,20.753000,0.515000,0.002000,1.007000,20.665000,0.514000,0.001000,1.009000,20.670000,0.519000,0.001000,1.017000,20.703000,0.522000,0.002000,1.001000,20.952000,0.624000,0.003000,1.004000,23.511000,1.905000,
"SPHINCS+-Haraka-256s-robust",0.003000,17.098000,248.033000,0.357000,0.003000,17.069000,248.837000,0.362000,0.004000,17.072000,247.586000,0.404000,0.002000,17.188000,247.528000,0.371000,0.003000,17.020000,247.763000,0.382000,0.003000,17.019000,247.763000,0.388000,0.003000,17.032000,247.949000,0.509000,0.004000,17.023000,250.546000,1.810000,
"SPHINCS+-Haraka-256s-simple",0.005000,14.580000,203.062000,0.265000,0.004000,14.516000,202.427000,0.260000,0.002000,14.556000,202.538000,0.266000,0.004000,14.567000,202.320000,0.276000,0.003000,14.533000,202.225000,0.289000,0.003000,15.415000,202.573000,0.277000,0.003000,14.527000,202.290000,0.400000,0.004000,14.517000,205.195000,1.706000,
"SPHINCS+-SHA256-128f-robust",0.004000,1.598000,37.260000,3.284000,0.003000,1.533000,37.369000,3.244000,0.002000,1.522000,37.265000,3.253000,0.002000,1.537000,37.322000,3.153000,0.002000,1.524000,37.366000,3.103000,0.002000,1.536000,37.364000,3.143000,0.002000,1.522000,37.530000,3.200000,0.002000,1.526000,38.517000,3.853000,
"SPHINCS+-SHA256-128f-simple",0.002000,0.876000,20.015000,1.735000,0.001000,0.846000,20.090000,1.691000,0.001000,0.835000,20.070000,1.706000,0.002000,0.859000,20.126000,1.646000,0.002000,0.840000,20.065000,1.692000,0.002000,0.836000,20.140000,1.626000,0.002000,0.839000,20.127000,1.816000,0.002000,0.863000,21.231000,2.306000,
"SPHINCS+-SHA256-128s-robust",0.003000,93.740000,709.306000,1.152000,0.004000,93.430000,709.233000,1.083000,0.014000,93.285000,709.203000,1.096000,0.003000,93.276000,711.823000,1.076000,0.003000,93.337000,709.262000,1.037000,0.004000,93.311000,708.949000,1.131000,0.004000,93.442000,708.903000,1.178000,0.005000,93.298000,710.603000,1.693000,
"SPHINCS+-SHA256-128s-simple",0.004000,50.659000,383.971000,0.567000,0.004000,50.041000,380.299000,0.576000,0.004000,49.996000,378.185000,0.605000,0.004000,49.734000,379.505000,0.586000,0.003000,49.737000,377.832000,0.625000,0.003000,49.639000,378.513000,0.585000,0.003000,49.666000,377.222000,0.596000,0.004000,49.891000,379.433000,1.261000,
"SPHINCS+-SHA256-192f-robust",0.004000,2.208000,60.469000,4.955000,0.002000,2.170000,60.656000,4.690000,0.003000,2.170000,60.473000,4.857000,0.002000,2.189000,60.654000,4.757000,0.001000,2.179000,60.730000,4.728000,0.002000,2.181000,60.684000,4.724000,0.002000,2.179000,60.624000,4.901000,0.003000,2.174000,62.003000,5.424000,
"SPHINCS+-SHA256-192f-simple",0.004000,1.189000,32.532000,2.486000,0.002000,1.183000,32.609000,2.506000,0.002000,1.161000,32.412000,2.506000,0.002000,1.165000,32.412000,2.485000,0.002000,1.169000,32.375000,2.499000,0.002000,1.159000,32.416000,2.462000,0.002000,1.153000,32.503000,2.545000,0.003000,1.166000,33.724000,2.994000,
"SPHINCS+-SHA256-192s-robust",0.002000,136.328000,1336.862000,1.636000,0.003000,135.475000,1334.593000,1.686000,0.005000,136.018000,1334.210000,1.664000,0.004000,135.575000,1334.895000,1.683000,0.004000,135.631000,1333.576000,1.605000,0.004000,135.545000,1334.832000,1.640000,0.005000,135.846000,1333.964000,1.759000,0.005000,135.658000,1337.112000,2.342000,
"SPHINCS+-SHA256-192s-simple",0.005000,71.824000,729.255000,0.845000,0.004000,71.106000,726.750000,0.831000,0.006000,71.329000,726.635000,0.855000,0.004000,71.248000,726.028000,0.836000,0.004000,71.071000,725.275000,0.882000,0.004000,71.017000,725.567000,0.895000,0.004000,71.022000,725.483000,0.943000,0.004000,71.075000,726.419000,1.512000,
