Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.044000,0.243000,0.210000,0.095000,0.004000,0.161000,0.202000,0.094000,0.002000,0.161000,0.222000,0.093000,0.001000,0.198000,0.216000,0.095000,0.001000,0.162000,0.235000,0.100000,0.001000,0.185000,0.283000,0.160000,0.001000,0.112000,0.652000,0.576000,0.003000,0.121000,5.361000,5.218000,0.007000,0.158000,53.070000,53.174000,0.008000,0.149000,527.536000,527.723000,
"Dilithium3",0.004000,0.188000,0.179000,0.089000,0.001000,0.148000,0.165000,0.088000,0.001000,0.153000,0.203000,0.088000,0.001000,0.145000,0.215000,0.088000,0.001000,0.144000,0.271000,0.093000,0.001000,0.146000,0.364000,0.151000,0.001000,0.150000,0.669000,0.587000,0.002000,0.156000,5.247000,5.123000,0.007000,0.185000,51.309000,50.734000,0.008000,0.184000,528.233000,527.730000,
"Dilithium5",0.005000,0.241000,0.406000,0.140000,0.002000,0.201000,0.669000,0.140000,0.002000,0.197000,0.589000,0.138000,0.001000,0.197000,0.281000,0.152000,0.001000,0.199000,0.537000,0.144000,0.001000,0.197000,0.275000,0.192000,0.001000,0.206000,0.859000,0.644000,0.002000,0.207000,5.656000,5.183000,0.007000,0.242000,51.064000,51.722000,0.009000,0.240000,531.500000,528.445000,
"Falcon-512",0.012000,6.504000,0.429000,0.056000,0.002000,5.677000,0.406000,0.054000,0.001000,6.714000,0.431000,0.056000,0.001000,5.902000,0.423000,0.056000,0.001000,7.731000,0.416000,0.059000,0.001000,9.263000,0.466000,0.104000,0.001000,7.007000,0.926000,0.560000,0.005000,6.469000,5.456000,5.105000,0.006000,6.480000,51.229000,50.729000,0.009000,6.720000,527.986000,528.563000,
"Falcon-1024",0.006000,22.627000,0.721000,0.106000,0.001000,35.643000,0.738000,0.106000,0.022000,25.659000,0.739000,0.106000,0.003000,19.240000,0.741000,0.120000,0.002000,18.227000,0.740000,0.110000,0.001000,17.112000,0.780000,0.155000,0.002000,23.632000,1.226000,0.612000,0.005000,20.139000,5.769000,5.116000,0.007000,22.119000,51.644000,50.738000,0.009000,17.343000,528.121000,527.357000,
"SPHINCS+-Haraka-128f-robust",0.012000,0.389000,7.672000,0.457000,0.001000,0.365000,7.668000,0.463000,0.002000,0.359000,7.682000,0.443000,0.001000,0.369000,7.667000,0.445000,0.001000,0.360000,7.683000,0.442000,0.001000,0.370000,7.758000,0.484000,0.003000,0.365000,8.004000,0.582000,0.003000,0.368000,10.443000,1.845000,0.008000,0.396000,35.596000,14.702000,0.012000,0.402000,306.743000,163.315000,
"SPHINCS+-Haraka-128f-simple",0.006000,0.360000,6.698000,0.347000,0.001000,0.346000,6.698000,0.320000,0.003000,0.325000,6.712000,0.327000,0.001000,0.328000,6.692000,0.339000,0.002000,0.329000,6.708000,0.333000,0.002000,0.325000,6.751000,0.331000,0.002000,0.339000,7.004000,0.483000,0.004000,0.339000,9.440000,1.792000,0.009000,0.350000,34.792000,14.563000,0.010000,0.362000,306.657000,163.419000,
"SPHINCS+-Haraka-128s-robust",0.006000,19.181000,151.958000,0.166000,0.003000,19.311000,151.916000,0.175000,0.004000,19.163000,151.817000,0.175000,0.003000,19.403000,151.727000,0.161000,0.004000,19.352000,151.432000,0.174000,0.004000,19.176000,151.357000,0.185000,0.002000,19.284000,151.993000,0.326000,0.004000,19.278000,154.257000,1.609000,0.008000,19.225000,179.985000,14.535000,0.010000,19.253000,450.503000,163.517000,
"SPHINCS+-Haraka-128s-simple",0.007000,17.471000,138.577000,0.129000,0.003000,17.990000,138.058000,0.126000,0.004000,17.789000,137.955000,0.130000,0.002000,17.793000,139.785000,0.121000,0.003000,17.782000,138.645000,0.131000,0.003000,17.711000,138.380000,0.138000,0.002000,17.939000,138.513000,0.258000,0.004000,17.757000,143.338000,1.581000,0.007000,17.808000,165.965000,14.390000,0.011000,17.864000,437.341000,163.308000,
"SPHINCS+-Haraka-192f-robust",0.007000,0.553000,13.451000,0.728000,0.002000,0.513000,13.415000,0.733000,0.002000,0.519000,13.359000,0.725000,0.002000,0.524000,13.513000,0.722000,0.002000,0.518000,13.403000,0.753000,0.002000,0.512000,13.379000,0.739000,0.003000,0.524000,13.680000,0.875000,0.003000,0.531000,16.096000,2.109000,0.007000,0.539000,41.316000,15.080000,0.011000,0.546000,312.656000,164.324000,
"SPHINCS+-Haraka-192f-simple",0.007000,0.463000,10.905000,0.500000,0.002000,0.434000,10.906000,0.516000,0.003000,0.435000,10.841000,0.501000,0.001000,0.446000,10.822000,0.501000,0.001000,0.447000,10.960000,0.491000,0.003000,0.444000,10.851000,0.511000,0.002000,0.437000,11.127000,0.629000,0.002000,0.439000,13.605000,1.907000,0.008000,0.458000,38.663000,14.768000,0.010000,0.459000,310.274000,163.993000,
"SPHINCS+-Haraka-192s-robust",0.007000,29.247000,298.332000,0.270000,0.004000,29.309000,298.198000,0.267000,0.005000,29.245000,298.491000,0.277000,0.003000,29.223000,298.417000,0.271000,0.003000,29.410000,298.326000,0.275000,0.003000,29.249000,298.743000,0.285000,0.004000,29.192000,298.503000,0.408000,0.005000,29.254000,301.055000,1.723000,0.008000,29.231000,326.408000,14.586000,0.011000,29.221000,597.264000,163.146000,
"SPHINCS+-Haraka-192s-simple",0.008000,22.922000,233.577000,0.178000,0.004000,22.913000,233.098000,0.190000,0.004000,22.886000,233.554000,0.185000,0.004000,22.921000,233.534000,0.191000,0.003000,22.908000,233.276000,0.187000,0.003000,22.901000,233.618000,0.201000,0.004000,22.915000,234.086000,0.324000,0.005000,22.896000,236.355000,1.619000,0.007000,23.033000,261.977000,14.488000,0.010000,23.048000,534.302000,163.161000,
