Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.002200,0.152200,0.376600,0.083700,0.001400,0.136000,0.243100,0.076700,0.001000,0.107100,0.173500,0.052400,0.001000,0.107000,0.237400,0.053500,0.000700,0.112600,0.169700,0.057300,0.000900,0.110600,0.338100,0.104700,0.000800,0.109400,0.782700,0.555500,0.001500,0.118100,5.237200,5.095300,0.004700,0.134700,50.962600,50.797200,0.006500,0.136400,526.802700,526.871000,
"Dilithium3",0.001600,0.150400,0.225800,0.089900,0.001200,0.145900,0.267400,0.089400,0.001200,0.154600,0.285800,0.088300,0.001200,0.150600,0.231600,0.089400,0.001100,0.148500,0.233800,0.095800,0.001000,0.148400,0.327200,0.137500,0.000900,0.146300,0.818300,0.594100,0.001900,0.152700,5.391000,5.133800,0.004700,0.172200,50.998300,50.816200,0.006600,0.177800,527.205900,527.088100,
"Dilithium5",0.001300,0.206100,0.397800,0.141300,0.001100,0.196700,0.387100,0.141800,0.001200,0.200400,0.349000,0.138700,0.001400,0.198700,0.314200,0.142000,0.000700,0.203300,0.339400,0.144600,0.001100,0.200800,0.332000,0.190000,0.001100,0.199700,0.817300,0.646300,0.001300,0.201100,5.365200,5.176400,0.004600,0.221900,51.047200,50.796900,0.006700,0.228400,526.632700,526.610600,
"Falcon-512",0.002000,9.129500,0.415800,0.054500,0.001600,6.853100,0.412200,0.054400,0.001400,8.943400,0.417300,0.057200,0.001000,8.585200,0.409800,0.055100,0.001100,9.666100,0.420600,0.059500,0.001300,6.899400,0.462600,0.105400,0.001400,7.982200,0.925700,0.562300,0.001700,8.776300,5.452000,5.075200,0.006800,8.293100,51.199800,50.767800,0.007800,9.343900,527.295700,526.937600,
"Falcon-1024",0.002200,24.146300,0.710700,0.106800,0.001300,21.123100,0.707500,0.110400,0.001800,23.520100,0.706100,0.105500,0.001600,21.433300,0.710600,0.111400,0.001400,21.418300,0.703100,0.111900,0.001800,21.324600,0.755500,0.157200,0.001900,24.329600,1.212900,0.614000,0.002300,23.399700,5.761400,5.144600,0.006900,20.012400,51.475100,50.829600,0.007900,26.518600,527.536700,526.742000,
"SPHINCS+-Haraka-128f-robust",0.002600,0.367200,7.699100,0.454200,0.002500,0.369100,7.693500,0.451600,0.001900,0.364100,7.684200,0.449500,0.002500,0.362300,7.691700,0.454200,0.002600,0.369500,7.697800,0.454200,0.002500,0.370200,7.726800,0.463600,0.002600,0.370600,7.965100,0.596300,0.002500,0.367200,10.436300,1.834400,0.007700,0.384400,35.568500,14.742400,0.009800,0.393600,306.586800,163.509500,
"SPHINCS+-Haraka-128f-simple",0.002300,0.332800,6.688700,0.339700,0.001900,0.327900,6.694700,0.331200,0.001600,0.327700,6.681500,0.332300,0.001700,0.331600,6.688700,0.335900,0.001400,0.328900,6.684700,0.336700,0.001500,0.328400,6.714600,0.346500,0.001900,0.327600,6.957300,0.464400,0.001800,0.332100,9.412700,1.714100,0.006400,0.352500,34.725900,14.626200,0.008800,0.353400,306.716800,163.820700,
"SPHINCS+-Haraka-128s-robust",0.004400,19.243900,152.301200,0.173700,0.003200,19.268500,152.239000,0.170700,0.003900,19.249000,152.242200,0.173600,0.003400,19.242000,152.297500,0.173600,0.002900,19.264200,152.316700,0.174400,0.002800,19.259500,152.330100,0.186000,0.002900,19.235600,152.501700,0.316200,0.003800,19.248400,155.057500,1.580800,0.006700,19.264700,180.132100,14.501800,0.009000,19.314500,451.717600,163.560000,
"SPHINCS+-Haraka-128s-simple",0.005000,17.798500,138.386600,0.125600,0.004000,17.806400,138.459000,0.126700,0.003600,17.793200,138.431100,0.122300,0.002900,17.798600,138.477500,0.122900,0.003900,17.794800,138.463100,0.125600,0.002800,17.802400,138.468400,0.137700,0.003300,17.824800,138.791100,0.268200,0.004200,17.815700,141.253100,1.537000,0.007300,17.897600,166.494900,14.548100,0.009200,17.827500,437.127600,163.253200,
"SPHINCS+-Haraka-192f-robust",0.002800,0.523900,13.398000,0.729500,0.002500,0.522100,13.391500,0.730000,0.003400,0.528600,13.397600,0.731200,0.003200,0.530800,13.374100,0.732800,0.003100,0.521400,13.368900,0.737500,0.001800,0.517700,13.394300,0.742800,0.001700,0.514400,13.637800,0.867400,0.003000,0.523500,16.113400,2.132900,0.006800,0.545100,41.241100,14.984900,0.008800,0.545600,312.742400,163.987700,
