Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.001800,0.169400,0.314900,0.094500,0.001200,0.142100,0.227700,0.077100,0.000800,0.112200,0.181900,0.052500,0.000700,0.109000,0.154100,0.052400,0.000900,0.108400,0.227900,0.058600,0.000800,0.109100,0.284400,0.103800,0.000700,0.108900,0.681600,0.556000,0.001600,0.115000,5.258300,5.099200,0.004300,0.131300,50.998500,50.796900,0.005800,0.139100,527.273900,527.016800,
"Dilithium3",0.001400,0.149700,0.287200,0.089800,0.001200,0.148200,0.325200,0.089500,0.000900,0.144800,0.294300,0.090200,0.001100,0.146400,0.259300,0.089500,0.001100,0.149100,0.269300,0.092100,0.001100,0.147500,0.294700,0.137800,0.001200,0.148600,0.760200,0.595300,0.001700,0.153100,5.382500,5.126300,0.004300,0.170800,51.010100,50.736300,0.006100,0.173000,527.181600,526.904500,
"Dilithium5",0.002200,0.201300,0.343200,0.143700,0.001700,0.198700,0.348200,0.139500,0.001600,0.202900,0.335900,0.140500,0.001100,0.197200,0.393000,0.142000,0.001000,0.200500,0.313200,0.145800,0.001100,0.198200,0.371000,0.194100,0.001300,0.202400,0.846500,0.648000,0.001800,0.206000,5.503700,5.177900,0.004700,0.224400,51.095900,50.799000,0.006100,0.227200,526.954000,526.693200,
"Falcon-512",0.001900,7.677400,0.418700,0.054300,0.001200,8.585100,0.410300,0.054500,0.001200,9.531500,0.409900,0.054200,0.001300,7.879300,0.412800,0.058100,0.001600,7.078200,0.419200,0.060500,0.001300,7.513100,0.463900,0.105100,0.001200,8.957000,0.925500,0.557700,0.002200,7.119100,5.473000,5.096700,0.006300,7.840000,51.251900,50.856900,0.007300,6.847400,527.527700,527.058900,
"Falcon-1024",0.002500,29.240100,0.707200,0.105700,0.001500,21.039000,0.701300,0.106200,0.001100,22.864200,0.705500,0.109100,0.001200,23.999300,0.702700,0.106500,0.001200,25.230100,0.703300,0.110200,0.001400,23.264300,0.751600,0.156200,0.001600,19.546700,1.207600,0.611600,0.002500,22.612300,5.773000,5.149900,0.006400,22.624900,51.558700,50.854600,0.007200,22.945900,528.014500,527.326900,
"SPHINCS+-Haraka-128f-robust",0.002700,0.367000,7.697500,0.447100,0.002400,0.365300,7.691600,0.452400,0.002000,0.362600,7.677500,0.450800,0.001700,0.362700,7.681800,0.451700,0.001900,0.364800,7.700800,0.451100,0.001800,0.365000,7.708600,0.464500,0.001800,0.364800,7.957100,0.580200,0.001900,0.363400,10.412500,1.829700,0.007200,0.388500,35.539100,14.677000,0.008800,0.392200,306.603200,163.659400,
"SPHINCS+-Haraka-128f-simple",0.002500,0.332000,6.733000,0.332700,0.001900,0.330000,6.707700,0.342400,0.001800,0.329200,6.723100,0.333000,0.002000,0.332600,6.699300,0.336200,0.001500,0.325500,6.695900,0.337900,0.001700,0.329700,6.737300,0.347100,0.001700,0.329100,6.986400,0.466300,0.001900,0.334600,9.465800,1.731900,0.006700,0.351900,34.730800,14.671100,0.008100,0.352800,306.244300,163.678900,
"SPHINCS+-Haraka-128s-robust",0.005100,19.294200,152.405000,0.176600,0.004600,19.252200,152.380400,0.173700,0.004000,19.256400,152.475400,0.170300,0.003800,19.241700,152.273100,0.176000,0.003800,19.233900,152.338500,0.174200,0.003300,19.235200,152.346700,0.187000,0.003700,19.272300,152.563700,0.315400,0.004900,19.288300,155.283800,1.595300,0.006400,19.263200,180.154200,14.448400,0.008400,19.298100,450.826900,163.236900,
"SPHINCS+-Haraka-128s-simple",0.005000,17.773900,138.321600,0.122900,0.004400,17.807700,138.276000,0.123900,0.004600,17.828500,138.265300,0.124200,0.003800,17.778100,138.294900,0.121600,0.003400,17.767000,138.195700,0.127100,0.004400,17.806700,138.384700,0.142100,0.002800,17.791800,138.562700,0.266100,0.004000,17.796700,141.064900,1.540000,0.007900,17.828900,166.386500,14.477400,0.008600,17.838200,438.528300,163.867700,
"SPHINCS+-Haraka-192f-robust",0.003400,0.529600,13.442500,0.735600,0.002000,0.516400,13.397800,0.725400,0.001700,0.516100,13.386700,0.735200,0.001800,0.519300,13.419600,0.732400,0.002200,0.516100,13.411700,0.749200,0.002100,0.516000,13.430800,0.749600,0.002100,0.518200,13.682500,0.871500,0.002600,0.520700,16.172800,2.108100,0.007100,0.540000,41.350500,15.024500,0.010200,0.540800,312.991300,164.097700,
"SPHINCS+-Haraka-192f-simple",0.002900,0.445600,11.009500,0.510200,0.002000,0.437100,10.833800,0.504000,0.002000,0.439000,10.847700,0.503500,0.001600,0.434700,10.855900,0.502700,0.001900,0.440000,10.857900,0.503600,0.001600,0.438500,10.885800,0.525900,0.001700,0.437300,11.112900,0.642800,0.002200,0.440700,13.656800,1.886200,0.006700,0.468100,38.756500,14.733500,0.008400,0.460800,310.593000,163.580600,
"SPHINCS+-Haraka-192s-robust",0.005400,29.268800,298.460800,0.270000,0.005100,29.380600,298.055100,0.267900,0.005000,29.419900,298.370200,0.267100,0.005200,29.236400,298.379600,0.268600,0.004100,29.348800,298.118500,0.271800,0.004200,29.243900,298.077000,0.285300,0.004100,29.270400,298.168100,0.411400,0.004700,29.463600,300.721300,1.682600,0.008400,29.337700,326.086600,14.582900,0.008700,29.277100,597.292800,163.659600,
"SPHINCS+-Haraka-192s-simple",0.005200,22.906000,232.480200,0.186300,0.004400,22.877400,232.724300,0.187300,0.004200,22.962300,232.487300,0.184500,0.004000,22.942300,232.513600,0.183500,0.004000,23.019600,232.429700,0.187200,0.003500,22.960300,232.808300,0.202400,0.003900,22.904100,232.813500,0.328700,0.005100,23.076500,235.588600,1.608100,0.006900,22.963900,260.310000,14.502800,0.008600,22.992100,530.781800,163.328600,
"SPHINCS+-Haraka-256f-robust",0.002700,1.141800,24.210500,0.702000,0.002000,1.147300,24.215500,0.701500,0.002100,1.147200,24.107500,0.698500,0.001700,1.140500,24.141400,0.703400,0.002000,1.142300,24.193200,0.701800,0.001500,1.140000,24.203100,0.720500,0.001800,1.137100,24.354600,0.836100,0.002100,1.141500,26.891300,2.079700,0.006200,1.156600,52.029600,14.957700,0.008500,1.176700,323.011300,163.495400,
"SPHINCS+-Haraka-256f-simple",0.002400,1.009200,20.696800,0.506800,0.002000,1.009100,20.709100,0.501600,0.001900,1.007300,20.681500,0.499700,0.001600,1.009300,20.670400,0.503000,0.001700,1.006600,20.695400,0.501000,0.001900,1.008000,20.724100,0.522900,0.001800,1.007600,20.927000,0.643100,0.002200,1.001500,23.327500,1.886800,0.006100,1.029700,48.549500,14.762300,0.008100,1.038000,319.683000,163.128000,
"SPHINCS+-Haraka-256s-robust",0.006300,17.033100,247.917100,0.369700,0.004600,17.025300,247.840200,0.371900,0.004700,17.023800,247.318900,0.376000,0.003800,17.026700,247.707800,0.374400,0.003900,17.017500,247.514800,0.374500,0.003800,17.048700,247.678500,0.383700,0.003700,17.011400,247.600200,0.509800,0.004200,17.037300,250.311000,1.788100,0.006600,17.060500,275.609000,14.672600,0.009500,17.771200,546.222100,163.310000,
"SPHINCS+-Haraka-256s-simple",0.004800,14.513100,202.361500,0.263300,0.004100,14.500500,202.311800,0.264200,0.003500,14.508300,202.489300,0.266600,0.003900,14.520400,202.364000,0.267200,0.003100,14.500300,202.512900,0.268100,0.003000,14.517300,202.330000,0.281600,0.003300,14.506100,202.723700,0.407300,0.003700,14.512800,205.212300,1.675100,0.006400,14.564000,230.482300,14.564800,0.009300,14.585400,501.210800,163.218900,
"SPHINCS+-SHA256-128f-robust",0.003500,1.524700,37.050900,2.867300,0.002600,1.521400,37.044300,2.876600,0.002400,1.522000,37.021300,2.809200,0.002200,1.520300,36.923100,2.859600,0.002800,1.526300,37.031800,2.875500,0.002200,1.522600,36.925700,2.892500,0.002300,1.524100,37.113200,2.922400,0.002400,1.523100,38.088000,3.487900,0.006600,1.548800,49.342000,9.377300,0.008000,1.561200,180.975800,88.384400,
