Name,Allocate L0,Keygen L0,Sign L0,Verify L0,Allocate L1,Keygen L1,Sign L1,Verify L1,Allocate L10,Keygen L10,Sign L10,Verify L10,Allocate L100,Keygen L100,Sign L100,Verify L100,Allocate L1000,Keygen L1000,Sign L1000,Verify L1000,Allocate L10000,Keygen L10000,Sign L10000,Verify L10000,Allocate L100000,Keygen L100000,Sign L100000,Verify L100000,Allocate L1000000,Keygen L1000000,Sign L1000000,Verify L1000000,Allocate L10000000,Keygen L10000000,Sign L10000000,Verify L10000000,Allocate L100000000,Keygen L100000000,Sign L100000000,Verify L100000000,
"Dilithium2",0.003100,0.155300,0.272000,0.086000,0.001300,0.123700,0.196200,0.058000,0.001100,0.108100,0.186300,0.052800,0.000900,0.108300,0.238300,0.055600,0.000600,0.109500,0.280800,0.057200,0.000800,0.110200,0.264400,0.102800,0.001000,0.109500,0.710200,0.558400,0.001900,0.115600,5.263100,5.152800,0.004600,0.133200,51.024800,50.792300,0.006000,0.137500,527.245500,527.277100,
"Dilithium3",0.001500,0.154100,0.261200,0.088300,0.001600,0.145600,0.281100,0.092100,0.001900,0.145200,0.299700,0.089600,0.001000,0.150000,0.303200,0.089900,0.001000,0.146300,0.336500,0.092700,0.000800,0.147700,0.366700,0.140400,0.001100,0.146600,0.719600,0.595700,0.001600,0.152300,5.367400,5.121100,0.004800,0.175500,50.952400,50.784000,0.005700,0.176100,527.023600,526.829400,
"Dilithium5",0.001500,0.204100,0.324300,0.141600,0.001700,0.197700,0.413100,0.141200,0.001400,0.199200,0.378800,0.139000,0.001200,0.197000,0.329900,0.139900,0.001100,0.198600,0.374800,0.145100,0.001000,0.201800,0.316100,0.189000,0.001100,0.199300,0.887400,0.646100,0.001100,0.199700,5.344200,5.167800,0.004100,0.223600,50.967800,50.866800,0.006500,0.227300,526.621600,527.151500,
"Falcon-512",0.001700,7.181700,0.411700,0.055600,0.001200,6.811800,0.412200,0.055300,0.001300,8.754100,0.409600,0.054600,0.001100,9.608800,0.413600,0.055300,0.001200,8.283400,0.412600,0.059200,0.001400,8.490500,0.463100,0.106300,0.001800,7.720900,0.922200,0.556300,0.001800,8.514600,5.453700,5.083100,0.006100,9.285600,51.068400,50.654600,0.007700,7.258400,527.148000,526.614300,
"Falcon-1024",0.002200,22.136800,0.703000,0.107500,0.001600,24.381400,0.699400,0.106400,0.001200,19.191200,0.696900,0.107200,0.001100,24.196600,0.697300,0.109100,0.001100,24.568100,0.704300,0.112300,0.001600,22.670300,0.755300,0.154900,0.001400,22.476200,1.208200,0.613100,0.002500,21.534400,5.754700,5.131000,0.006200,21.396700,51.375500,50.728200,0.007800,21.297900,526.819200,526.279400,
"SPHINCS+-Haraka-128f-robust",0.003600,0.364900,7.621100,0.454100,0.001900,0.359800,7.616400,0.448900,0.001500,0.359500,7.603400,0.448700,0.001400,0.358700,7.597700,0.449400,0.001200,0.358900,7.622800,0.447300,0.001400,0.360700,7.625900,0.461900,0.001500,0.358900,7.871300,0.589000,0.001800,0.358100,10.320300,1.829800,0.005300,0.385100,35.426300,14.657900,0.007600,0.387200,306.194200,163.244800,
"SPHINCS+-Haraka-128f-simple",0.002400,0.330100,6.693600,0.335900,0.002000,0.331900,6.690700,0.335900,0.001900,0.329900,6.695100,0.331700,0.001500,0.329800,6.678400,0.339000,0.001400,0.326800,6.684800,0.334300,0.001400,0.332800,6.712100,0.345400,0.001500,0.335500,6.951100,0.470200,0.001800,0.333400,9.419300,1.708700,0.006100,0.356900,34.494500,14.607300,0.008400,0.355000,305.902200,163.382800,
"SPHINCS+-Haraka-128s-robust",0.004800,19.137200,151.492900,0.177100,0.003800,18.982100,150.455300,0.172800,0.003700,19.104500,151.485000,0.172000,0.003200,19.228000,152.212500,0.171000,0.003200,19.227300,152.235500,0.174100,0.003000,19.081900,151.258700,0.187600,0.002600,19.224700,152.486100,0.309500,0.004000,19.236200,155.067200,1.604200,0.006000,19.251800,180.135100,14.483100,0.007800,19.287600,450.424700,163.048100,
"SPHINCS+-Haraka-128s-simple",0.004800,17.652300,136.997400,0.121600,0.004300,17.439700,135.819400,0.122900,0.004000,17.776500,138.119300,0.121100,0.003900,17.623500,136.976000,0.126200,0.002800,17.609200,136.643700,0.128100,0.003000,17.751600,138.145600,0.140800,0.003300,17.679000,137.849900,0.264100,0.004000,17.788900,140.999900,1.553300,0.006500,17.786700,166.034900,14.460500,0.008000,17.805800,436.821700,163.136500,
"SPHINCS+-Haraka-192f-robust",0.003300,0.522100,13.377100,0.736500,0.002300,0.518500,13.391800,0.729100,0.001900,0.520000,13.366800,0.732000,0.002100,0.520100,13.379900,0.727100,0.002100,0.515600,13.374700,0.734100,0.001900,0.516400,13.410600,0.743200,0.001800,0.513700,13.636700,0.872500,0.002100,0.518700,16.090000,2.100200,0.006700,0.537500,41.231000,14.993900,0.008600,0.538400,312.243600,163.521600,
"SPHINCS+-Haraka-192f-simple",0.002300,0.445500,10.850300,0.504200,0.001800,0.437200,10.825900,0.512600,0.001600,0.435400,10.819000,0.505000,0.001800,0.438300,10.822800,0.506100,0.001600,0.437500,10.825000,0.507100,0.001600,0.435800,10.859200,0.518600,0.001800,0.438600,11.108300,0.643400,0.002500,0.444300,13.584700,1.882200,0.005800,0.462000,38.708700,14.738300,0.007900,0.461600,309.795700,163.314500,
"SPHINCS+-Haraka-192s-robust",0.007900,29.196000,298.004000,0.270800,0.005400,29.215000,298.176900,0.269600,0.005200,29.275400,298.039500,0.268900,0.003900,29.262100,297.809800,0.269300,0.004000,29.209000,297.952100,0.274000,0.004100,29.380400,297.954400,0.288900,0.004000,29.233800,298.175000,0.409400,0.004500,29.277000,300.766700,1.712900,0.006400,29.250800,325.472000,14.560500,0.008300,29.257100,596.686600,163.402500,
"SPHINCS+-Haraka-192s-simple",0.005200,22.910200,231.816000,0.187100,0.005300,22.897100,231.863700,0.189600,0.004800,22.897500,231.848700,0.186900,0.003700,22.885400,231.906500,0.188200,0.003700,22.897300,231.964600,0.188700,0.004000,22.922800,231.892300,0.203400,0.003600,22.914100,232.029700,0.328400,0.004600,22.915800,234.698800,1.623200,0.006300,22.927100,259.757100,14.508300,0.009300,22.999900,531.168200,163.495800,
"SPHINCS+-Haraka-256f-robust",0.004100,1.162000,24.245200,0.703100,0.002300,1.142100,24.141300,0.708300,0.001800,1.146700,24.134600,0.691800,0.002000,1.144400,24.121400,0.702500,0.002100,1.144500,24.155100,0.711400,0.001600,1.142000,24.174900,0.707200,0.001900,1.137700,24.410700,0.838900,0.002600,1.146100,26.918700,2.102500,0.006800,1.166900,52.094400,15.040100,0.007900,1.173600,323.114500,163.724700,
"SPHINCS+-Haraka-256f-simple",0.003400,1.033500,20.771200,0.506700,0.002100,1.010600,20.650200,0.504600,0.002100,1.011200,20.656200,0.504400,0.001800,1.007000,20.654800,0.501600,0.002000,1.013100,20.667500,0.507300,0.001800,1.008600,20.682700,0.520700,0.002800,1.009000,20.909600,0.640100,0.002200,1.008400,23.378400,1.885200,0.006400,1.034300,48.565900,14.771500,0.008400,1.039200,319.094900,163.238200,
"SPHINCS+-Haraka-256s-robust",0.005300,16.957100,246.724300,0.372800,0.005700,17.035400,247.723700,0.369400,0.004500,17.033700,247.546000,0.367800,0.004200,17.018700,247.511000,0.369900,0.004100,17.035500,247.539300,0.370800,0.003500,17.022400,247.658700,0.384800,0.003200,17.045900,247.858400,0.511100,0.004600,17.025300,250.205900,1.794400,0.006400,17.136400,275.483600,14.695900,0.008600,17.385400,546.016600,163.063100,
"SPHINCS+-Haraka-256s-simple",0.004900,14.501300,202.300700,0.268300,0.004300,14.504800,202.289100,0.267000,0.004400,14.497800,202.325800,0.268600,0.004000,14.512200,202.353400,0.269800,0.003500,14.510700,202.304500,0.270600,0.003900,14.476700,201.888700,0.281900,0.004300,14.502300,202.634000,0.405100,0.004100,14.521100,205.117500,1.697800,0.006800,14.525900,230.233700,14.592900,0.009800,14.536700,500.760800,162.945800,
"SPHINCS+-SHA256-128f-robust",0.003200,1.527300,37.042900,2.870200,0.002500,1.522400,36.936900,2.880500,0.002300,1.524400,36.935700,2.862100,0.002200,1.524400,36.942100,2.859900,0.002400,1.525400,36.975500,2.877400,0.002100,1.518600,36.921500,2.896900,0.002300,1.521600,37.027400,2.963100,0.002700,1.530600,38.139300,3.479500,0.006100,1.547700,49.351100,9.388500,0.007500,1.555300,180.793700,88.293500,
"SPHINCS+-SHA256-128f-simple",0.003500,0.850700,19.898400,1.551400,0.002000,0.843200,19.872700,1.504000,0.002100,0.845600,19.890100,1.508800,0.002100,0.844000,19.909400,1.498600,0.001800,0.844000,19.899100,1.496800,0.001700,0.844200,19.902300,1.499700,0.002000,0.842600,20.005900,1.565800,0.002400,0.842800,21.092100,2.126700,0.006300,0.868000,32.255500,8.033400,0.007800,0.877000,163.623800,86.925900,
"SPHINCS+-SHA256-128s-robust",0.005600,93.069900,707.516600,0.958800,0.005000,93.079600,707.519900,0.985600,0.004700,93.049700,707.409300,0.983900,0.004300,93.072400,707.274100,0.982500,0.004300,92.989500,707.273400,0.986800,0.004200,93.031800,707.383800,0.982900,0.004000,93.035900,707.399400,1.051300,0.004900,93.050200,708.514100,1.657200,0.006300,93.112500,720.348100,7.565900,0.008000,93.374700,852.347700,86.414300,
"SPHINCS+-SHA256-128s-simple",0.005500,49.752800,377.848700,0.520500,0.005400,49.704000,377.814200,0.533700,0.004900,49.701800,377.847300,0.525200,0.004500,49.714900,377.820900,0.541700,0.004600,49.714800,377.775900,0.532700,0.004200,49.785900,378.046700,0.544700,0.004000,49.735500,377.997200,0.604300,0.004700,49.712500,379.048600,1.213200,0.006600,49.747100,390.228500,7.137900,0.007900,50.277100,525.336800,85.923100,
"SPHINCS+-SHA256-192f-robust",0.003600,2.166100,60.125200,4.376000,0.002900,2.166000,60.113000,4.365000,0.002700,2.163100,60.085400,4.401200,0.002500,2.170200,60.181800,4.392200,0.002900,2.170600,60.143000,4.423100,0.002600,2.170600,60.259300,4.385400,0.002800,2.172700,60.326400,4.493900,0.003200,2.171600,61.367000,5.022800,0.006400,2.189200,72.523300,10.981100,0.007800,2.190200,203.839000,89.832400,
"SPHINCS+-SHA256-192f-simple",0.003500,1.171300,32.446100,2.274900,0.002100,1.177000,32.418800,2.255600,0.002100,1.162800,32.371000,2.265400,0.001900,1.166100,32.323300,2.240000,0.002300,1.163600,32.215800,2.234700,0.002200,1.165800,32.220300,2.256400,0.002100,1.165000,32.345600,2.292500,0.002900,1.169400,33.430600,2.864700,0.007000,1.187300,44.623400,8.788900,0.007500,1.197300,175.962100,87.601000,
"SPHINCS+-SHA256-192s-robust",0.006400,135.098900,1329.816800,1.528000,0.006300,134.821400,1330.019900,1.518300,0.006100,135.130200,1330.482100,1.520300,0.005200,135.265200,1332.703400,1.535700,0.005600,135.074100,1330.483900,1.521800,0.004600,135.113800,1331.693400,1.531600,0.004900,135.027600,1330.639100,1.583100,0.005000,135.286100,1332.192400,2.191600,0.007000,135.339500,1344.315900,8.137000,0.007900,135.534800,1476.981300,87.057200,
"SPHINCS+-SHA256-192s-simple",0.006500,70.164300,714.425300,0.788100,0.005900,70.119200,714.327600,0.778500,0.006000,70.103100,714.570400,0.779600,0.005500,70.132300,714.891000,0.780200,0.005400,70.200500,714.947100,0.775600,0.004800,70.235600,715.626600,0.786500,0.004700,70.249000,715.789800,0.846300,0.005300,70.212100,716.448900,1.454000,0.007700,70.264200,727.891700,7.366900,0.008400,70.717200,863.247800,86.230900,
"SPHINCS+-SHA256-256f-robust",0.008000,11.525700,235.395100,4.807400,0.005000,11.527800,235.427500,4.789500,0.004900,11.510500,235.405700,4.808700,0.004500,11.537800,235.521900,4.827300,0.004100,11.535000,235.459300,4.835900,0.004900,11.525300,235.411900,4.835000,0.005200,11.514800,235.513900,4.850600,0.005200,11.529900,236.719100,5.487300,0.007500,11.547900,247.794800,11.436400,0.009100,11.557600,379.321700,90.387900,
