Assembly instruction,Category,
FEMMS,MMX,
PAVGUSB,3DNOW,
PAVGUSB,3DNOW,
PF2ID,3DNOW,
PF2ID,3DNOW,
PF2IW,3DNOW,
PF2IW,3DNOW,
PFACC,3DNOW,
PFACC,3DNOW,
PFADD,3DNOW,
PFADD,3DNOW,
PFCMPEQ,3DNOW,
PFCMPEQ,3DNOW,
PFCMPGE,3DNOW,
PFCMPGE,3DNOW,
PFCMPGT,3DNOW,
PFCMPGT,3DNOW,
PFMAX,3DNOW,
PFMAX,3DNOW,
PFMIN,3DNOW,
PFMIN,3DNOW,
PFMUL,3DNOW,
PFMUL,3DNOW,
PFNACC,3DNOW,
PFNACC,3DNOW,
PFPNACC,3DNOW,
PFPNACC,3DNOW,
PFRCP,3DNOW,
PFRCP,3DNOW,
PFRCPIT1,3DNOW,
PFRCPIT1,3DNOW,
PFRCPIT2,3DNOW,
PFRCPIT2,3DNOW,
PFRSQIT1,3DNOW,
PFRSQIT1,3DNOW,
PFRSQRT,3DNOW,
PFRSQRT,3DNOW,
PFSUB,3DNOW,
PFSUB,3DNOW,
PFSUBR,3DNOW,
PFSUBR,3DNOW,
PI2FD,3DNOW,
PI2FD,3DNOW,
PI2FW,3DNOW,
PI2FW,3DNOW,
PMULHRW,3DNOW,
PMULHRW,3DNOW,
PSWAPD,3DNOW,
PSWAPD,3DNOW,
PREFETCHW,PREFETCH,
PREFETCH,PREFETCH,
ADCX,ADOX_ADCX,
ADCX,ADOX_ADCX,
ADCX,ADOX_ADCX,
ADCX,ADOX_ADCX,
ADOX,ADOX_ADCX,
ADOX,ADOX_ADCX,
ADOX,ADOX_ADCX,
ADOX,ADOX_ADCX,
AESDEC,AES,
AESDEC,AES,
AESDECLAST,AES,
AESDECLAST,AES,
AESENC,AES,
AESENC,AES,
AESENCLAST,AES,
AESENCLAST,AES,
AESIMC,AES,
AESIMC,AES,
AESKEYGENASSIST,AES,
AESKEYGENASSIST,AES,
INVLPGB,SYSTEM,
TLBSYNC,SYSTEM,
TDPBF16PS,AMX_TILE,
TDPBSSD,AMX_TILE,
TDPBSUD,AMX_TILE,
TDPBUSD,AMX_TILE,
TDPBUUD,AMX_TILE,
LDTILECFG,AMX_TILE,
STTILECFG,AMX_TILE,
TILELOADD,AMX_TILE,
TILELOADDT1,AMX_TILE,
TILERELEASE,AMX_TILE,
TILESTORED,AMX_TILE,
TILEZERO,AMX_TILE,
VADDPD,AVX,
VADDPD,AVX,
VADDPD,AVX,
VADDPD,AVX,
VADDPS,AVX,
VADDPS,AVX,
VADDPS,AVX,
VADDPS,AVX,
VADDSD,AVX,
VADDSD,AVX,
VADDSS,AVX,
VADDSS,AVX,
VADDSUBPD,AVX,
VADDSUBPD,AVX,
VADDSUBPD,AVX,
VADDSUBPD,AVX,
VADDSUBPS,AVX,
VADDSUBPS,AVX,
VADDSUBPS,AVX,
VADDSUBPS,AVX,
VANDNPD,LOGICAL_FP,
VANDNPD,LOGICAL_FP,
VANDNPD,LOGICAL_FP,
VANDNPD,LOGICAL_FP,
VANDNPS,LOGICAL_FP,
VANDNPS,LOGICAL_FP,
VANDNPS,LOGICAL_FP,
VANDNPS,LOGICAL_FP,
VANDPD,LOGICAL_FP,
VANDPD,LOGICAL_FP,
VANDPD,LOGICAL_FP,
VANDPD,LOGICAL_FP,
VANDPS,LOGICAL_FP,
VANDPS,LOGICAL_FP,
VANDPS,LOGICAL_FP,
VANDPS,LOGICAL_FP,
VBLENDPD,AVX,
VBLENDPD,AVX,
VBLENDPD,AVX,
VBLENDPD,AVX,
VBLENDPS,AVX,
VBLENDPS,AVX,
VBLENDPS,AVX,
VBLENDPS,AVX,
VBLENDVPD,AVX,
VBLENDVPD,AVX,
VBLENDVPD,AVX,
VBLENDVPD,AVX,
VBLENDVPS,AVX,
VBLENDVPS,AVX,
VBLENDVPS,AVX,
VBLENDVPS,AVX,
VBROADCASTF128,BROADCAST,
VBROADCASTSD,BROADCAST,
VBROADCASTSS,BROADCAST,
VBROADCASTSS,BROADCAST,
VCMPPD,AVX,
